"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2004,"2A",15,79.85,46.25,0.5,0.39559162,5.12e-05,-9.51e-05,0.1224,0,0,0,1,0,0,0,0,0
2004,"2A",16,79.55,46.75,0.5,0.402790565,6.9e-05,-0.000124736,0.1224,0,0,0,2,0,0,0,0,0
2004,"2A",17,78.8,48,0.5,0.405911476,7.34e-05,-0.000130506,0.1224,0,0,0,3,0,0,0,0,0
2004,"2A",18,74.6,52.08333333,0.625,0.4066626,0.00018151,-0.000317706,0.1224,0,0,0,4,0,0,0,0,0
2004,"2A",15,56.15,30.25,0.5,-4.52e-07,7.51e-08,-8.97e-05,0,0,0,0,1,0,0,0,0,0
2004,"2A",16,54.35,37.75,0.5,8.21e-08,8.8e-07,0.000306104,0,0,0,0,2,0,0,0,0,0
2004,"2A",17,52.55,46.33333333,0.5,1.65e-08,7.16e-08,0.000537145,0,0,0,0,3,0,0,0,0,0
2004,"2A",18,49.7,53.25,0.625,-8.81e-08,-3.03e-08,0.000177153,0,0,0,0,4,0,0,0,0,0
2004,"2A",15,50.315,35.41666667,0.5,2.195649225,1.02e-05,0.443945722,0.7713,0,0,0,1,0,0,0,0,0
2004,"2A",16,50.225,35.58333333,0.5,2.195585123,9.72e-06,0.752518879,0.7713,0,0,0,2,0,0,0,0,0
2004,"2A",17,47.9,40.66666667,0.5,2.195433473,1.16e-06,0.719649533,0.7713,0,0,0,3,0,0,0,0,0
2004,"2A",18,44.3,48.08333333,0.625,2.192559851,3.16e-06,0.656983349,0.7713,0,0,0,4,0,0,0,0,0
2004,"2A",15,58.25,57.33333333,0.5,1.342316125,-0.002958292,-0.24943631,0.4716,0,0,0,1,0,0,0,0,0
2004,"2A",16,59,61.33333333,0.5,1.342317978,-0.065674671,-0.172968583,0.4716,0,0,0,2,0,0,0,0,0
2004,"2A",17,57.95,65.33333333,0.5,1.342414629,-0.021112597,0.040157563,0.4716,0,0,0,3,0,0,0,0,0
2004,"2A",18,54.05,82.75,0.625,1.342317972,-0.000438056,-0.150772135,0.4716,0,0,0,4,0,0,0,0,0
2004,"2A",15,63.35,28.16666667,0.5,2.003235754,-1.228832456,0.921343051,0.7038,0,0,0,1,0,0,0,0,0
2004,"2A",16,61.55,31.91666667,0.5,2.003220156,-1.506594164,1.155039829,0.7038,0,0,0,2,0,0,0,0,0
2004,"2A",17,59.75,38.08333333,0.5,2.003211065,-1.042509323,0.82262411,0.7038,0,0,0,3,0,0,0,0,0
2004,"2A",18,54.8,53.25,0.625,2.00324075,-0.157349295,-0.114438857,0.7038,0,0,0,4,0,0,0,0,0
2004,"2A",15,51.8,47,0.5,1.411655647,-6.44e-06,0.197469422,0.4959,0,0,0,1,0,0,0,0,0
2004,"2A",16,50.75,51.08333333,0.5,1.411513399,-1.86e-05,0.257331765,0.4959,0,0,0,2,0,0,0,0,0
2004,"2A",17,47.9,55.75,0.5,1.411626453,-3.36e-06,0.329494465,0.4959,0,0,0,3,0,0,0,0,0
2004,"2A",18,45.35,59.33333333,0.625,1.411720963,-6.58e-06,0.535852481,0.4959,0,0,0,4,0,0,0,0,0
2004,"2A",15,58.25,28.83333333,0.5,8.47e-06,4.37e-07,0.005761951,0,0,0,0,1,0,0,0,0,0
2004,"2A",16,59,26.83333333,0.5,-6.38e-05,-0.001291363,0.005776268,0,0,0,0,2,0,0,0,0,0
2004,"2A",17,59,27.16666667,0.5,2.7e-07,-0.010947138,0.009538351,0,0,0,0,3,0,0,0,0,0
2004,"2A",18,54.8,36.75,0.625,1.48e-07,-0.000448583,0.000574,0,0,0,0,4,0,0,0,0,0
2004,"2A",15,70.85,44.25,0.5,2.422925431,-0.261055927,0.340376839,0.7641,0,0,0,1,0,0,0,0,0
2004,"2A",16,69.5,50.58333333,0.5,2.491756431,-0.649340269,1.029449901,0.7641,0,0,0,2,0,0,0,0,0
2004,"2A",17,66.95,58.33333333,0.5,2.49141028,-1.681412645,2.332556183,0.7641,0,0,0,3,0,0,0,0,0
2004,"2A",18,63.05,67,0.625,2.484714867,-3.048599551,3.862331543,0.7641,0,0,0,4,0,0,0,0,0
2004,"2A",15,66.95,73,0.5,2.044056487,-1.220030212,2.372326023,0.7038,0,0,0,1,0,0,0,0,0
2004,"2A",16,65.15,73,0.5,2.004450137,-1.817772112,3.402076282,0.7038,0,0,0,2,0,0,0,0,0
2004,"2A",17,62.3,75.33333333,0.5,2.00317425,-1.986214328,3.656093685,0.7038,0,0,0,3,0,0,0,0,0
2004,"2A",18,58.7,79.91666667,0.625,2.002678097,-1.446304402,2.854619839,0.7038,0,0,0,4,0,0,0,0,0
2004,"2A",15,58.25,67,0.5,1.83675171,-0.000123054,0.046421348,0.6453,0,0,0,1,0,0,0,0,0
2004,"2A",16,60.05,64.66666667,0.5,1.836703657,-0.328294076,0.59191192,0.6453,0,0,0,2,0,0,0,0,0
2004,"2A",17,60.8,63,0.5,1.836575982,-0.762466716,1.354128488,0.6453,0,0,0,3,0,0,0,0,0
2004,"2A",18,59.75,68.25,0.625,1.836696658,-0.687543147,1.102882017,0.6453,0,0,0,4,0,0,0,0,0
2004,"2A",15,79.85,47.5,0,0,-0.001664508,0.003093573,0,0,0,0,1,0,0,0,0,0
2004,"2A",16,78.5,47.91666667,0,-9.27e-09,-0.001612195,0.002939759,0,0,0,0,2,0,0,0,0,0
2004,"2A",17,74.9,61.08333333,0,0,-0.001548855,0.002785506,0,0,0,0,3,0,0,0,0,0
2004,"2A",18,70.25,74.25,0,-4.45e-09,-0.001485816,0.002662672,0,0,0,0,4,0,0,0,0,0
2004,"2A",15,77,62.66666667,0.5,2.36e-05,-8.73e-09,1.52e-05,0,0,0,0,1,0,0,0,0,0
2004,"2A",16,77,61,0.5,2.41e-05,6e-06,3.44e-06,0,0,0,0,2,0,0,0,0,0
2004,"2A",17,75.95,63.33333333,0.5,1.92e-05,1.53e-06,1.1e-05,0,0,0,0,3,0,0,0,0,0
2004,"2A",18,73.1,69.66666667,0.625,1.83e-05,3.63e-08,7.83e-06,0,0,0,0,4,0,0,0,0,0
