"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2004,"2A",11,84.35,62.33333333,0.5,-0.264847966,-0.988605798,-1.528473477,0,0,-1,-1,0,0,1,4,1,0
2004,"2A",12,87.155,54.91666667,0.625,-0.1546134,-1.000926909,-2.113951154,0,0,-1,0,0,0,1,4,2,0
2004,"2A",13,89.135,47.91666667,0.625,-0.139183655,-0.999871429,-1.846570124,0,0,-1,0,0,0,1,4,3,0
2004,"2A",14,89.96,47.33333333,0.5,-0.132447144,-0.999299517,-1.580811128,0,0,-1,0,0,0,1,4,4,0
2004,"2A",9,78.335,71.91666667,0.375,-0.494802342,-1.975546403,-1.868766285,0,0,-2,-2,0,0,2,6,1,0
2004,"2A",10,82.37,62,0.5,-0.282846108,-2.000932309,-3.619537433,0,0,-2,0,0,0,2,6,2,0
2004,"2A",11,83.39,59.33333333,0.5,-0.250160582,-2.000628839,-3.314096312,0,0,-2,0,0,0,2,6,3,0
2004,"2A",12,85.355,53.41666667,0.625,-0.237193075,-2.000549193,-3.02057078,0,0,-2,0,0,0,2,6,4,0
2004,"2A",13,87.605,45.08333333,0.625,-0.22863682,-2.000513649,-2.618096362,0,0,-2,0,0,0,2,6,5,0
2004,"2A",14,87.98,47.08333333,0.5,-0.222631484,-2.000185032,-2.306354015,0,0,-2,0,0,0,2,6,6,0
2004,"2A",7,75.545,82.83333333,0.125,-0.166669333,-0.987569736,1.845900561,0,0,-1,-1,0,0,1,8,1,0
2004,"2A",8,78.335,75.58333333,0.125,-0.171303339,-1.001014339,0.157906137,0,0,-1,0,0,0,1,8,2,0
2004,"2A",9,81.215,66.33333333,0.375,-0.142217281,-0.999975311,-1.136166415,0,0,-1,0,0,0,1,8,3,0
2004,"2A",10,82.565,60.66666667,0.5,-0.121273947,-1.00067201,-1.443190636,0,0,-1,0,0,0,1,8,4,0
2004,"2A",11,85.355,51.41666667,0.5,-0.11391604,-1.000001504,-1.309232325,0,0,-1,0,0,0,1,8,5,0
2004,"2A",12,87.605,44.25,0.625,-0.111704907,-1.00007792,-1.157795041,0,0,-1,0,0,0,1,8,6,0
2004,"2A",13,89.135,41.83333333,0.625,-0.109947466,-1.000394774,-1.048112667,0,0,-1,0,0,0,1,8,7,0
2004,"2A",14,90.59,41.58333333,0.5,-0.108190047,-1.001357961,-0.943845546,0,0,-1,0,0,0,1,8,8,0
2004,"2A",11,86.18,54.33333333,0.5,-0.696054356,-2.814763006,-3.229392143,0,0,-3,-3,0,0,3,4,1,0
2004,"2A",12,87.605,50.41666667,0.625,-0.416529186,-3.001620549,-5.184016716,0,0,-3,0,0,0,3,4,2,0
2004,"2A",13,89.135,47.08333333,0.625,-0.377237654,-2.999936895,-4.641699863,0,0,-3,0,0,0,3,4,3,0
2004,"2A",14,89.435,43.25,0.5,-0.356520007,-3.000240689,-3.944356909,0,0,-3,0,0,0,3,4,4,0
2004,"2A",10,82.745,66.75,0.5,-0.484490292,-1.942160274,-2.879518314,0,0,-2,-2,0,0,2,5,1,0
2004,"2A",11,85.175,58.33333333,0.5,-0.282899872,-2.00040379,-3.935609281,0,0,-2,0,0,0,2,5,2,0
2004,"2A",12,86.63,55,0.625,-0.258761662,-2.000377536,-3.498508049,0,0,-2,0,0,0,2,5,3,0
2004,"2A",13,88.235,50.91666667,0.625,-0.245426665,-1.999211563,-3.118742442,0,0,-2,0,0,0,2,5,4,0
2004,"2A",14,90.215,46.25,0.5,-0.237115097,-1.998958818,-2.688411802,0,0,-2,0,0,0,2,5,5,0
