"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2004,"2A",15,89.135,56.91666667,0.5,0.968621533,4.739515246,-3.507456005,0,0,5,5,1,0,0,0,0,0
2004,"2A",16,89.435,59,0.5,0.806712404,5.004550633,4.278464648,0,0,5,0,2,0,0,0,0,0
2004,"2A",17,88.43,60.16666667,0.5,0.674925681,5.001649657,6.746317586,0,0,5,0,3,0,0,0,0,0
2004,"2A",18,85.04,67.41666667,0.625,0.609804145,5.000956452,7.297576186,0,0,5,0,4,0,0,0,0,0
2004,"2A",15,90.59,46.08333333,0.5,0.936826054,4.663932567,-7.119747777,0,0,5,6,1,0,1,4,5,1
2004,"2A",16,91.04,44.58333333,0.5,0.710730554,5.005833906,-2.150351278,0,0,5,0,2,0,1,4,6,2
2004,"2A",17,89.885,46.75,0.5,0.685779245,5.004978089,1.105971118,0,0,5,0,3,0,1,4,7,3
2004,"2A",18,87.275,53.25,0.625,0.670913377,5.004072832,4.27659896,0,0,5,0,4,0,1,4,8,4
2004,"2A",15,91.04,39.83333333,0.5,0.41594606,1.99777065,-1.725251179,0,0,2,2,1,0,0,0,0,0
2004,"2A",16,90.41,40.16666667,0.5,0.306242022,2.00387456,0.867177218,0,0,2,0,2,0,0,0,0,0
2004,"2A",17,89.435,41.58333333,0.5,0.25928633,2.002270794,1.727114019,0,0,2,0,3,0,0,0,0,0
2004,"2A",18,88.43,43.75,0.625,0.239687679,2.001264294,2.114853353,0,0,2,0,4,0,0,0,0,0
2004,"2A",15,90.59,39.83333333,0.5,0.237872361,0.99092302,-0.039693608,0,0,1,1,1,0,0,0,0,0
2004,"2A",16,91.04,37.83333333,0.5,0.143882268,1.002136765,1.015938438,0,0,1,0,2,0,0,0,0,0
2004,"2A",17,89.885,38.16666667,0.5,0.122833828,1.001937623,0.853028451,0,0,1,0,3,0,0,0,0,0
2004,"2A",18,87.275,50.66666667,0.625,0.117897708,1.000190011,1.10594576,0,0,1,0,4,0,0,0,0,0
2004,"2A",15,88.61,48.83333333,0.5,0.740644066,2.792714221,-5.658520024,0,0,3,5,1,0,2,6,7,1
2004,"2A",16,86.645,54.41666667,0.5,0.56443894,3.005755878,1.01203726,0,0,3,0,2,0,2,6,8,2
2004,"2A",17,85.55,57.83333333,0.5,0.475458912,3.001770912,4.187039829,0,0,3,0,3,0,2,6,9,3
2004,"2A",18,84.845,58.16666667,0.625,0.411940866,3.000518402,4.717953032,0,0,3,0,4,0,2,6,10,4
2004,"2A",15,91.565,40.83333333,0.5,0.360590643,0.998274289,-1.352406729,0,0,1,2,1,0,1,8,9,1
2004,"2A",16,90.785,41.16666667,0.5,0.208574392,1.002142292,1.45791288,0,0,1,0,2,0,1,8,10,2
2004,"2A",17,87.65,54.25,0.5,0.163942257,1.000773796,1.829137386,0,0,1,0,3,0,1,8,11,3
2004,"2A",18,84.845,63,0.625,0.142291408,0.999770277,1.897244627,0,0,1,0,4,0,1,8,12,4
2004,"2A",15,87.905,45.5,0.5,0.967600175,5.114648245,-14.09738745,0,0,6,9,1,0,3,4,5,1
2004,"2A",16,87.605,49.16666667,0.5,0.744935825,6.005205083,-9.429402427,0,0,6,0,2,0,3,4,6,2
2004,"2A",17,86.825,56.41666667,0.5,0.781285274,6.006197213,-4.268306755,0,0,6,0,3,0,3,4,7,3
2004,"2A",18,85.37,62.16666667,0.625,0.81436108,6.006341376,1.733869025,0,0,6,0,4,0,3,4,8,4
2004,"2A",15,91.04,44.41666667,0.5,0.86483647,3.687933692,-7.679828927,0,0,4,6,1,0,2,5,6,1
2004,"2A",16,91.04,44,0.5,0.637329182,4.006220265,-1.777505813,0,0,4,0,2,0,2,5,7,2
2004,"2A",17,90.41,44,0.5,0.598447531,4.005051934,1.612685352,0,0,4,0,3,0,2,5,8,3
2004,"2A",18,88.805,44.58333333,0.625,0.552965002,4.003692077,3.621729804,0,0,4,0,4,0,2,5,9,4
2004,"2A",15,88.805,41.16666667,0.5,0.227181657,0.990918847,-0.396754093,0,0,1,1,1,0,0,0,0,0
2004,"2A",16,88.61,41.41666667,0.5,0.143276649,1.002076921,0.852308951,0,0,1,0,2,0,0,0,0,0
2004,"2A",17,88.43,41.58333333,0.5,0.123437095,1.001924129,1.007336199,0,0,1,0,3,0,0,0,0,0
2004,"2A",18,87.98,42,0.625,0.116409381,1.001357743,1.061811519,0,0,1,0,4,0,0,0,0,0
2004,"2A",15,89.585,44.5,0.5,0.97043358,5.339563118,-12.27951306,0,0,6,8,1,0,2,2,3,1
2004,"2A",16,88.805,45.83333333,0.5,0.743512964,6.006210353,-7.305296266,0,0,6,0,2,0,2,2,4,2
2004,"2A",17,86.825,50.83333333,0.5,0.717089815,6.005617302,-4.123401926,0,0,6,0,3,0,2,2,5,3
2004,"2A",18,84.845,57.33333333,0.625,0.743698992,6.006154746,0.191065008,0,0,6,0,4,0,2,2,6,4
2004,"2A",15,88.43,49.08333333,0.5,0.826926796,2.581511553,-9.740805676,0,0,3,7,1,0,4,4,5,1
2004,"2A",16,87.98,53.75,0.5,0.628241052,3.007044932,-0.649108203,0,0,3,0,2,0,4,4,6,2
