"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2004,"2A",15,89.135,56.91666667,0.5,0.968621533,4.739515246,-3.507456005,0,0,5,5,1,0,0,0,0,0
2004,"2A",16,89.435,59,0.5,0.806712404,5.004550633,4.278464648,0,0,5,0,2,0,0,0,0,0
2004,"2A",17,88.43,60.16666667,0.5,0.674925681,5.001649657,6.746317586,0,0,5,0,3,0,0,0,0,0
2004,"2A",18,85.04,67.41666667,0.625,0.609804145,5.000956452,7.297576186,0,0,5,0,4,0,0,0,0,0
2004,"2A",19,81.785,73.16666667,0.625,-0.54072163,0.58530161,1.978758492,0,0,0,-5,5,1,0,0,0,0
2004,"2A",15,90.59,46.08333333,0.5,1.333467821,4.65054436,-7.095378518,0.1224,0,5,6,1,0,1,4,5,1
2004,"2A",16,91.04,44.58333333,0.5,1.115661964,5.005838919,-2.150521912,0.1224,0,5,0,2,0,1,4,6,2
2004,"2A",17,89.885,46.75,0.5,1.094216327,5.004951639,1.105927416,0.1224,0,5,0,3,0,1,4,7,3
2004,"2A",18,87.275,53.25,0.625,1.1002479,5.005020365,4.446614571,0.1224,0,5,0,4,0,1,4,8,4
2004,"2A",19,83.69,60.5,0.625,-0.488193108,0.517629024,1.838876597,0,0,0,-5,5,1,1,4,9,5
2004,"2A",15,91.04,39.83333333,0.5,0.416718176,1.997735929,-1.714075163,0,0,2,2,1,0,0,0,0,0
2004,"2A",16,90.41,40.16666667,0.5,0.307057432,2.003874987,0.875617973,0,0,2,0,2,0,0,0,0,0
2004,"2A",17,89.435,41.58333333,0.5,0.26002148,2.002269379,1.73631832,0,0,2,0,3,0,0,0,0,0
2004,"2A",18,88.43,43.75,0.625,0.240306004,2.001100833,2.124023928,0,0,2,0,4,0,0,0,0,0
2004,"2A",19,86.825,46.75,0.625,-0.245525358,0.050771713,0.331024415,0,0,0,-2,5,1,0,0,0,0
2004,"2A",15,90.59,39.83333333,0.5,2.788430243,0.992598147,0.202485905,0.7713,0,1,1,1,0,0,0,0,0
2004,"2A",16,91.04,37.83333333,0.5,2.778573125,1.005194127,2.502059278,0.7713,0,1,0,2,0,0,0,0,0
2004,"2A",17,89.885,38.16666667,0.5,2.772564041,1.004764109,3.228598164,0.7713,0,1,0,3,0,0,0,0,0
2004,"2A",18,87.275,50.66666667,0.625,2.854283225,1.004050021,5.251220547,0.7713,0,1,0,4,0,0,0,0,0
2004,"2A",19,83.06,64.83333333,0.625,-0.089510768,0.009507164,3.222403025,0,0,0,-1,5,1,0,0,0,0
2004,"2A",15,88.61,48.83333333,0.5,2.279624337,2.752992628,-5.528476283,0.4716,0,3,5,1,0,2,6,7,1
2004,"2A",16,86.645,54.41666667,0.5,2.13528351,3.00621434,1.127007322,0.4716,0,3,0,2,0,2,6,8,2
2004,"2A",17,85.55,57.83333333,0.5,2.13667297,3.004716363,5.652092194,0.4716,0,3,0,3,0,2,6,9,3
2004,"2A",18,84.845,58.16666667,0.625,2.115063165,3.003116119,8.264632364,0.4716,0,3,0,4,0,2,6,10,4
2004,"2A",19,81.71,61.91666667,0.625,-0.306245492,0.161681408,3.909121284,0,0,0,-3,5,1,2,6,11,5
2004,"2A",15,91.565,40.83333333,0.5,0.352723702,0.998331833,-1.477746433,0,0,1,2,1,0,1,5,6,1
2004,"2A",16,90.785,41.16666667,0.5,0.200753984,1.002149925,1.335864383,0,0,1,0,2,0,1,5,7,2
2004,"2A",17,87.65,54.25,0.5,0.157316855,1.000567238,1.710227571,0,0,1,0,3,0,1,5,8,3
2004,"2A",18,84.845,63,0.625,0.136923099,0.999793045,1.786732414,0,0,1,0,4,0,1,5,9,4
2004,"2A",19,84.02,61.83333333,0.625,-0.11477578,0.011660442,0.510643168,0,0,0,-1,5,1,1,5,10,5
2004,"2A",15,87.905,45.5,0.5,2.564953655,4.929395741,-13.7973811,0.4959,0,6,9,1,0,3,4,5,1
2004,"2A",16,87.605,49.16666667,0.5,2.373146689,6.004141108,-9.432696796,0.4959,0,6,0,2,0,3,4,6,2
2004,"2A",17,86.825,56.41666667,0.5,2.421815744,6.005736427,-4.271077682,0.4959,0,6,0,3,0,3,4,7,3
2004,"2A",18,85.37,62.16666667,0.625,2.46580806,6.00629643,1.737883744,0.4959,0,6,0,4,0,3,4,8,4
2004,"2A",19,83.765,65.33333333,0.625,-0.420771662,0.52426353,2.295413784,0,0,0,-6,5,1,3,4,9,5
2004,"2A",15,91.04,44.41666667,0.5,0.762471722,3.865670077,-3.904037046,0,0,4,4,1,0,0,0,0,0
2004,"2A",16,91.04,44,0.5,0.601522858,4.005627892,0.471038203,0,0,4,0,2,0,0,0,0,0
2004,"2A",17,90.41,44,0.5,0.559637901,4.003759641,2.931788795,0,0,4,0,3,0,0,0,0,0
2004,"2A",18,88.805,44.58333333,0.625,0.499943245,4.001659525,3.887240433,0,0,4,0,4,0,0,0,0,0
2004,"2A",19,85.04,60.75,0.625,-0.437559336,0.309979934,0.823367135,0,0,0,-4,5,1,0,0,0,0
2004,"2A",15,88.805,41.16666667,0.5,2.734271116,0.992307761,-0.345990268,0.7641,0,1,1,1,0,0,0,0,0
