ID,Indoor.Total.Illumin.Diff.pct.,Indoor.Total.Illumin.Diff.,Hour.number,Natural.Illuminance.,Outdoor.Sky.Clearness.,Since.DR.Started.,Lighting.Power.Diff.,Lighting.Power.Diff.pct.One.Step.
31,0.189622451,196.8912,15,644.5503467,2.606522072,1,0.4,0.5
31,0.173688483,196.8912,16,739.8057129,2.634102558,2,0.4,0
31,0.075014879,109.384,17,1239.396047,2.233004903,3,0.225,0
31,0.179974086,196.8912,15,700.2151005,1.40281265,1,0.4,0.5
31,0.202951742,196.8912,16,576.3556124,1.427149016,2,0.4,0
31,0.106576307,109.384,17,807.5764342,1.459850716,3,0.225,0
31,0.205896025,196.8912,15,562.4827837,4.239383626,1,0.4,0.5
31,0.189764388,196.8912,16,643.7737064,3.95319956,2,0.4,0
31,0.076956738,109.384,17,1202.60202,3.626925601,3,0.225,0
31,0.168530633,196.8912,15,774.4989757,2.276696959,1,0.4,0.5
31,0.161842341,196.8912,16,822.7793406,1.614722167,2,0.4,0
31,0.100366304,109.384,17,871.0798393,1.309293731,3,0.225,0
31,0.196290646,196.8912,15,609.2771135,4.115768237,1,0.4,0.5
31,0.192879518,196.8912,16,627.0165,3.563597795,2,0.4,0
31,0.074318412,109.384,17,1253.061076,3.09173655,3,0.225,0
31,0.224833326,196.8912,15,481.9383097,6.148502184,1,0.4,0.5
31,0.224694648,196.8912,16,482.4787915,5.871725621,2,0.4,0
31,0.070725747,109.384,17,1327.825767,4.155580159,3,0.225,0
31,0.194790044,196.8912,15,617.0043755,3.08080924,1,0.4,0.5
31,0.177464147,196.8912,16,715.6878954,1.30044983,2,0.4,0
31,0.133738015,109.384,17,599.1295886,1.197573852,3,0.225,0
31,0.203314924,196.8912,15,574.6226541,4.280658117,1,0.4,0.5
31,0.194691604,196.8912,16,617.5154458,4.619975056,2,0.4,0
31,0.061425498,109.384,17,1561.990877,3.437750544,3,0.225,0
31,0.219400385,196.8912,15,503.6234998,5.313908422,1,0.4,0.5
31,0.18201601,196.8912,16,687.942224,3.509758804,2,0.4,0
31,0.076724599,109.384,17,1206.902541,3.229050202,3,0.225,0
31,0.182182957,196.8912,15,686.9509624,3.287025271,1,0.4,0.5
31,0.157620878,196.8912,16,855.3617674,1.796166704,2,0.4,0
31,0.103201197,109.384,17,841.1421919,1.647835423,3,0.225,0
31,0.191762023,196.8912,15,632.9652182,1.754452738,1,0.4,0.5
31,0.182001238,196.8912,16,688.0300233,1.705792138,2,0.4,0
31,0.063730245,109.384,17,1497.591329,3.138839128,3,0.225,0
31,0.206316128,196.8912,15,560.5356266,1.794266919,1,0.4,0.5
31,0.176069836,196.8912,16,724.4738815,2.649144156,2,0.4,0
31,0.075809114,109.384,17,1224.119195,1.999798468,3,0.225,0
31,0.167190176,196.8912,15,783.8657415,1.623955916,1,0.4,0.5
31,0.178936657,196.8912,16,706.5578197,1.276589284,2,0.4,0
31,0.144042809,109,17,540.6173599,1.086485894,3,0.225,0
31,0.161818913,196.8912,15,822.955475,1.375034126,1,0.4,0.5
31,0.180905913,196.8912,16,694.580038,1.417268819,2,0.4,0
31,0.148733154,109.384,17,516.6699124,1.489480348,3,0.225,0
31,0.200772532,196.8912,15,586.8856114,1.241359199,1,0.4,0.5
31,0.174264774,196.8912,16,736.0569567,1.164722424,2,0.4,0
31,0.114341179,109.384,17,737.877723,1.345289345,3,0.225,0
31,0.218939048,196.8912,15,505.5144654,1.089039455,1,0.4,0.5
31,0.222799575,196.8912,16,489.9320317,0.999999712,2,0.4,0
31,0.207202704,109.384,17,309.1401682,0.999999656,3,0.225,0
31,0.210366887,196.8912,15,542.1595782,1.02766054,1,0.4,0.5
31,0.225436018,196.8912,16,479.5971152,0.999999716,2,0.4,0
31,0.180721896,109.384,17,386.4934673,0.999999709,3,0.225,0
31,0.168548513,196.8912,15,774.3750464,1.743682439,1,0.4,0.5
31,0.170716113,196.8912,16,759.5428268,1.436958505,2,0.4,0
31,0.137414008,109.384,17,577.2498274,1.221262464,3,0.225,0
31,0.201580765,196.8912,15,582.9536483,1.219221029,1,0.4,0.5
31,0.158612772,196.8912,16,847.5501678,1.245405008,2,0.4,0
31,0.112380853,109.384,17,754.5650608,1.161848755,3,0.225,0
31,0.180342966,196.8912,15,697.9773983,3.691377904,1,0.4,0.5
31,0.191711903,196.8912,16,633.2336427,3.645115311,2,0.4,0
31,0.083079645,109.384,17,1097.848115,2.424432574,3,0.225,0
31,0.171189733,196.8912,15,756.3519937,1.797879937,1,0.4,0.5
31,0.181668794,196.8912,16,690.0096782,1.262715603,2,0.4,0
31,0.13929646,109.384,17,566.4924449,1.151010112,3,0.225,0
31,0.190167491,196.8912,15,641.5743745,3.439235228,1,0.4,0.5
31,0.189090041,196.8912,16,647.47392,3.087942777,2,0.4,0
31,0.113749614,109.384,17,742.8528439,1.509026097,3,0.225,0
31,0.166622817,196.8912,15,787.8756895,1.856809868,1,0.4,0.5
31,0.159847908,196.8912,16,837.9584618,1.342786871,2,0.4,0
31,0.098300418,109.384,17,893.9841391,1.157275431,3,0.225,0
31,0.129376216,196.8912,15,1128.067644,1.564029244,1,0.4,0.5
31,0.152659143,196.8912,16,895.9615093,1.378497709,2,0.4,0
31,0.085958658,109.384,17,1053.750702,1.172705517,3,0.225,0
31,0.16210961,196.8912,15,820.7736014,2.237547521,1,0.4,0.5
31,0.161240803,196.8912,16,827.3179454,1.732358816,2,0.4,0
31,0.084923373,109.384,17,1069.263734,1.669440191,3,0.225,0
31,0.20327574,196.8912,15,574.8093284,4.395963176,1,0.4,0.5
31,0.160430379,196.8912,16,833.4864107,2.310736789,2,0.4,0
31,0.077372633,109.384,17,1194.961846,2.100073633,3,0.225,0
31,0.195676271,196.8912,15,612.4264717,4.068011892,1,0.4,0.5
31,0.188895553,196.8912,16,648.5460014,3.617711615,2,0.4,0
31,0.070576007,109.384,17,1331.107152,3.482606976,3,0.225,0
31,0.194469175,196.8912,15,618.6721448,1.658040503,1,0.4,0.5
31,0.176072339,196.8912,16,724.4579854,1.367206422,2,0.4,0
31,0.107590223,109.384,17,797.9043056,1.327130625,3,0.225,0
31,0.243380518,196.8912,15,415.2026482,0.999999644,1,0.4,0.5
31,0.228797522,196.8912,16,466.7653802,1.132251715,2,0.4,0
31,0.098402351,109.384,17,892.8314629,1.50402523,3,0.225,0
31,0.179517103,196.8912,15,703.0000078,2.919052455,1,0.4,0.5
31,0.177421218,196.8912,16,715.9563479,2.862808681,2,0.4,0
31,0.090629083,109.384,17,988.1734881,1.955136024,3,0.225,0
31,0.208268289,196.8912,15,551.5905179,1.315576263,1,0.4,0.5
31,0.211280723,196.8912,16,538.1114185,1.203566915,2,0.4,0
31,0.135117474,109.384,17,590.779404,1.084921028,3,0.225,0
31,0.241111022,196.8912,15,422.8173494,1.567575191,1,0.4,0.5
31,0.224683438,196.8912,16,482.5225121,1.328949497,2,0.4,0
31,0.104020291,109.384,17,832.7960646,1.386420467,3,0.225,0
31,0.203379329,196.8912,15,574.3159863,3.649113332,1,0.4,0.5
