"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",15,79.925,46.125,0.515118708,0.106441945,-0.000429352,0.021757488,0.1224,0,0,0,1,0,0,0,0,0
2010,"2A",16,79.475,46.875,0.531639325,0.107732127,-0.000567597,0.059460707,0.1224,0,0,0,2,0,0,0,0,0
2010,"2A",17,78.8,48,0.537441542,0.096184163,-0.000244277,0.077270502,0.1224,0,0,0,3,0,0,0,0,0
2010,"2A",18,74.3,52.375,0.197717341,0.065183171,-0.014434871,0.101149596,0.068,0,0,0,4,0,0,0,0,0
2010,"2A",15,56.075,30.125,0.524996425,0.00165465,-0.001087095,0.006113506,0,0,0,0,1,0,0,0,0,0
2010,"2A",16,54.275,38.375,0.51273775,0.00143777,-0.001186032,0.007380077,0,0,0,0,2,0,0,0,0,0
2010,"2A",17,52.475,46.5,0.522153658,0.001166257,-0.00379254,0.01059356,0,0,0,0,3,0,0,0,0,0
2010,"2A",18,49.55,53.625,0.203120747,0.000479473,-0.010064452,0.014489074,0,0,0,0,4,0,0,0,0,0
2010,"2A",15,50.3375,35.375,0.527009725,0.583214978,-0.113792031,0.071153181,0.7713,0,0,0,1,0,0,0,0,0
2010,"2A",16,50.2025,35.625,0.520823558,0.596057142,-0.18538516,0.123582058,0.7713,0,0,0,2,0,0,0,0,0
2010,"2A",17,47.75,41,0.527035433,0.574552635,-0.228598386,0.161678022,0.7713,0,0,0,3,0,0,0,0,0
2010,"2A",18,44.15,48.375,0.196816956,0.394735615,-0.31202154,0.205462349,0.4285,0,0,0,4,0,0,0,0,0
2010,"2A",15,58.325,57.5,0.525582242,0.360453446,-0.149466128,0.155466013,0.4716,0,0,0,1,0,0,0,0,0
2010,"2A",16,59,61.5,0.530851342,0.367843726,-0.194065141,0.232741668,0.4716,0,0,0,2,0,0,0,0,0
2010,"2A",17,57.875,65.5,0.5303637,0.353119749,-0.228530317,0.291830029,0.4716,0,0,0,3,0,0,0,0,0
