"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,79.925,46.125,0.51640593,0.208114164,-0.023730556,0.058001269,0.1224,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,79.475,46.875,0.535242227,0.210322768,-0.037237453,0.103505402,0.1224,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,78.8,48,0.537519602,0.212197884,-0.037709825,0.125916584,0.1224,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.3,52.375,0.198938871,0.113445367,-0.069507306,0.171595175,0.068,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.075,30.125,0.528642484,0.001171201,-0.02614994,0.013645102,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,54.275,38.375,0.518080039,0.000945468,-0.027469172,0.01455549,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,52.475,46.5,0.527837516,0.00061266,-0.028777401,0.016544522,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,49.55,53.625,0.204004567,0.000334259,-0.029224626,0.018614434,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,50.3375,35.375,0.526995711,1.285559424,-0.322847804,0.206932408,0.7713,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.2025,35.625,0.521382195,1.289635274,-0.551910373,0.353260247,0.7713,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.75,41,0.529437961,1.290740331,-0.655609601,0.395116473,0.7713,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,44.15,48.375,0.194374529,0.711617626,-0.485283109,0.182369031,0.4285,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,57.5,0.52751757,0.787195791,-0.321806517,0.808576918,0.4716,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,61.5,0.528365078,0.78993081,-0.464396141,1.235339144,0.4716,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,57.875,65.5,0.528465953,0.790938982,-0.540039332,1.005444356,0.4716,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,53.825,83.875,0.182138549,0.44149228,-0.351524935,0.672899866,0.262,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,63.275,28.25,0.530729422,1.179359172,-0.501708001,0.349397309,0.7038,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.475,32.125,0.536365984,1.180333797,-0.713123575,1.262711997,0.7038,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.675,38.375,0.524407344,1.179891437,-0.819604603,1.228076635,0.7038,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.5,54.125,0.19365499,0.658685606,-0.646740177,0.896972152,0.391,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,51.8,47,0.524091297,0.82606595,-0.160806184,0.136941176,0.4959,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.675,51.375,0.536093383,0.828590691,-0.274548476,0.222000391,0.4959,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.75,55.875,0.52673293,0.827611151,-0.295555393,0.225380326,0.4959,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,45.275,59.5,0.19519993,0.457654788,-0.136555924,0.070057968,0.2755,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,28.75,0.532615969,0.001703242,-0.102363584,0.050515114,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,26.75,0.544458266,0.001670996,-0.118965543,0.05979554,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59,27.25,0.523257156,0.001621191,-0.125609804,0.062652557,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.5,37.375,0.194004227,0.001474926,-0.068953175,0.02551246,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,70.925,44.125,0.525101258,1.922079836,-1.005074504,1.539081856,0.7641,0.8055,0,0,1,0,0,0,0,0
"Post-1980","2A",16,69.35,51.125,0.531088992,1.92504398,-1.437426298,2.16324691,0.7641,0.8055,0,0,2,0,0,0,0,0
"Post-1980","2A",17,66.875,58.5,0.536252414,1.925240909,-1.581642417,2.367792836,0.7641,0.8055,0,0,3,0,0,0,0,0
"Post-1980","2A",18,62.825,67.5,0.207697663,1.284598084,-1.078959709,1.666967719,0.4245,0.716,0,0,4,0,0,0,0,0
"Post-1980","2A",15,66.875,73,0.525292875,1.686548067,-1.275471769,2.418278373,0.7038,0.6417,0,0,1,0,0,0,0,0
"Post-1980","2A",16,65.075,73,0.539366906,1.695221234,-1.7240875,3.194199053,0.7038,0.6417,0,0,2,0,0,0,0,0
"Post-1980","2A",17,62.15,75.5,0.535910469,1.697090888,-1.831075186,3.338285128,0.7038,0.6417,0,0,3,0,0,0,0,0
"Post-1980","2A",18,58.55,80.125,0.194624633,1.114994291,-1.320775748,2.343892583,0.391,0.5704,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,67,0.53155193,1.592919886,-1.110190987,1.557817776,0.6453,0.6399,0,0,1,0,0,0,0,0
"Post-1980","2A",16,60.125,64.5,0.538308664,1.596623213,-1.476551914,1.956391068,0.6453,0.6399,0,0,2,0,0,0,0,0
"Post-1980","2A",17,60.8,63,0.542607867,1.598260333,-1.663391373,1.952749965,0.6453,0.6399,0,0,3,0,0,0,0,0
"Post-1980","2A",18,59.675,68.625,0.207690755,1.059689659,-1.120263559,1.435110944,0.3585,0.5688,0,0,4,0,0,0,0,0
"Post-1980","2A",15,79.925,47.25,0.534777148,0.644836339,-0.315198526,0.628891391,0.3879,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,78.35,48.125,0.536998531,0.645283731,-0.409201705,0.807597221,0.3879,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,74.75,61.875,0.542652828,0.645094758,-0.499706328,0.96353796,0.3879,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.025,74.625,0.203288169,0.357944057,-0.494448054,0.882209804,0.2155,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,62.5,0.536988508,0.005747643,-0.186117226,0.354658353,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,61,0.530132383,0.005031343,-0.180962277,0.343747757,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.875,63.5,0.537549531,0.003340463,-0.195807452,0.360174536,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,72.95,70,0.191333294,0.000493954,-0.210935796,0.387037418,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,75.875,70.625,0,1.321028615,-0.621106003,1.183114807,0.7299,0.1188,0,0,1,0,0,0,0,0
"Post-1980","2A",16,76.325,68.375,0,1.327915425,-0.833300631,1.601764647,0.7299,0.1188,0,0,2,0,0,0,0,0
"Post-1980","2A",17,73.625,76.25,0,1.325493979,-1.010870405,1.933396319,0.7299,0.1188,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.475,86.125,0,0.763134245,-1.03219241,1.985245076,0.4055,0.1056,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,74,0.533765625,1.62338491,-0.829178847,1.637535601,0.8298,0.261,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,70.875,0.544264797,1.63824213,-1.082466487,2.177898138,0.8298,0.261,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.875,72.125,0.522897352,1.638634797,-1.213524669,2.498621319,0.8298,0.261,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.075,76.5,0.19537035,0.965619366,-1.392370482,2.767683379,0.461,0.232,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.525,70.75,0.52844707,1.170846884,-0.863436871,1.415002037,0.6723,0.054,0,0,1,0,0,0,0,0
"Post-1980","2A",16,56.075,67,0.534990055,1.174753647,-1.101597296,1.874578946,0.6723,0.054,0,0,2,0,0,0,0,0
"Post-1980","2A",17,55.4,63.875,0.543961211,1.176377505,-1.225845026,1.793564564,0.6723,0.054,0,0,3,0,0,0,0,0
