"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",9,84.515,62,0.543156243,0.226351813,-0.945441713,-0.601300104,0,0,-1,-1,0,0,1,4,1,0
2010,"2A",10,87.2375,54.625,0.420920936,0.199701917,-1.000186425,-1.468764221,0,0,-1,0,0,0,1,4,2,0
2010,"2A",11,89.2175,47.625,0.349739264,0.182300699,-1.000397536,-1.333972076,0,0,-1,0,0,0,1,4,3,0
2010,"2A",12,89.96,47.5,0.525571643,0.168661197,-0.983305603,-1.165330005,0,0,-1,0,0,0,1,4,4,0
2010,"2A",7,78.5075,71.625,0.335343616,0.31349997,-1.747839489,3.636180282,0,0,-2,-2,0,0,2,6,1,0
2010,"2A",8,82.535,61.5,0.552355486,0.257622707,-1.846779566,-0.170400991,0,0,-2,0,0,0,2,6,2,0
2010,"2A",9,83.345,59.5,0.539685361,0.235792627,-1.85849044,-1.054371403,0,0,-2,0,0,0,2,6,3,0
2010,"2A",10,85.5275,52.875,0.424917643,0.225529261,-1.923886365,-1.138152999,0,0,-2,0,0,0,2,6,4,0
2010,"2A",11,87.6425,44.875,0.340809401,0.215596101,-1.985761144,-0.86233451,0,0,-2,0,0,0,2,6,5,0
2010,"2A",12,87.98,47.375,0.523651471,0.198206356,-1.925600204,-0.692288202,0,0,-2,0,0,0,2,6,6,0
2010,"2A",6,78.5075,75.125,0.000265369,0.32362278,-1.001279819,3.539600883,0,0,-1,0,0,0,1,8,2,0
2010,"2A",7,81.2975,66,0.331561362,0.286642743,-0.995261485,0.026908378,0,0,-1,0,0,0,1,8,3,0
2010,"2A",8,82.6025,60.5,0.545974436,0.260875019,-0.987723693,-1.44201507,0,0,-1,0,0,0,1,8,4,0
2010,"2A",9,85.5275,50.875,0.540191207,0.242723503,-0.991561489,-1.880312844,0,0,-1,0,0,0,1,8,5,0
2010,"2A",10,87.6425,44.125,0.415973357,0.227089545,-0.997811258,-1.57003491,0,0,-1,0,0,0,1,8,6,0
2010,"2A",11,89.2175,41.75,0.35010594,0.212137049,-1.000307824,-1.241229534,0,0,-1,0,0,0,1,8,7,0
