"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",11,84.515,62,0.70539615,-0.179501841,-0.980937148,0.560642641,0,0,-1,-1,0,0,1,4,1,0
"Post-1980","2A",12,87.2375,54.625,0.551890925,-0.144207687,-0.999967018,0.352114855,0,0,-1,0,0,0,1,4,2,0
"Post-1980","2A",13,89.2175,47.625,0.473977325,-0.128446228,-0.999854862,0.523238169,0,0,-1,0,0,0,1,4,3,0
"Post-1980","2A",14,89.96,47.5,0.68361905,-0.136363471,-1.000104673,0.589778529,0,0,-1,0,0,0,1,4,4,0
"Post-1980","2A",9,78.5075,71.625,0.483188975,-0.37597595,-1.952012416,1.366225376,0,0,-2,-2,0,0,2,6,1,0
"Post-1980","2A",10,82.535,61.5,0.711574225,-0.311478823,-1.999539834,0.800190307,0,0,-2,0,0,0,2,6,2,0
"Post-1980","2A",11,83.345,59.5,0.696448375,-0.292539797,-2.000081457,1.038757687,0,0,-2,0,0,0,2,6,3,0
"Post-1980","2A",12,85.5275,52.875,0.54540925,-0.265740761,-1.999819446,1.237332954,0,0,-2,0,0,0,2,6,4,0
"Post-1980","2A",13,87.6425,44.875,0.486360975,-0.236209636,-1.99992606,1.501436745,0,0,-2,0,0,0,2,6,5,0
"Post-1980","2A",14,87.98,47.375,0.682266225,-0.263058853,-1.999851224,1.504895761,0,0,-2,0,0,0,2,6,6,0
"Post-1980","2A",8,78.5075,75.125,0.000490195,-0.040456213,-0.537263665,-2.740514495,0,0,-1,0,0,0,1,8,2,0
"Post-1980","2A",9,81.2975,66,0.48867106,-0.097652802,-0.968405912,-0.747234684,0,0,-1,0,0,0,1,8,3,0
"Post-1980","2A",10,82.6025,60.5,0.7193621,-0.10638055,-0.999777124,0.332248963,0,0,-1,0,0,0,1,8,4,0
"Post-1980","2A",11,85.5275,50.875,0.674431075,-0.106612056,-0.999801179,0.579165196,0,0,-1,0,0,0,1,8,5,0
"Post-1980","2A",12,87.6425,44.125,0.563449175,-0.099922202,-0.999809335,0.71725527,0,0,-1,0,0,0,1,8,6,0
"Post-1980","2A",13,89.2175,41.75,0.477368525,-0.092915801,-0.999853394,0.835070131,0,0,-1,0,0,0,1,8,7,0
"Post-1980","2A",14,90.635,41.625,0.670844925,-0.102661554,-0.999936253,0.856659171,0,0,-1,0,0,0,1,8,8,0
"Post-1980","2A",11,86.27,54,0.692675175,-0.775740478,-2.777809984,2.091203459,0,0,-3,-3,0,0,3,4,1,0
"Post-1980","2A",12,87.6425,50.375,0.5453405,-0.545797473,-2.999860599,1.592920093,0,0,-3,0,0,0,3,4,2,0
"Post-1980","2A",13,89.2175,46.875,0.473184975,-0.475095617,-2.999870292,1.992769048,0,0,-3,0,0,0,3,4,3,0
"Post-1980","2A",14,89.3975,43.125,0.69830185,-0.481855911,-2.999453896,2.061261974,0,0,-3,0,0,0,3,4,4,0
"Post-1980","2A",10,82.8725,66.375,0.710310725,-0.381272796,-1.943625048,1.197502295,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,85.2575,58,0.708536725,-0.296285075,-1.999815106,0.982023394,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,86.675,55,0.555975325,-0.260598015,-1.99959758,1.267632544,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,88.3175,50.625,0.4868955,-0.240283247,-1.999988251,1.490759903,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,90.2975,46.125,0.6991111,-0.267557271,-1.99966887,1.487466929,0,0,-2,0,0,0,2,5,5,0
"Post-1980","2A",13,86.675,44.25,0.479071675,-0.431991609,-1.930915603,1.730694526,0,0,-2,-2,0,0,2,2,1,0
"Post-1980","2A",14,88.3175,41.375,0.693566025,-0.3366406,-1.999962248,1.349411932,0,0,-2,0,0,0,2,2,2,0
"Post-1980","2A",11,84.1775,64.5,0.68509105,-1.018220403,-3.13962346,2.089253219,0,0,-4,-4,0,0,4,4,1,0
"Post-1980","2A",12,86.27,60.5,0.5513793,-0.882350369,-3.832653859,1.807690136,0,0,-4,0,0,0,4,4,2,0
"Post-1980","2A",13,87.6425,52.125,0.483387475,-0.766398179,-3.947174626,2.231869286,0,0,-4,0,0,0,4,4,3,0
"Post-1980","2A",14,88.655,46.125,0.673112775,-0.753251789,-3.916114156,2.315637799,0,0,-4,0,0,0,4,4,4,0
"Post-1980","2A",8,80.8925,74.625,0.00152065,-0.106751175,-0.607215036,4.198910948,0,0,-1,-1,0,0,1,7,1,0
"Post-1980","2A",9,83.2775,70.75,0.46615425,-0.137128791,-0.98450908,1.846560434,0,0,-1,0,0,0,1,7,2,0
"Post-1980","2A",10,86.495,65.625,0.695394075,-0.12489186,-1.000218066,0.954365321,0,0,-1,0,0,0,1,7,3,0
"Post-1980","2A",11,87.4175,59.25,0.680956025,-0.108085599,-0.999832405,0.669653743,0,0,-1,0,0,0,1,7,4,0
"Post-1980","2A",12,88.88,49.5,0.552040075,-0.104016658,-0.999794106,0.736479828,0,0,-1,0,0,0,1,7,5,0
"Post-1980","2A",13,91.1975,45.625,0.475503275,-0.099222888,-0.9998359,0.877671794,0,0,-1,0,0,0,1,7,6,0
"Post-1980","2A",14,90.7025,46.625,0.679191675,-0.109214741,-0.999863936,0.858508728,0,0,-1,0,0,0,1,7,7,0
"Post-1980","2A",10,84.1775,64.5,0.69908505,-0.808553468,-2.801786722,1.814694128,0,0,-3,-3,0,0,3,5,1,0
"Post-1980","2A",11,85.595,59.25,0.68368045,-0.583366709,-2.999353584,1.190366345,0,0,-3,0,0,0,3,5,2,0
"Post-1980","2A",12,87.9125,53.875,0.534785875,-0.510901655,-2.999830047,1.586793554,0,0,-3,0,0,0,3,5,3,0
"Post-1980","2A",13,89.06,52,0.4820712,-0.468723678,-2.999761005,1.948689716,0,0,-3,0,0,0,3,5,4,0
"Post-1980","2A",14,90.2975,48.875,0.68902675,-0.507005469,-2.999524528,1.958104608,0,0,-3,0,0,0,3,5,5,0
"Post-1980","2A",14,88.565,62,0.696488875,-0.553413978,-1.915205962,1.317881348,0,0,-2,-2,0,0,2,1,1,0
"Post-1980","2A",12,88.3175,57.875,0.54990625,-0.872853168,-2.65470095,1.961405769,0,0,-3,-3,0,0,3,3,1,0
"Post-1980","2A",13,89.6225,53.5,0.4996061,-0.610542568,-2.998311264,1.590781717,0,0,-3,0,0,0,3,3,2,0
"Post-1980","2A",14,90.635,50.75,0.698345875,-0.610359639,-2.99248427,1.466274911,0,0,-3,0,0,0,3,3,3,0
"Post-1980","2A",12,87.2375,51.375,0.550177625,-0.167058348,-0.979947973,0.770154848,0,0,-1,-1,0,0,1,3,1,0
"Post-1980","2A",13,87.98,49.25,0.483842425,-0.126745455,-0.999841239,0.632257948,0,0,-1,0,0,0,1,3,2,0
"Post-1980","2A",14,89.2175,48.125,0.691383425,-0.131939283,-0.99983843,0.633677583,0,0,-1,0,0,0,1,3,3,0
"Post-1980","2A",13,81.365,68.875,0.4957281,-0.795545278,-2.785776535,2.019208583,0,0,-3,-3,0,0,3,2,1,0
"Post-1980","2A",14,80.3975,65.125,0.6823573,-0.575875834,-3.000185115,1.408250261,0,0,-3,0,0,0,3,2,2,0
"Post-1980","2A",10,80.6225,67,0.70824345,-0.36037644,-1.958177016,1.642293161,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,82.1975,59.5,0.697166775,-0.259461768,-2.000176626,0.953190806,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,84.8525,52.5,0.551727975,-0.233504672,-1.999590254,1.122534779,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,87.2375,46,0.462365775,-0.213565689,-1.999909446,1.387708285,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,86.0675,44.875,0.685323525,-0.221680669,-1.99991809,1.468693944,0,0,-2,0,0,0,2,5,5,0
