Vintage,Climate.zone,Hour.number,Outdoor.Temp.F.,Outdoor.Humid.,Occ.Fraction.,Demand.Power.Diff.sf.,Indoor.Temp.Diff.F.,Indoor.Humid.Diff.,Lighting.Power.Diff.pct.,MELs.Diff.pct.,Cooling.Setpoint.Diff.,Cooling.Setpoint.Diff.One.Step.,Since.DR.Started.,Since.DR.Ended.,Pre.cooling.Temp.Decrease.,Pre.cooling.Duration.,Since.Pre.cooling.Started.,Since.Pre.cooling.Ended.
2010,2A,15,89.2175,57.125,0.53656465,0.598338153,3.871922709,-5.508594097,0,0,5,5,1,0,0,0,0,0
2010,2A,16,89.3975,59,0.540914314,0.47706923,4.655701279,-4.189959759,0,0,5,0,2,0,0,0,0,0
2010,2A,17,88.385,60.25,0.537448693,0.457826125,4.728938825,-1.011396452,0,0,5,0,3,0,0,0,0,0
2010,2A,18,84.83,67.875,0.204582801,0.451377586,4.573876365,1.808364088,0,0,5,0,4,0,0,0,0,0
2010,2A,15,90.635,45.875,0.5359826,0.59885435,3.853352264,-6.596007174,0,0,5,6,1,0,1,4,5,1
2010,2A,16,91.04,44.625,0.548326121,0.47794108,4.721767726,-4.179770817,0,0,5,0,2,0,1,4,6,2
2010,2A,17,89.8025,46.875,0.531605164,0.457844877,4.788587184,-1.989117078,0,0,5,0,3,0,1,4,7,3
2010,2A,18,87.1475,53.625,0.201383446,0.40632492,4.687326739,-0.482865333,0,0,5,0,4,0,1,4,8,4
2010,2A,15,91.04,39.75,0.549261071,0.303464075,1.937665737,-2.304709046,0,0,2,2,1,0,0,0,0,0
2010,2A,16,90.365,40.25,0.5430823,0.244132943,2.001649077,-0.723945238,0,0,2,0,2,0,0,0,0,0
2010,2A,17,89.3975,41.625,0.546454,0.231897505,2.001442102,-0.114029483,0,0,2,0,3,0,0,0,0,0
2010,2A,18,88.385,43.875,0.202073681,0.187745347,2.001247926,0.00821137,0,0,2,0,4,0,0,0,0,0
2010,2A,15,90.635,39.75,0.5384619,0.180144994,0.990108111,-0.763276253,0,0,1,1,1,0,0,0,0,0
2010,2A,16,91.04,37.75,0.534926957,0.163343924,1.00050742,-0.117417004,0,0,1,0,2,0,0,0,0,0
2010,2A,17,89.8025,38.25,0.538509829,0.15882127,1.011740027,-0.008821219,0,0,1,0,3,0,0,0,0,0
2010,2A,18,87.1475,51.5,0.205382051,0.118301724,1.001285694,-0.122760531,0,0,1,0,4,0,0,0,0,0
2010,2A,15,88.655,48.75,0.547210371,0.497280435,2.487755577,-6.275935165,0,0,3,5,1,0,2,6,7,1
2010,2A,16,86.4725,54.875,0.539389286,0.375900673,2.990868146,-4.410456558,0,0,3,0,2,0,2,6,8,2
2010,2A,17,85.595,57.75,0.545169786,0.354787909,3.003302834,-2.139100906,0,0,3,0,3,0,2,6,9,3
2010,2A,18,84.7625,58.25,0.203831446,0.307463622,2.955199836,-0.594513994,0,0,3,0,4,0,2,6,10,4
2010,2A,15,91.6025,40.75,0.547556664,0.25750692,0.946199786,-2.153716601,0,0,1,2,1,0,1,8,9,1
2010,2A,16,90.7025,41.25,0.555998271,0.19105592,1.001010913,-0.301766161,0,0,1,0,2,0,1,8,10,2
2010,2A,17,87.485,55.125,0.540660521,0.179738021,1.000796695,0.451440322,0,0,1,0,3,0,1,8,11,3
2010,2A,18,84.7625,63,0.206498715,0.140099015,1.000815038,0.908117745,0,0,1,0,4,0,1,8,12,4
2010,2A,15,87.8225,45.75,0.548750043,0.665754984,3.391603367,-7.740026538,0,0,6,9,1,0,3,4,5,1
2010,2A,16,87.6425,49.25,0.540080529,0.616728254,5.255323279,-8.129169891,0,0,6,0,2,0,3,4,6,2
2010,2A,17,86.7425,56.875,0.543324314,0.569906924,5.497110807,-6.472887565,0,0,6,0,3,0,3,4,7,3
2010,2A,18,85.325,62.25,0.201688337,0.528357845,5.236094156,-4.38849408,0,0,6,0,4,0,3,4,8,4
2010,2A,15,91.04,44.375,0.537738043,0.505329189,3.536932922,-4.432773005,0,0,4,4,1,0,2,5,6,1
2010,2A,16,91.04,44,0.541592621,0.40365563,3.930961557,-2.762962752,0,0,4,0,2,0,2,5,7,2
2010,2A,17,90.365,44,0.545429586,0.385199941,3.980921394,-1.189258559,0,0,4,0,3,0,2,5,8,3
2010,2A,18,88.7225,44.625,0.209136066,0.327973214,3.895010101,-0.032985148,0,0,4,0,4,0,2,5,9,4
2010,2A,15,88.7225,41.25,0.532851586,0.186900141,0.991030419,-0.882176425,0,0,1,1,1,0,0,0,0,0
2010,2A,16,88.655,41.375,0.541487521,0.158694528,1.000512068,-0.135010201,0,0,1,0,2,0,0,0,0,0
2010,2A,17,88.385,41.625,0.55922845,0.152437245,1.000374303,0.029750892,0,0,1,0,3,0,0,0,0,0
2010,2A,18,87.98,42,0.205153711,0.11311618,1.000503242,0.099553079,0,0,1,0,4,0,0,0,0,0
