"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.2175,57.125,0.68479705,0.228279221,1.512687394,-1.603343309,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.3975,59,0.694384975,0.252053898,2.205022054,-1.679737907,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,60.25,0.7124235,0.203352685,2.244074016,-1.25519847,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",18,84.83,67.875,0.248783873,0.08183134,1.649071316,-0.468602306,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",15,90.635,45.875,0.71299615,0.270834133,1.682365587,-2.348072719,0,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.625,0.701907625,0.284040111,2.64572437,-2.265650892,0,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.8025,46.875,0.7039688,0.270169475,2.898302166,-1.910334221,0,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.1475,53.625,0.249638988,0.147531002,2.3030506,-1.132361471,0,0,5,0,4,0,1,4,8,4
"Post-1980","2A",15,91.04,39.75,0.7088568,0.195381511,1.734142964,-1.905614712,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.365,40.25,0.705965925,0.177396341,1.936497323,-1.38068008,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.3975,41.625,0.707435625,0.168584221,1.946059684,-1.309553931,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.385,43.875,0.27276451,0.12033017,1.838883162,-1.283957599,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",15,90.635,39.75,0.676678525,0.123045909,0.984786247,-0.983110372,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.75,0.6968,0.103773561,0.999952707,-0.755987722,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.8025,38.25,0.69958275,0.094429885,0.999931097,-0.743964304,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.1475,51.5,0.259969213,0.068390022,0.978802372,-0.876289949,0,0,1,0,4,0,0,0,0,0
