Vintage,Climate.zone,Hour.number,Outdoor.Temp.F.,Outdoor.Humid.,Occ.Fraction.,Demand.Power.Diff.sf.,Indoor.Temp.Diff.F.,Indoor.Humid.Diff.,Lighting.Power.Diff.pct.,MELs.Diff.pct.,Cooling.Setpoint.Diff.,Cooling.Setpoint.Diff.One.Step.,Since.DR.Started.,Since.DR.Ended.,Pre.cooling.Temp.Decrease.,Pre.cooling.Duration.,Since.Pre.cooling.Started.,Since.Pre.cooling.Ended.
Post-1980,2A,15,89.2175,57.125,0.456061505,0.716224013,4.480081262,-5.415895747,0,0,5,5,1,0,0,0,0,0
Post-1980,2A,16,89.3975,59,0.451918148,0.554701212,4.988946784,-3.73345217,0,0,5,0,2,0,0,0,0,0
Post-1980,2A,17,88.385,60.25,0.45047952,0.512858145,5.005239908,-0.666379889,0,0,5,0,3,0,0,0,0,0
Post-1980,2A,18,84.83,67.875,0.172300907,0.473328741,4.981630167,0.742034064,0,0,5,0,4,0,0,0,0,0
Post-1980,2A,15,90.635,45.875,0.440925184,0.713670179,4.407762717,-6.191927452,0,0,5,6,1,0,1,4,5,1
Post-1980,2A,16,91.04,44.625,0.444341571,0.529260875,5.005201837,-3.244764116,0,0,5,0,2,0,1,4,6,2
Post-1980,2A,17,89.8025,46.875,0.45525651,0.492121891,5.004168527,-1.48001833,0,0,5,0,3,0,1,4,7,3
Post-1980,2A,18,87.1475,53.625,0.187399141,0.447861017,5.003248615,-1.088886301,0,0,5,0,4,0,1,4,8,4
Post-1980,2A,15,91.04,39.75,0.457384092,0.302976995,1.97129769,-1.932492311,0,0,2,2,1,0,0,0,0,0
Post-1980,2A,16,90.365,40.25,0.468164913,0.227357144,2.001671475,-0.483014625,0,0,2,0,2,0,0,0,0,0
Post-1980,2A,17,89.3975,41.625,0.441072429,0.211959712,2.001298325,-0.200764435,0,0,2,0,3,0,0,0,0,0
Post-1980,2A,18,88.385,43.875,0.180597147,0.186927364,2.00112995,-0.295841738,0,0,2,0,4,0,0,0,0,0
Post-1980,2A,15,90.635,39.75,0.457968663,0.142167492,0.984993448,-0.376424368,0,0,1,1,1,0,0,0,0,0
Post-1980,2A,16,91.04,37.75,0.456797536,0.122698333,1.000879931,0.070639935,0,0,1,0,2,0,0,0,0,0
Post-1980,2A,17,89.8025,38.25,0.462403781,0.11363413,1.000730932,0.10486185,0,0,1,0,3,0,0,0,0,0
Post-1980,2A,18,87.1475,51.5,0.174826095,0.099697288,1.000775806,0.031867818,0,0,1,0,4,0,0,0,0,0
Post-1980,2A,15,88.655,48.75,0.46227074,0.566213692,2.718405349,-5.016508145,0,0,3,5,1,0,2,6,7,1
Post-1980,2A,16,86.4725,54.875,0.452503408,0.401276696,3.004775172,-1.776349635,0,0,3,0,2,0,2,6,8,2
Post-1980,2A,17,85.595,57.75,0.448002138,0.371410684,3.003917357,-0.256685196,0,0,3,0,3,0,2,6,9,3
Post-1980,2A,18,84.7625,58.25,0.164077599,0.332551299,3.002679397,0.380796564,0,0,3,0,4,0,2,6,10,4
Post-1980,2A,15,91.6025,40.75,0.43525873,0.250350055,0.981168124,-1.550068261,0,0,1,2,1,0,1,8,9,1
Post-1980,2A,16,90.7025,41.25,0.433654036,0.167059233,1.001398931,0.075606936,0,0,1,0,2,0,1,8,10,2
Post-1980,2A,17,87.485,55.125,0.443669827,0.154151446,1.001212403,0.438834535,0,0,1,0,3,0,1,8,11,3
Post-1980,2A,18,84.7625,63,0.182187735,0.135578626,1.001014413,0.611391501,0,0,1,0,4,0,1,8,12,4
Post-1980,2A,15,87.8225,45.75,0.453263403,0.860094761,4.261196357,-8.097897005,0,0,6,9,1,0,3,4,5,1
Post-1980,2A,16,87.6425,49.25,0.461485638,0.663429552,5.804559209,-6.926378121,0,0,6,0,2,0,3,4,6,2
Post-1980,2A,17,86.7425,56.875,0.44841073,0.633365201,5.911751065,-4.787285179,0,0,6,0,3,0,3,4,7,3
Post-1980,2A,18,85.325,62.25,0.167428805,0.588265086,5.870097204,-1.420499936,0,0,6,0,4,0,3,4,8,4
Post-1980,2A,15,91.04,44.375,0.445058286,0.57450069,3.797622119,-4.067842174,0,0,4,4,1,0,2,5,6,1
Post-1980,2A,16,91.04,44,0.460313056,0.429243794,4.004914499,-2.064168942,0,0,4,0,2,0,2,5,7,2
Post-1980,2A,17,90.365,44,0.44872476,0.40280833,4.004433225,-1.022238306,0,0,4,0,3,0,2,5,8,3
Post-1980,2A,18,88.7225,44.625,0.181106555,0.356091876,4.002338647,-0.730640697,0,0,4,0,4,0,2,5,9,4
Post-1980,2A,15,88.7225,41.25,0.455744026,0.134893004,0.985624456,-0.520945433,0,0,1,1,1,0,0,0,0,0
Post-1980,2A,16,88.655,41.375,0.452230612,0.116195164,1.000876872,0.011007899,0,0,1,0,2,0,0,0,0,0
Post-1980,2A,17,88.385,41.625,0.468915709,0.107582105,1.000749245,0.07734082,0,0,1,0,3,0,0,0,0,0
Post-1980,2A,18,87.98,42,0.18240929,0.091402426,1.000971259,-0.002996412,0,0,1,0,4,0,0,0,0,0
Post-1980,2A,15,89.6225,44.75,0.434180423,0.842715231,4.596720177,-7.774475907,0,0,6,8,1,0,2,8,9,1
Post-1980,2A,16,88.7225,45.75,0.458718332,0.658913515,5.828010024,-6.739512858,0,0,6,0,2,0,2,8,10,2
Post-1980,2A,17,86.7425,51.25,0.459380786,0.61769093,5.912510807,-3.486693671,0,0,6,0,3,0,2,8,11,3
Post-1980,2A,18,84.7625,57.5,0.167667546,0.568992866,5.869307198,-1.500783943,0,0,6,0,4,0,2,8,12,4
Post-1980,2A,15,88.385,49.375,0.441634133,0.637350621,2.470328167,-6.731828132,0,0,3,7,1,0,4,4,5,1
Post-1980,2A,16,87.98,53.875,0.455313296,0.428219402,3.005530284,-2.873529273,0,0,3,0,2,0,4,4,6,2
Post-1980,2A,17,87.4175,56.25,0.445948061,0.394364703,3.005086659,-1.123796295,0,0,3,0,3,0,4,4,7,3
Post-1980,2A,18,87.6425,53.875,0.182077447,0.348432395,3.002747594,-0.016547518,0,0,3,0,4,0,4,4,8,4
Post-1980,2A,15,86.2475,54.5,0.455509276,0.403270217,1.920029626,-2.20632994,0,0,2,3,1,0,1,7,8,1
