"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.2175,57.125,0.68479705,0.55251194,1.124385105,-0.737269233,0,0.4059,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.3975,59,0.694384975,0.57608706,1.557640515,-0.452582518,0,0.4059,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,60.25,0.7124235,0.529180794,1.518425908,0.062133405,0,0.4059,5,0,3,0,0,0,0,0
"Post-1980","2A",18,84.83,67.875,0.248783873,0.370736843,0.925702848,0.733224594,0,0.3608,5,0,4,0,0,0,0,0
"Post-1980","2A",19,81.7025,73.25,0,-0.040346487,-0.012457102,0.661479078,0,0,0,-5,5,1,0,0,0,0
"Post-1980","2A",15,90.635,45.875,0.71299615,0.474685958,1.561941017,-2.121618883,0.1224,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.625,0.701907625,0.488809136,2.473573627,-1.991905356,0.1224,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.8025,46.875,0.7039688,0.4765723,2.702151767,-1.612535189,0.1224,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.1475,53.625,0.249638988,0.263600636,2.111054656,-0.838504064,0.068,0,5,0,4,0,1,4,8,4
"Post-1980","2A",19,83.525,60.75,0,-0.070791024,0.004533738,0.84543213,0,0,0,-5,5,1,1,4,9,5
"Post-1980","2A",15,91.04,39.75,0.7088568,0.196637215,1.721472039,-1.856803282,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.365,40.25,0.705965925,0.179030079,1.928827842,-1.34210514,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.3975,41.625,0.707435625,0.170250273,1.938480416,-1.270850306,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.385,43.875,0.27276451,0.121425369,1.825442588,-1.238813057,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",19,86.7425,46.875,0,-0.079110519,0.014825205,0.302729965,0,0,0,-2,5,1,0,0,0,0
"Post-1980","2A",15,90.635,39.75,0.676678525,1.948156939,0.889208088,-0.584586003,0.7713,0.5463,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.75,0.6968,1.954667843,0.937932695,0.125782533,0.7713,0.5463,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.8025,38.25,0.69958275,1.951079905,0.910698724,0.568004801,0.7713,0.5463,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.1475,51.5,0.259969213,1.252208466,0.650436563,0.917900947,0.4285,0.4856,1,0,4,0,0,0,0,0
"Post-1980","2A",19,82.85,65.25,0,0.000523107,-0.053083923,1.108285998,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",15,88.655,48.75,0.6852014,1.251381056,0.712690096,-1.243327306,0.4716,0.2268,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.4725,54.875,0.704925675,1.246971302,1.507452444,-0.882697138,0.4716,0.2268,3,0,2,0,2,6,8,2
"Post-1980","2A",17,85.595,57.75,0.692988,1.223663347,1.512347301,-0.061195744,0.4716,0.2268,3,0,3,0,2,6,9,3
"Post-1980","2A",18,84.7625,58.25,0.256952425,0.765731882,1.097312698,0.665776993,0.262,0.2016,3,0,4,0,2,6,10,4
"Post-1980","2A",19,81.545,62.125,0,0.004739624,-0.118594033,1.363693914,0,0,0,-3,5,1,2,6,11,5
"Post-1980","2A",15,91.6025,40.75,0.7163244,0.522126426,0.771741233,-0.714828895,0,0.396,1,2,1,0,1,5,6,1
"Post-1980","2A",16,90.7025,41.25,0.708151425,0.488833054,0.923167461,0.194115766,0,0.396,1,0,2,0,1,5,7,2
"Post-1980","2A",17,87.485,55.125,0.71284165,0.475574722,0.912907966,0.253640108,0,0.396,1,0,3,0,1,5,8,3
"Post-1980","2A",18,84.7625,63,0.247075685,0.388013691,0.73788943,0.639937338,0,0.352,1,0,4,0,1,5,9,4
"Post-1980","2A",19,84.02,61.75,0,-0.010568544,-0.035364997,0.716493066,0,0,0,-1,5,1,1,5,10,5
"Post-1980","2A",15,87.8225,45.75,0.697139975,1.042418159,0.363495201,-1.646837693,0.4959,0,6,9,1,0,3,4,5,1
"Post-1980","2A",16,87.6425,49.25,0.704409725,1.056296521,1.380268967,-1.43020613,0.4959,0,6,0,2,0,3,4,6,2
"Post-1980","2A",17,86.7425,56.875,0.698631725,1.08284014,1.646105109,-0.771119341,0.4959,0,6,0,3,0,3,4,7,3
"Post-1980","2A",18,85.325,62.25,0.266779873,0.613902641,1.162233357,0.291307883,0.2755,0,6,0,4,0,3,4,8,4
"Post-1980","2A",19,83.6825,65.5,0,0.003073575,-0.144384184,1.383116502,0,0,0,-6,5,1,3,4,9,5
"Post-1980","2A",15,91.04,44.375,0.717619775,0.2959488,2.157225111,-2.183131072,0,0,4,4,1,0,0,0,0,0
"Post-1980","2A",16,91.04,44,0.69204925,0.289367478,2.880954862,-2.181778416,0,0,4,0,2,0,0,0,0,0
"Post-1980","2A",17,90.365,44,0.7009312,0.278001148,3.038628046,-1.903535084,0,0,4,0,3,0,0,0,0,0
"Post-1980","2A",18,88.7225,44.625,0.255338995,0.156885821,2.482941165,-1.243578082,0,0,4,0,4,0,0,0,0,0
"Post-1980","2A",19,84.83,61.875,0,-0.09067591,0.019945878,0.256895065,0,0,0,-4,5,1,0,0,0,0
"Post-1980","2A",15,88.7225,41.25,0.71132405,2.134797009,0.732235434,-0.280632329,0.7641,0.8055,1,1,1,0,0,0,0,0
"Post-1980","2A",16,88.655,41.375,0.713341825,2.145097817,0.82695454,0.952527834,0.7641,0.8055,1,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,41.625,0.689677,2.1231203,0.658271094,1.475660611,0.7641,0.8055,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.98,42,0.256621273,1.398127664,0.212566395,1.86491404,0.4245,0.716,1,0,4,0,0,0,0,0
"Post-1980","2A",19,86.7425,44.5,0,0.013175502,-0.095680485,1.352440401,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",15,89.6225,44.75,0.70623435,1.950023925,0.004848144,-0.169110332,0.7038,0.6417,6,8,1,0,2,8,9,1
"Post-1980","2A",16,88.7225,45.75,0.694214075,1.949514947,0.490835504,0.497715504,0.7038,0.6417,6,0,2,0,2,8,10,2
"Post-1980","2A",17,86.7425,51.25,0.68997845,1.940358789,0.458407807,1.4137364,0.7038,0.6417,6,0,3,0,2,8,11,3
"Post-1980","2A",18,84.7625,57.5,0.248247125,1.252978713,-0.119373465,2.336138779,0.391,0.5704,6,0,4,0,2,8,12,4
"Post-1980","2A",19,82.1075,62.75,0,0.030949449,-0.380966077,2.162343634,0,0,0,-6,5,1,2,8,13,5
