"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,79.925,46.125,0.51640593,0.212256718,4.52e-05,0.031159302,0.1224,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,79.475,46.875,0.535242227,0.215975366,4.59e-05,0.071193692,0.1224,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,78.8,48,0.537519602,0.208883358,0.000353886,0.118565863,0.1224,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.3,52.375,0.198938871,0.131265899,-4.7e-05,0.113280405,0.068,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.075,30.125,0.528642484,-0.001461968,-0.001153733,0.005754777,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,54.275,38.375,0.518080039,0.005795939,-0.001142056,0.003637073,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,52.475,46.5,0.527837516,0.002154721,-0.002495188,0.197913427,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,49.55,53.625,0.204004567,0.001508431,-0.001975054,0.116119926,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,50.3375,35.375,0.526995711,1.343981165,-0.050116678,0.043786427,0.7713,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.2025,35.625,0.521382195,1.377785741,-0.081020315,0.083350648,0.7713,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.75,41,0.529437961,1.445368714,-0.099890455,0.145235709,0.7713,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,44.15,48.375,0.194374529,0.903141031,-0.191730011,0.346524657,0.4285,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,57.5,0.52751757,0.84122187,-0.066379631,0.256817999,0.4716,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,61.5,0.528365078,0.844362769,-0.093670799,0.231544607,0.4716,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,57.875,65.5,0.528465953,0.853570847,-0.107799057,0.216165454,0.4716,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,53.825,83.875,0.182138549,0.54075887,-0.163451861,0.262197344,0.262,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,63.275,28.25,0.530729422,1.24258518,-0.025863568,0.763597177,0.7038,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.475,32.125,0.536365984,1.272081445,-0.040093145,1.230563493,0.7038,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.675,38.375,0.524407344,1.284057944,-0.043020335,1.01329736,0.7038,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.5,54.125,0.19365499,0.782834569,-0.147471326,0.848031296,0.391,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,51.8,47,0.524091297,0.872174809,-0.144309206,0.637235575,0.4959,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.675,51.375,0.536093383,0.881990146,-0.213057266,0.880312933,0.4959,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.75,55.875,0.52673293,0.900684889,-0.243517202,0.99075342,0.4959,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,45.275,59.5,0.19519993,0.542050027,-0.371909974,1.205157738,0.2755,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,28.75,0.532615969,0.020782002,-0.115072796,0.230450944,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,26.75,0.544458266,0.03253342,-0.09506053,0.18597337,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59,27.25,0.523257156,0.051006758,-0.065840185,0.279565352,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.5,37.375,0.194004227,0.032600698,-0.111716261,0.333139671,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,70.925,44.125,0.525101258,2.080768155,-0.268537007,0.742742057,0.7641,0.8055,0,0,1,0,0,0,0,0
"Post-1980","2A",16,69.35,51.125,0.531088992,2.095361307,-0.369611783,1.107724763,0.7641,0.8055,0,0,2,0,0,0,0,0
"Post-1980","2A",17,66.875,58.5,0.536252414,2.104181373,-0.429155355,1.399251212,0.7641,0.8055,0,0,3,0,0,0,0,0
"Post-1980","2A",18,62.825,67.5,0.207697663,1.489516755,-0.772728496,1.981153669,0.4245,0.716,0,0,4,0,0,0,0,0
"Post-1980","2A",15,66.875,73,0.525292875,1.836183089,-0.064210617,1.882396448,0.7038,0.6417,0,0,1,0,0,0,0,0
"Post-1980","2A",16,65.075,73,0.539366906,1.874405358,-0.098805025,3.009071131,0.7038,0.6417,0,0,2,0,0,0,0,0
"Post-1980","2A",17,62.15,75.5,0.535910469,1.90731379,-0.161834433,4.061002412,0.7038,0.6417,0,0,3,0,0,0,0,0
"Post-1980","2A",18,58.55,80.125,0.194624633,1.375755528,-0.442516468,5.024576656,0.391,0.5704,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.325,67,0.53155193,1.783999096,-0.184103872,0.394001943,0.6453,0.6399,0,0,1,0,0,0,0,0
"Post-1980","2A",16,60.125,64.5,0.538308664,1.804891637,-0.234771982,0.510070408,0.6453,0.6399,0,0,2,0,0,0,0,0
"Post-1980","2A",17,60.8,63,0.542607867,1.805871504,-0.247925999,1.209325753,0.6453,0.6399,0,0,3,0,0,0,0,0
"Post-1980","2A",18,59.675,68.625,0.207690755,1.305516642,-0.46866605,1.810687827,0.3585,0.5688,0,0,4,0,0,0,0,0
"Post-1980","2A",15,79.925,47.25,0.534777148,0.686624013,0.00102823,0.469839729,0.3879,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,78.35,48.125,0.536998531,0.716568834,6.49e-05,0.332848094,0.3879,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,74.75,61.875,0.542652828,0.709669395,0.000527809,0.168770297,0.3879,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.025,74.625,0.203288169,0.401256937,-0.008317325,0.929268877,0.2155,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,62.5,0.536988508,0.000114551,0.000326976,0.334127726,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,61,0.530132383,0.030978938,-8.98e-05,0.348525838,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.875,63.5,0.537549531,0.029084435,-4.62e-05,0.189826293,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,72.95,70,0.191333294,0.016656861,7.66e-05,0.225637095,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,75.875,70.625,0,1.406386001,0.001300861,0.648603128,0.7299,0.1188,0,0,1,0,0,0,0,0
"Post-1980","2A",16,76.325,68.375,0,1.406454586,0.000410791,1.38186827,0.7299,0.1188,0,0,2,0,0,0,0,0
"Post-1980","2A",17,73.625,76.25,0,1.425464282,0.000516017,1.789565846,0.7299,0.1188,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.475,86.125,0,0.857413865,0.00058255,2.021178106,0.4055,0.1056,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,74,0.533765625,1.714240079,0.001610887,1.128797671,0.8298,0.261,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,70.875,0.544264797,1.740290597,0.001099022,2.177294821,0.8298,0.261,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.875,72.125,0.522897352,1.751797702,0.000566157,2.311433901,0.8298,0.261,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.075,76.5,0.19537035,1.091580828,0.000872527,2.505880182,0.461,0.232,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.525,70.75,0.52844707,1.281316095,-0.031731623,0.421665861,0.6723,0.054,0,0,1,0,0,0,0,0
"Post-1980","2A",16,56.075,67,0.534990055,1.294047881,-0.020569404,-0.01627989,0.6723,0.054,0,0,2,0,0,0,0,0
"Post-1980","2A",17,55.4,63.875,0.543961211,1.294419681,-0.032153808,-0.058415048,0.6723,0.054,0,0,3,0,0,0,0,0
"Post-1980","2A",18,53.15,64.5,0.194858011,0.786057106,-0.053515761,0.064787473,0.3735,0.048,0,0,4,0,0,0,0,0
"Post-1980","2A",15,57.875,42.875,0.532588,0.038344572,-0.057091056,0.292516936,0.0108,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,57.2,44,0.518558672,0.03184084,-0.053620833,0.345402268,0.0108,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,57.2,42.125,0.525132922,0.029798885,-0.051911377,0.298901337,0.0108,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.95,49.125,0.196771203,0.027835437,-0.072108478,0.300610132,0.006,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,62.6,43.875,0.520990594,0.010657916,-0.013299217,0.050248964,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.475,45,0.528831234,0.007762892,-0.011317502,0.009102441,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.675,48.75,0.540011555,0.007662769,-0.010632002,-0.010800796,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,55.625,57.875,0.200194988,0.009705113,-0.016520738,0.013980886,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,62.6,40.875,0.535117383,0.782597076,-0.085212261,0.118683062,0.2376,0.3888,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.475,42,0.521702633,0.794863232,-0.122827088,0.165724478,0.2376,0.3888,0,0,2,0,0,0,0,0
"Post-1980","2A",17,58.55,47.625,0.540554109,0.813311885,-0.138437086,0.223559665,0.2376,0.3888,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.95,55.375,0.18772927,0.624990992,-0.23772737,0.513509871,0.132,0.3456,0,0,4,0,0,0,0,0
"Post-1980","2A",15,63.725,32.75,0.520831641,1.94911605,-0.153228196,0.246259707,0.8154,0.5562,0,0,1,0,0,0,0,0
"Post-1980","2A",16,64.4,32,0.51578293,1.982195583,-0.192262863,0.389323411,0.8154,0.5562,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.9,41.375,0.520772422,2.032851872,-0.253376081,0.494184543,0.8154,0.5562,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.95,51.375,0.198120294,1.418655347,-0.552385115,1.097964043,0.453,0.4944,0,0,4,0,0,0,0,0
"Post-1980","2A",15,65.75,48.625,0.531413758,0.697665303,-0.054735268,0.358131023,0.2187,0.3123,0,0,1,0,0,0,0,0
"Post-1980","2A",16,64.4,47.625,0.552973547,0.710049039,-0.070836466,0.55995703,0.2187,0.3123,0,0,2,0,0,0,0,0
