"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",11,84.515,62,0.70539615,-0.131947556,-0.979521878,0.053007948,0,0,-1,-1,0,0,1,4,1,0
2010,"2A",12,87.2375,54.625,0.551890925,-0.112994725,-1.000679163,-0.870727534,0,0,-1,0,0,0,1,4,2,0
2010,"2A",13,89.2175,47.625,0.473977325,-0.102992136,-1.000455828,-0.96048025,0,0,-1,0,0,0,1,4,3,0
2010,"2A",14,89.96,47.5,0.68361905,-0.097865944,-1.000364928,-0.892608885,0,0,-1,0,0,0,1,4,4,0
2010,"2A",9,78.5075,71.625,0.483188975,-0.238959838,-1.955084166,1.375424882,0,0,-2,-2,0,0,2,6,1,0
2010,"2A",10,82.535,61.5,0.711574225,-0.207858739,-2.001311311,-0.747104993,0,0,-2,0,0,0,2,6,2,0
2010,"2A",11,83.345,59.5,0.696448375,-0.189944607,-2.000839313,-1.239098511,0,0,-2,0,0,0,2,6,3,0
2010,"2A",12,85.5275,52.875,0.54540925,-0.177227883,-2.000674547,-1.239239742,0,0,-2,0,0,0,2,6,4,0
2010,"2A",13,87.6425,44.875,0.486360975,-0.166185936,-2.000542148,-0.974290762,0,0,-2,0,0,0,2,6,5,0
2010,"2A",14,87.98,47.375,0.682266225,-0.161053148,-2.000561625,-0.765414156,0,0,-2,0,0,0,2,6,6,0
2010,"2A",8,78.5075,75.125,0.000490195,-0.086573719,-1.0008412,0.35657012,0,0,-1,0,0,0,1,8,2,0
2010,"2A",9,81.2975,66,0.48867106,-0.08547756,-1.000596311,-0.048277881,0,0,-1,0,0,0,1,8,3,0
2010,"2A",10,82.6025,60.5,0.7193621,-0.082297692,-1.000460339,-0.452297497,0,0,-1,0,0,0,1,8,4,0
2010,"2A",11,85.5275,50.875,0.674431075,-0.078666427,-1.000290558,-0.541511358,0,0,-1,0,0,0,1,8,5,0
2010,"2A",12,87.6425,44.125,0.563449175,-0.074288725,-1.000218789,-0.448201129,0,0,-1,0,0,0,1,8,6,0
2010,"2A",13,89.2175,41.75,0.477368525,-0.070500051,-1.000244143,-0.289826189,0,0,-1,0,0,0,1,8,7,0
2010,"2A",14,90.635,41.625,0.670844925,-0.069030227,-1.00027106,-0.228745049,0,0,-1,0,0,0,1,8,8,0
2010,"2A",11,86.27,54,0.692675175,-0.38453546,-2.753466167,1.933909866,0,0,-3,-3,0,0,3,4,1,0
2010,"2A",12,87.6425,50.375,0.5453405,-0.302595936,-3.000310793,-0.502023572,0,0,-3,0,0,0,3,4,2,0
2010,"2A",13,89.2175,46.875,0.473184975,-0.272022924,-3.001347219,-1.040148853,0,0,-3,0,0,0,3,4,3,0
2010,"2A",14,89.3975,43.125,0.69830185,-0.256041061,-3.000924025,-1.288850241,0,0,-3,0,0,0,3,4,4,0
