"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",11,84.515,62,0.70539615,-0.192499452,-0.974820025,0.031030508,0,0,-1,-1,0,0,1,4,1,0
"Post-1980","2A",12,87.2375,54.625,0.551890925,-0.165194562,-1.001709777,-0.708560005,0,0,-1,0,0,0,1,4,2,0
"Post-1980","2A",13,89.2175,47.625,0.473977325,-0.154162024,-1.002018877,-0.60694575,0,0,-1,0,0,0,1,4,3,0
"Post-1980","2A",14,89.96,47.5,0.68361905,-0.144503253,-1.001843657,-0.518886419,0,0,-1,0,0,0,1,4,4,0
"Post-1980","2A",9,78.5075,71.625,0.483188975,-0.345504296,-1.952676406,0.740808775,0,0,-2,-2,0,0,2,6,1,0
"Post-1980","2A",10,82.535,61.5,0.711574225,-0.270391406,-2.002286666,-1.049327856,0,0,-2,0,0,0,2,6,2,0
"Post-1980","2A",11,83.345,59.5,0.696448375,-0.248014201,-2.001393726,-1.029763818,0,0,-2,0,0,0,2,6,3,0
"Post-1980","2A",12,85.5275,52.875,0.54540925,-0.233715413,-2.002347545,-0.731007021,0,0,-2,0,0,0,2,6,4,0
"Post-1980","2A",13,87.6425,44.875,0.486360975,-0.22078454,-2.00209783,-0.686426064,0,0,-2,0,0,0,2,6,5,0
"Post-1980","2A",14,87.98,47.375,0.682266225,-0.21230689,-2.001536414,-0.305060064,0,0,-2,0,0,0,2,6,6,0
"Post-1980","2A",8,78.5075,75.125,0.000490195,-0.118884759,-1.000990772,-0.961921545,0,0,-1,0,0,0,1,8,2,0
"Post-1980","2A",9,81.2975,66,0.48867106,-0.115125488,-1.001253107,-0.32661516,0,0,-1,0,0,0,1,8,3,0
"Post-1980","2A",10,82.6025,60.5,0.7193621,-0.114898871,-1.001994757,-0.493426315,0,0,-1,0,0,0,1,8,4,0
"Post-1980","2A",11,85.5275,50.875,0.674431075,-0.108265535,-0.999771731,-0.132806981,0,0,-1,0,0,0,1,8,5,0
"Post-1980","2A",12,87.6425,44.125,0.563449175,-0.10386033,-1.000708188,-0.032308139,0,0,-1,0,0,0,1,8,6,0
"Post-1980","2A",13,89.2175,41.75,0.477368525,-0.101842264,-1.000929876,0.147299978,0,0,-1,0,0,0,1,8,7,0
"Post-1980","2A",14,90.635,41.625,0.670844925,-0.096095689,-1.001515182,0.269087283,0,0,-1,0,0,0,1,8,8,0
"Post-1980","2A",11,86.27,54,0.692675175,-0.480235227,-2.811158325,1.599418798,0,0,-3,-3,0,0,3,4,1,0
"Post-1980","2A",12,87.6425,50.375,0.5453405,-0.376977419,-3.003608569,-0.716758472,0,0,-3,0,0,0,3,4,2,0
"Post-1980","2A",13,89.2175,46.875,0.473184975,-0.346272838,-3.002638419,-0.668255205,0,0,-3,0,0,0,3,4,3,0
"Post-1980","2A",14,89.3975,43.125,0.69830185,-0.326544836,-3.002151749,-0.516391182,0,0,-3,0,0,0,3,4,4,0
"Post-1980","2A",10,82.8725,66.375,0.710310725,-0.348507575,-1.932529853,0.813220744,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,85.2575,58,0.708536725,-0.272278507,-2.002591069,-1.059533587,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,86.675,55,0.555975325,-0.24794545,-2.002039647,-0.969988499,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,88.3175,50.625,0.4868955,-0.235320653,-2.002510611,-0.734089092,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,90.2975,46.125,0.6991111,-0.225424856,-2.001344947,-0.529083537,0,0,-2,0,0,0,2,5,5,0
"Post-1980","2A",13,86.675,44.25,0.479071675,-0.306520317,-1.950060899,1.163087319,0,0,-2,-2,0,0,2,2,1,0
"Post-1980","2A",14,88.3175,41.375,0.693566025,-0.257387743,-2.001865866,-0.289786231,0,0,-2,0,0,0,2,2,2,0
"Post-1980","2A",11,84.1775,64.5,0.68509105,-0.605684695,-3.261988025,1.680721424,0,0,-4,-4,0,0,4,4,1,0
"Post-1980","2A",12,86.27,60.5,0.5513793,-0.539896231,-3.921611854,-0.601938507,0,0,-4,0,0,0,4,4,2,0
"Post-1980","2A",13,87.6425,52.125,0.483387475,-0.492466189,-3.998518506,-1.162735332,0,0,-4,0,0,0,4,4,3,0
"Post-1980","2A",14,88.655,46.125,0.673112775,-0.456423882,-4.001992017,-0.901505219,0,0,-4,0,0,0,4,4,4,0
"Post-1980","2A",8,80.8925,74.625,0.00152065,-0.165574496,-0.979313178,2.140662497,0,0,-1,-1,0,0,1,7,1,0
"Post-1980","2A",9,83.2775,70.75,0.46615425,-0.143655351,-1.00116881,0.094125114,0,0,-1,0,0,0,1,7,2,0
"Post-1980","2A",10,86.495,65.625,0.695394075,-0.129258077,-1.002329118,-0.56186913,0,0,-1,0,0,0,1,7,3,0
"Post-1980","2A",11,87.4175,59.25,0.680956025,-0.119908961,-1.000757124,-0.415489764,0,0,-1,0,0,0,1,7,4,0
"Post-1980","2A",12,88.88,49.5,0.552040075,-0.112489197,-1.001322211,-0.477891765,0,0,-1,0,0,0,1,7,5,0
"Post-1980","2A",13,91.1975,45.625,0.475503275,-0.10930065,-1.001147382,-0.099601543,0,0,-1,0,0,0,1,7,6,0
"Post-1980","2A",14,90.7025,46.625,0.679191675,-0.104910165,-1.001164772,-0.022749863,0,0,-1,0,0,0,1,7,7,0
"Post-1980","2A",10,84.1775,64.5,0.69908505,-0.494568349,-2.810396551,1.293010346,0,0,-3,-3,0,0,3,5,1,0
"Post-1980","2A",11,85.595,59.25,0.68368045,-0.391502478,-3.003375069,-1.157143767,0,0,-3,0,0,0,3,5,2,0
"Post-1980","2A",12,87.9125,53.875,0.534785875,-0.356055372,-3.003454845,-1.192958003,0,0,-3,0,0,0,3,5,3,0
"Post-1980","2A",13,89.06,52,0.4820712,-0.338414004,-3.002861626,-0.831364025,0,0,-3,0,0,0,3,5,4,0
"Post-1980","2A",14,90.2975,48.875,0.68902675,-0.325761307,-3.002630215,-0.706091017,0,0,-3,0,0,0,3,5,5,0
"Post-1980","2A",14,88.565,62,0.696488875,-0.338901803,-1.935171969,0.272452864,0,0,-2,-2,0,0,2,1,1,0
"Post-1980","2A",12,88.3175,57.875,0.54990625,-0.525361258,-2.732651626,1.091220988,0,0,-3,-3,0,0,3,3,1,0
"Post-1980","2A",13,89.6225,53.5,0.4996061,-0.428337452,-3.002705024,-0.958995309,0,0,-3,0,0,0,3,3,2,0
"Post-1980","2A",14,90.635,50.75,0.698345875,-0.392506911,-3.002522156,-1.424485224,0,0,-3,0,0,0,3,3,3,0
"Post-1980","2A",12,87.2375,51.375,0.550177625,-0.155702487,-0.974129985,0.516864671,0,0,-1,-1,0,0,1,3,1,0
"Post-1980","2A",13,87.98,49.25,0.483842425,-0.137820796,-1.000243128,0.032230801,0,0,-1,0,0,0,1,3,2,0
"Post-1980","2A",14,89.2175,48.125,0.691383425,-0.122760061,-1.000767529,-0.147703368,0,0,-1,0,0,0,1,3,3,0
"Post-1980","2A",13,81.365,68.875,0.4957281,-0.504777264,-2.817720804,1.307054119,0,0,-3,-3,0,0,3,2,1,0
"Post-1980","2A",14,80.3975,65.125,0.6823573,-0.397471617,-3.003350437,-1.261377251,0,0,-3,0,0,0,3,2,2,0
"Post-1980","2A",10,80.6225,67,0.70824345,-0.342251852,-1.948114587,0.72838123,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,82.1975,59.5,0.697166775,-0.268947273,-2.001722076,-0.912752134,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,84.8525,52.5,0.551727975,-0.244569754,-2.001814195,-0.983499567,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,87.2375,46,0.462365775,-0.231363713,-2.001624068,-0.616636472,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,86.0675,44.875,0.685323525,-0.221432139,-2.002412322,-0.301765089,0,0,-2,0,0,0,2,5,5,0
"Post-1980","2A",14,88.7225,48.75,0.6684787,-0.173427886,-0.975692166,0.088585659,0,0,-1,-1,0,0,1,1,1,0
"Post-1980","2A",10,85.595,58.125,0.7038802,-0.504668922,-2.595729165,1.176662116,0,0,-3,-3,0,0,3,5,1,0
"Post-1980","2A",11,87.2375,46,0.7131821,-0.413508764,-2.999503141,-0.736730422,0,0,-3,0,0,0,3,5,2,0
"Post-1980","2A",12,89.8925,37.375,0.556554825,-0.366564801,-3.001791097,-0.766344574,0,0,-3,0,0,0,3,5,3,0
