"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",15,89.2175,57.125,0.68479705,0.558658529,4.127721201,-6.347830972,0,0,5,5,1,0,0,0,0,0
2010,"2A",16,89.3975,59,0.694384975,0.427012945,5.005312121,-5.068151659,0,0,5,0,2,0,0,0,0,0
2010,"2A",17,88.385,60.25,0.7124235,0.40427059,5.004312746,-1.302261512,0,0,5,0,3,0,0,0,0,0
2010,"2A",18,84.83,67.875,0.248783873,0.431507389,4.963425607,1.466640812,0,0,5,0,4,0,0,0,0,0
2010,"2A",15,90.635,45.875,0.71299615,0.547249653,4.089240149,-7.541354343,0,0,5,6,1,0,1,4,5,1
2010,"2A",16,91.04,44.625,0.701907625,0.423646651,5.004225733,-4.903527125,0,0,5,0,2,0,1,4,6,2
2010,"2A",17,89.8025,46.875,0.7039688,0.402467843,5.00358183,-2.681541037,0,0,5,0,3,0,1,4,7,3
2010,"2A",18,87.1475,53.625,0.249638988,0.386808137,5.001626368,-1.255529162,0,0,5,0,4,0,1,4,8,4
2010,"2A",15,91.04,39.75,0.7088568,0.241842698,1.942245229,-2.610463866,0,0,2,2,1,0,0,0,0,0
2010,"2A",16,90.365,40.25,0.705965925,0.172845056,2.001142147,-0.647210177,0,0,2,0,2,0,0,0,0,0
2010,"2A",17,89.3975,41.625,0.707435625,0.158387553,2.000645308,0.163572349,0,0,2,0,3,0,0,0,0,0
2010,"2A",18,88.385,43.875,0.27276451,0.145677959,2.00058773,0.30031646,0,0,2,0,4,0,0,0,0,0
2010,"2A",15,90.635,39.75,0.676678525,0.099173128,0.991299534,-0.873538866,0,0,1,1,1,0,0,0,0,0
2010,"2A",16,91.04,37.75,0.6968,0.079873786,1.000412314,-0.05894661,0,0,1,0,2,0,0,0,0,0
2010,"2A",17,89.8025,38.25,0.69958275,0.07255326,1.000219362,0.135064884,0,0,1,0,3,0,0,0,0,0
2010,"2A",18,87.1475,51.5,0.259969213,0.066508565,1.000372484,0.124852436,0,0,1,0,4,0,0,0,0,0
2010,"2A",15,88.655,48.75,0.6852014,0.444637127,2.590936936,-6.761220871,0,0,3,5,1,0,2,6,7,1
2010,"2A",16,86.4725,54.875,0.704925675,0.312424709,3.003524778,-3.416265077,0,0,3,0,2,0,2,6,8,2
2010,"2A",17,85.595,57.75,0.692988,0.29042992,3.002463576,-0.524905046,0,0,3,0,3,0,2,6,9,3
2010,"2A",18,84.7625,58.25,0.256952425,0.277774335,3.001861367,0.855101748,0,0,3,0,4,0,2,6,10,4
2010,"2A",15,91.6025,40.75,0.7163244,0.199017998,0.947063139,-2.441657925,0,0,1,2,1,0,1,8,9,1
2010,"2A",16,90.7025,41.25,0.708151425,0.126396607,1.001019377,-0.312163425,0,0,1,0,2,0,1,8,10,2
2010,"2A",17,87.485,55.125,0.71284165,0.112827198,1.000726087,0.542956685,0,0,1,0,3,0,1,8,11,3
2010,"2A",18,84.7625,63,0.247075685,0.106248196,1.000749412,0.998272195,0,0,1,0,4,0,1,8,12,4
2010,"2A",15,87.8225,45.75,0.697139975,0.609024106,3.069586074,-9.013922547,0,0,6,9,1,0,3,4,5,1
2010,"2A",16,87.6425,49.25,0.704409725,0.58182941,5.524595037,-10.15850168,0,0,6,0,2,0,3,4,6,2
2010,"2A",17,86.7425,56.875,0.698631725,0.559310991,5.930071691,-7.587307305,0,0,6,0,3,0,3,4,7,3
2010,"2A",18,85.325,62.25,0.266779873,0.509475412,5.516797326,-4.821525512,0,0,6,0,4,0,3,4,8,4
2010,"2A",15,91.04,44.375,0.717619775,0.517507495,3.287514382,-7.934314261,0,0,4,6,1,0,2,5,6,1
2010,"2A",16,91.04,44,0.69204925,0.390437803,4.004334418,-5.677669897,0,0,4,0,2,0,2,5,7,2
2010,"2A",17,90.365,44,0.7009312,0.366822115,4.003534843,-3.182634418,0,0,4,0,3,0,2,5,8,3
2010,"2A",18,88.7225,44.625,0.255338995,0.333217864,4.002544048,-1.401377562,0,0,4,0,4,0,2,5,9,4
2010,"2A",15,88.7225,41.25,0.71132405,0.106949067,0.992178714,-0.889820492,0,0,1,1,1,0,0,0,0,0
2010,"2A",16,88.655,41.375,0.713341825,0.087490786,1.000449352,-0.030392603,0,0,1,0,2,0,0,0,0,0
2010,"2A",17,88.385,41.625,0.689677,0.078490275,1.000287931,0.214605207,0,0,1,0,3,0,0,0,0,0
