"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.2175,57.125,0.68479705,0.71964621,4.564763348,-5.666483174,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.3975,59,0.694384975,0.55887544,5.006765588,-3.332938817,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,60.25,0.7124235,0.518339049,5.004369592,-0.2349055,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",18,84.83,67.875,0.248783873,0.477451251,5.003230673,0.931186239,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",15,90.635,45.875,0.71299615,0.717645929,4.477200087,-6.507004351,0,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.625,0.701907625,0.536988444,5.004910164,-3.221959463,0,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.8025,46.875,0.7039688,0.50109183,5.004599888,-1.296937424,0,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.1475,53.625,0.249638988,0.454477977,5.003292773,-0.717847987,0,0,5,0,4,0,1,4,8,4
"Post-1980","2A",15,91.04,39.75,0.7088568,0.301329041,1.970554423,-2.140001435,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.365,40.25,0.705965925,0.228519195,2.002590656,-0.69126045,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.3975,41.625,0.707435625,0.211933167,2.002255343,-0.526299175,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.385,43.875,0.27276451,0.188740911,2.001411444,-0.597840022,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",15,90.635,39.75,0.676678525,0.147809485,0.987506852,-0.848076703,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.75,0.6968,0.112948626,1.002123424,-0.39455304,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.8025,38.25,0.69958275,0.102717741,1.001044578,-0.325666178,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.1475,51.5,0.259969213,0.098452881,1.001134853,-0.755937011,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",15,88.655,48.75,0.6852014,0.57122977,2.729789189,-5.301320009,0,0,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.4725,54.875,0.704925675,0.404116699,3.005382213,-2.644191497,0,0,3,0,2,0,2,6,8,2
"Post-1980","2A",17,85.595,57.75,0.692988,0.372410737,3.004444079,-0.675351338,0,0,3,0,3,0,2,6,9,3
"Post-1980","2A",18,84.7625,58.25,0.256952425,0.333414074,3.002994984,0.250103287,0,0,3,0,4,0,2,6,10,4
"Post-1980","2A",15,91.6025,40.75,0.7163244,0.258521147,0.979334955,-1.719246377,0,0,1,2,1,0,1,8,9,1
"Post-1980","2A",16,90.7025,41.25,0.708151425,0.177855516,1.000009384,-0.076470022,0,0,1,0,2,0,1,8,10,2
"Post-1980","2A",17,87.485,55.125,0.71284165,0.165085329,1.000882635,0.164442321,0,0,1,0,3,0,1,8,11,3
"Post-1980","2A",18,84.7625,63,0.247075685,0.146047216,1.001259197,0.286824178,0,0,1,0,4,0,1,8,12,4
"Post-1980","2A",15,87.8225,45.75,0.697139975,0.868618413,4.292526662,-8.796120417,0,0,6,9,1,0,3,4,5,1
"Post-1980","2A",16,87.6425,49.25,0.704409725,0.672406764,5.999014267,-7.212042821,0,0,6,0,2,0,3,4,6,2
"Post-1980","2A",17,86.7425,56.875,0.698631725,0.646425337,6.005960581,-4.37441578,0,0,6,0,3,0,3,4,7,3
"Post-1980","2A",18,85.325,62.25,0.266779873,0.603955499,6.005322997,-2.321332473,0,0,6,0,4,0,3,4,8,4
"Post-1980","2A",15,91.04,44.375,0.717619775,0.67334788,3.570048651,-6.49512381,0,0,4,6,1,0,2,5,6,1
"Post-1980","2A",16,91.04,44,0.69204925,0.487600875,4.006092068,-3.351357802,0,0,4,0,2,0,2,5,7,2
"Post-1980","2A",17,90.365,44,0.7009312,0.446834428,4.005465055,-1.399855123,0,0,4,0,3,0,2,5,8,3
"Post-1980","2A",18,88.7225,44.625,0.255338995,0.399398125,4.002902483,-0.644206332,0,0,4,0,4,0,2,5,9,4
"Post-1980","2A",15,88.7225,41.25,0.71132405,0.159437801,0.987903518,-0.950105363,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,88.655,41.375,0.713341825,0.120781079,1.001188073,-0.398658478,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,41.625,0.689677,0.110851323,1.001349704,-0.312489856,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.98,42,0.256621273,0.101799679,1.000774368,-0.3778851,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",15,89.6225,44.75,0.70623435,0.815337068,4.861595068,-8.315832486,0,0,6,8,1,0,2,2,3,1
"Post-1980","2A",16,88.7225,45.75,0.694214075,0.631681834,6.005660323,-4.7924287,0,0,6,0,2,0,2,2,4,2
"Post-1980","2A",17,86.7425,51.25,0.68997845,0.593147479,6.004487828,-2.388514858,0,0,6,0,3,0,2,2,5,3
"Post-1980","2A",18,84.7625,57.5,0.248247125,0.552318549,6.00340683,-1.150779443,0,0,6,0,4,0,2,2,6,4
"Post-1980","2A",15,88.385,49.375,0.69696625,0.654702978,2.454175803,-7.154662452,0,0,3,7,1,0,4,4,5,1
"Post-1980","2A",16,87.98,53.875,0.697569025,0.444629037,3.004633548,-2.689523204,0,0,3,0,2,0,4,4,6,2
"Post-1980","2A",17,87.4175,56.25,0.6852074,0.403793493,3.004052964,-0.3155759,0,0,3,0,3,0,4,4,7,3
"Post-1980","2A",18,87.6425,53.875,0.259685588,0.356837116,3.003244528,0.390487083,0,0,3,0,4,0,4,4,8,4
"Post-1980","2A",15,86.2475,54.5,0.719422175,0.406551051,1.920434204,-2.660413923,0,0,2,3,1,0,1,7,8,1
"Post-1980","2A",16,80.87,64,0.6963975,0.288216786,2.001965866,0.043931944,0,0,2,0,2,0,1,7,9,2
"Post-1980","2A",17,79.655,71.375,0.711554,0.269246748,2.002941636,0.601168117,0,0,2,0,3,0,1,7,10,3
"Post-1980","2A",18,78.8225,75.25,0.258317563,0.241611067,2.002305396,1.006488821,0,0,2,0,4,0,1,7,11,4
"Post-1980","2A",15,89.8025,51.375,0.7063286,0.831594575,3.994748091,-8.903653622,0,0,5,8,1,0,3,5,6,1
"Post-1980","2A",16,88.385,54.625,0.697183125,0.621799356,5.007656368,-5.464463285,0,0,5,0,2,0,3,5,7,2
"Post-1980","2A",17,83.03,62.5,0.704669125,0.57105236,5.005467962,-0.651764218,0,0,5,0,3,0,3,5,8,3
"Post-1980","2A",18,80.6225,65.75,0.27055159,0.519825224,5.003373339,0.964946478,0,0,5,0,4,0,3,5,9,4
"Post-1980","2A",15,91.94,43.375,0.7110899,0.168400306,0.987178674,-0.726050472,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.94,43.625,0.703644,0.130318806,1.000815304,-0.169771458,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,87.5525,54.625,0.697764725,0.120617666,1.00205411,-0.203119178,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,83.6825,62.25,0.28916456,0.111157566,1.000603888,0.019233496,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",15,87.98,52.75,0.68050095,0.705738772,4.639827856,-5.035110264,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.8925,50.75,0.698298225,0.535758192,5.005731676,-1.524869587,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",17,84.1775,66.25,0.705158775,0.510501068,5.005330544,0.107095741,0,0,5,0,3,0,0,0,0,0
