"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",15,89.2175,57.125,0.68479705,0.838851346,3.797917119,-5.866831884,0,0.4059,5,5,1,0,0,0,0,0
2010,"2A",16,89.3975,59,0.694384975,0.713624474,5.005327872,-5.238336592,0,0.4059,5,0,2,0,0,0,0,0
2010,"2A",17,88.385,60.25,0.7124235,0.692934969,5.004918467,-1.983813932,0,0.4059,5,0,3,0,0,0,0,0
2010,"2A",18,84.83,67.875,0.248783873,0.602430462,4.830042521,1.374558562,0,0.2255,5,0,4,0,0,0,0,0
2010,"2A",19,81.7025,73.25,0,-0.128062501,0.158192905,6.722309576,0,0,0,-5,5,1,0,0,0,0
2010,"2A",15,90.635,45.875,0.71299615,0.638991973,4.073085282,-7.493808427,0.1224,0,5,6,1,0,1,4,5,1
2010,"2A",16,91.04,44.625,0.701907625,0.516481934,5.004248548,-4.868579016,0.1224,0,5,0,2,0,1,4,6,2
2010,"2A",17,89.8025,46.875,0.7039688,0.497379859,5.003609088,-2.629834181,0.1224,0,5,0,3,0,1,4,7,3
2010,"2A",18,87.1475,53.625,0.249638988,0.448070747,4.998950176,-1.191782371,0.068,0,5,0,4,0,1,4,8,4
2010,"2A",19,83.525,60.75,0,-0.134716845,0.179398403,4.228032145,0,0,0,-5,5,1,1,4,9,5
2010,"2A",15,91.04,39.75,0.7088568,0.243078627,1.942066754,-2.595165005,0,0,2,2,1,0,0,0,0,0
2010,"2A",16,90.365,40.25,0.705965925,0.174164961,2.001145249,-0.633890854,0,0,2,0,2,0,0,0,0,0
2010,"2A",17,89.3975,41.625,0.707435625,0.159578432,2.00064912,0.179037931,0,0,2,0,3,0,0,0,0,0
2010,"2A",18,88.385,43.875,0.27276451,0.146999825,2.000592185,0.316715688,0,0,2,0,4,0,0,0,0,0
2010,"2A",19,86.7425,46.875,0,-0.066025417,0.022632683,2.03571396,0,0,0,-2,5,1,0,0,0,0
2010,"2A",15,90.635,39.75,0.676678525,1.065598665,0.993825132,-0.443018934,0.7713,0.5463,1,1,1,0,0,0,0,0
2010,"2A",16,91.04,37.75,0.6968,1.022255152,1.000896237,0.985807365,0.7713,0.5463,1,0,2,0,0,0,0,0
2010,"2A",17,89.8025,38.25,0.69958275,1.051660544,1.000642401,1.448302666,0.7713,0.5463,1,0,3,0,0,0,0,0
2010,"2A",18,87.1475,51.5,0.259969213,0.653693096,1.000647229,1.509764318,0.4285,0.3035,1,0,4,0,0,0,0,0
2010,"2A",19,82.85,65.25,0,-0.013093854,0.014455446,1.546937804,0,0,0,-1,5,1,0,0,0,0
2010,"2A",15,88.655,48.75,0.6852014,0.95842952,2.525110652,-6.650162683,0.4716,0.2268,3,5,1,0,2,6,7,1
2010,"2A",16,86.4725,54.875,0.704925675,0.831320945,3.003812268,-3.327272705,0.4716,0.2268,3,0,2,0,2,6,8,2
2010,"2A",17,85.595,57.75,0.692988,0.832868125,3.003223578,-0.829525336,0.4716,0.2268,3,0,3,0,2,6,9,3
2010,"2A",18,84.7625,58.25,0.256952425,0.597699929,3.002277271,1.076968993,0.262,0.126,3,0,4,0,2,6,10,4
2010,"2A",19,81.545,62.125,0,-0.005273993,0.064678184,4.468052966,0,0,0,-3,5,1,2,6,11,5
2010,"2A",15,91.6025,40.75,0.7163244,0.463066326,0.942626664,-2.367309563,0,0.396,1,2,1,0,1,5,6,1
2010,"2A",16,90.7025,41.25,0.708151425,0.392067446,1.001326415,0.149970767,0,0.396,1,0,2,0,1,5,7,2
2010,"2A",17,87.485,55.125,0.71284165,0.380359208,1.001022282,1.285350374,0,0.396,1,0,3,0,1,5,8,3
2010,"2A",18,84.7625,63,0.247075685,0.255832053,1.000904461,1.846287738,0,0.22,1,0,4,0,1,5,9,4
2010,"2A",19,84.02,61.75,0,-0.004374349,0.013503584,2.456554403,0,0,0,-1,5,1,1,5,10,5
2010,"2A",15,87.8225,45.75,0.697139975,1.018471881,2.952310282,-8.844124054,0.4959,0,6,9,1,0,3,4,5,1
2010,"2A",16,87.6425,49.25,0.704409725,0.972913399,5.354808838,-9.937012759,0.4959,0,6,0,2,0,3,4,6,2
2010,"2A",17,86.7425,56.875,0.698631725,0.947464647,5.819411722,-7.680580079,0.4959,0,6,0,3,0,3,4,7,3
2010,"2A",18,85.325,62.25,0.266779873,0.733187287,5.320245569,-4.803435181,0.2755,0,6,0,4,0,3,4,8,4
2010,"2A",19,83.6825,65.5,0,-0.075454089,0.176342084,2.769114677,0,0,0,-6,5,1,3,4,9,5
2010,"2A",15,91.04,44.375,0.717619775,0.456878783,3.694925161,-4.781364771,0,0,4,4,1,0,0,0,0,0
2010,"2A",16,91.04,44,0.69204925,0.355009504,4.003706284,-3.018508709,0,0,4,0,2,0,0,0,0,0
2010,"2A",17,90.365,44,0.7009312,0.329857277,4.003035014,-1.388557693,0,0,4,0,3,0,0,0,0,0
2010,"2A",18,88.7225,44.625,0.255338995,0.310450473,4.002193488,-0.553220967,0,0,4,0,4,0,0,0,0,0
2010,"2A",19,84.83,61.875,0,-0.125170785,0.11582115,3.905229375,0,0,0,-4,5,1,0,0,0,0
2010,"2A",15,88.7225,41.25,0.71132405,1.262717707,0.995430925,-0.400385746,0.7641,0.8055,1,1,1,0,0,0,0,0
2010,"2A",16,88.655,41.375,0.713341825,1.226549697,1.001122047,1.334052963,0.7641,0.8055,1,0,2,0,0,0,0,0
2010,"2A",17,88.385,41.625,0.689677,1.304642194,1.000963726,2.083142766,0.7641,0.8055,1,0,3,0,0,0,0,0
2010,"2A",18,87.98,42,0.256621273,0.785536892,1.000611147,2.163845095,0.4245,0.4475,1,0,4,0,0,0,0,0
2010,"2A",19,86.7425,44.5,0,-0.007768989,0.013482328,2.690404448,0,0,0,-1,5,1,0,0,0,0
2010,"2A",15,89.6225,44.75,0.70623435,1.535967896,2.986402668,-7.302186967,0.7038,0.6417,6,8,1,0,2,8,9,1
2010,"2A",16,88.7225,45.75,0.694214075,1.506169492,4.898459932,-8.609520253,0.7038,0.6417,6,0,2,0,2,8,10,2
2010,"2A",17,86.7425,51.25,0.68997845,1.490780591,5.198408231,-5.668364268,0.7038,0.6417,6,0,3,0,2,8,11,3
2010,"2A",18,84.7625,57.5,0.248247125,1.048182717,4.733106532,-2.980431652,0.391,0.3565,6,0,4,0,2,8,12,4
2010,"2A",19,82.1075,62.75,0,-0.04037412,0.133448204,3.531995325,0,0,0,-6,5,1,2,8,13,5
2010,"2A",15,88.385,49.375,0.69696625,0.904591615,1.765527634,-8.981506678,0,0.6012,3,7,1,0,4,4,5,1
2010,"2A",16,87.98,53.875,0.697569025,0.751781649,3.004019243,-6.152710557,0,0.6012,3,0,2,0,4,4,6,2
2010,"2A",17,87.4175,56.25,0.6852074,0.739376874,3.004329745,-3.119261519,0,0.6012,3,0,3,0,4,4,7,3
2010,"2A",18,87.6425,53.875,0.259685588,0.546629423,3.003135739,-0.339795735,0,0.334,3,0,4,0,4,4,8,4
2010,"2A",19,84.83,60.125,0,0.029740891,0.059062487,3.781525413,0,0,0,-3,5,1,4,4,9,5
2010,"2A",15,86.2475,54.5,0.719422175,0.603935728,1.880182477,-3.225009321,0.3879,0,2,3,1,0,1,2,3,1
