"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.2175,57.125,0.68479705,1.119053642,4.440518761,-5.597521877,0,0.4059,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.3975,59,0.694384975,0.951763206,5.007092805,-2.264469679,0,0.4059,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.385,60.25,0.7124235,0.909972336,5.005055494,1.490788566,0,0.4059,5,0,3,0,0,0,0,0
"Post-1980","2A",18,84.83,67.875,0.248783873,0.834317312,5.00354616,2.590258618,0,0.3608,5,0,4,0,0,0,0,0
"Post-1980","2A",19,81.7025,73.25,0,-0.206954485,0.167119184,5.543647862,0,0,0,-5,5,1,0,0,0,0
"Post-1980","2A",15,90.635,45.875,0.71299615,0.929889866,4.464488882,-6.474938438,0.1224,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.625,0.701907625,0.751664581,5.004962809,-3.186812423,0.1224,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.8025,46.875,0.7039688,0.717931512,5.004663328,-1.228376813,0.1224,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.1475,53.625,0.249638988,0.580534462,5.003347167,-0.621000532,0.068,0,5,0,4,0,1,4,8,4
"Post-1980","2A",19,83.525,60.75,0,-0.198559082,0.164691434,2.944051521,0,0,0,-5,5,1,1,4,9,5
"Post-1980","2A",15,91.04,39.75,0.7088568,0.303754929,1.970182653,-2.118258677,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.365,40.25,0.705965925,0.230905626,2.002743872,-0.664931832,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.3975,41.625,0.707435625,0.214200015,2.002260932,-0.501286189,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.385,43.875,0.27276451,0.190873712,2.001418155,-0.574510833,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",19,86.7425,46.875,0,-0.129294706,0.020033096,1.093144155,0,0,0,-2,5,1,0,0,0,0
"Post-1980","2A",15,90.635,39.75,0.676678525,1.998922252,0.998412342,-0.288325466,0.7713,0.5463,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.75,0.6968,1.987403163,1.003643667,0.828111,0.7713,0.5463,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.8025,38.25,0.69958275,1.992245443,1.001770997,1.193152319,0.7713,0.5463,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.1475,51.5,0.259969213,1.341430988,1.001516037,0.871409222,0.4285,0.4856,1,0,4,0,0,0,0,0
"Post-1980","2A",19,82.85,65.25,0,0.000752231,0.018869541,1.291575577,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",15,88.655,48.75,0.6852014,1.613162609,2.680500867,-5.081333708,0.4716,0.2268,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.4725,54.875,0.704925675,1.452420411,3.005857718,-2.173169772,0.4716,0.2268,3,0,2,0,2,6,8,2
