"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,79.85,46.25,0.420756376,0.205011555,-0.066987334,0.09210785,0.1224,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,79.55,46.75,0.40758242,0.207017693,-0.099177404,0.119380596,0.1224,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,78.8,48,0.423154652,0.211958214,-0.112862999,0.145240874,0.1224,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.6,52.08333333,0.192947743,0.114073533,-0.13979739,0.182699699,0.068,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.15,30.25,0.408339977,0.000859444,-0.019240079,0.006487735,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,54.35,37.75,0.421310964,0.000254236,-0.020218156,0.005892884,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,52.55,46.33333333,0.406497075,-0.000594417,-0.018815726,0.005672147,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,49.7,53.25,0.182801517,-0.002394854,-0.0200514,0.008814224,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,50.315,35.41666667,0.421703208,1.170698144,-0.381938367,0.208489373,0.7713,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.225,35.58333333,0.425894167,1.156935668,-0.647111739,0.315900257,0.7713,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.9,40.66666667,0.420106036,1.142592265,-0.806253666,0.354734582,0.7713,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,44.3,48.08333333,0.176819579,0.564610671,-0.658253804,0.255724547,0.4285,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.25,57.33333333,0.414104946,0.707596602,-0.40471368,0.270201396,0.4716,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,61.33333333,0.424619833,0.709884939,-0.580388179,0.167114577,0.4716,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,57.95,65.33333333,0.417166673,0.697614517,-0.696875976,0.472856439,0.4716,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.05,82.75,0.183723313,0.318961399,-0.541680455,0.416119648,0.262,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,63.35,28.16666667,0.433594851,1.118276121,-0.616933406,0.575774537,0.7038,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.55,31.91666667,0.426324208,1.099801454,-0.857568369,0.637529735,0.7038,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.75,38.08333333,0.438396042,1.079871354,-1.029728069,0.609560901,0.7038,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.8,53.25,0.17437465,0.507365779,-0.81186599,0.458254205,0.391,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,51.8,47,0.426560345,0.71392869,-0.31437804,0.236693798,0.4959,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.75,51.08333333,0.415680774,0.695262448,-0.485890109,0.326692135,0.4959,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.9,55.75,0.402633615,0.672682021,-0.557010527,0.372286121,0.4959,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,45.35,59.33333333,0.163102516,0.303605541,-0.454786329,0.291260645,0.2755,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.25,28.83333333,0.440018335,-0.017662149,-0.118237372,0.046224595,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,26.83333333,0.432651942,-0.012590168,-0.122696905,0.045421388,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59,27.16666667,0.434941899,-0.010594982,-0.123024905,0.043362892,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.8,36.75,0.185491762,-0.018344678,-0.108991504,0.039765644,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,70.85,44.25,0.404086133,1.894043938,-1.289980226,1.457920168,0.7641,0.8055,0,0,1,0,0,0,0,0
"Post-1980","2A",16,69.5,50.58333333,0.411515476,1.832416026,-1.849388993,1.886130281,0.7641,0.8055,0,0,2,0,0,0,0,0
"Post-1980","2A",17,66.95,58.33333333,0.406414874,1.777776027,-2.118400129,2.24743448,0.7641,0.8055,0,0,3,0,0,0,0,0
"Post-1980","2A",18,63.05,67,0.195742855,1.009786874,-1.760788341,1.894287411,0.4245,0.716,0,0,4,0,0,0,0,0
"Post-1980","2A",15,66.95,73,0.421796851,1.720260899,-1.57641673,2.367412675,0.7038,0.6417,0,0,1,0,0,0,0,0
"Post-1980","2A",16,65.15,73,0.409825488,1.659517999,-2.093672805,3.102232055,0.7038,0.6417,0,0,2,0,0,0,0,0
"Post-1980","2A",17,62.3,75.33333333,0.410882185,1.594484087,-2.264059446,3.207456081,0.7038,0.6417,0,0,3,0,0,0,0,0
