"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",11,84.35,62.33333333,0.449155513,-0.345359941,-0.715315212,0.654538227,0,0,-1,-1,0,0,1,4,1,0
"Post-1980","2A",12,87.155,54.91666667,0.425442268,-0.309023331,-0.723266971,0.583369388,0,0,-1,0,0,0,1,4,2,0
"Post-1980","2A",13,89.135,47.91666667,0.337062619,-0.289373868,-0.723267038,0.648057387,0,0,-1,0,0,0,1,4,3,0
"Post-1980","2A",14,89.96,47.33333333,0.213280713,-0.279838507,-0.723287061,0.772650615,0,0,-1,0,0,0,1,4,4,0
"Post-1980","2A",9,78.335,71.91666667,0.000270563,-0.589699244,-1.40822037,1.633971783,0,0,-2,-2,0,0,2,6,1,0
"Post-1980","2A",10,82.37,62,0.240308046,-0.560113254,-1.446650147,1.579085822,0,0,-2,0,0,0,2,6,2,0
"Post-1980","2A",11,83.39,59.33333333,0.414856233,-0.545978223,-1.446592224,1.456785963,0,0,-2,0,0,0,2,6,3,0
"Post-1980","2A",12,85.355,53.41666667,0.404434048,-0.52317917,-1.446545236,1.452182878,0,0,-2,0,0,0,2,6,4,0
"Post-1980","2A",13,87.605,45.08333333,0.317785475,-0.501448041,-1.446556657,1.592479014,0,0,-2,0,0,0,2,6,5,0
"Post-1980","2A",14,87.98,47.08333333,0.27049436,-0.49398038,-1.446614512,1.786023049,0,0,-2,0,0,0,2,6,6,0
"Post-1980","2A",10,82.565,60.66666667,0.257121719,-0.193359327,-0.723329892,0.767268768,0,0,-1,0,0,0,1,8,4,0
"Post-1980","2A",11,85.355,51.41666667,0.421873365,-0.206942069,-0.723285081,0.674932104,0,0,-1,0,0,0,1,8,5,0
"Post-1980","2A",12,87.605,44.25,0.424853054,-0.207231524,-0.723268848,0.700523777,0,0,-1,0,0,0,1,8,6,0
"Post-1980","2A",13,89.135,41.83333333,0.341079418,-0.202890477,-0.723283189,0.757678517,0,0,-1,0,0,0,1,8,7,0
"Post-1980","2A",14,90.59,41.58333333,0.250213695,-0.203276198,-0.72330152,0.84686818,0,0,-1,0,0,0,1,8,8,0
"Post-1980","2A",11,86.18,54.33333333,0.425528543,-1.231908269,-2.008872843,2.582287502,0,0,-3,-3,0,0,3,4,1,0
"Post-1980","2A",12,87.605,50.41666667,0.404121071,-0.963607292,-2.169881909,2.399782944,0,0,-3,0,0,0,3,4,2,0
"Post-1980","2A",13,89.135,47.08333333,0.322856732,-0.89092754,-2.16987308,2.470906703,0,0,-3,0,0,0,3,4,3,0
"Post-1980","2A",14,89.435,43.25,0.26476524,-0.840823685,-2.169905206,2.703179059,0,0,-3,0,0,0,3,4,4,0
"Post-1980","2A",10,82.745,66.75,0.246026182,-0.585355521,-1.414777869,1.778792684,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,85.175,58.33333333,0.404809014,-0.521153994,-1.446581423,1.421614003,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,86.63,55,0.41564993,-0.484960271,-1.446552064,1.451956905,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,88.235,50.91666667,0.335738002,-0.468407844,-1.446565406,1.549568009,0,0,-2,0,0,0,2,5,4,0
