Vintage,Climate.zone,Hour.number,Outdoor.Temp.F.,Outdoor.Humid.,Occ.Fraction.,Demand.Power.Diff.sf.,Indoor.Temp.Diff.F.,Indoor.Humid.Diff.,Lighting.Power.Diff.pct.,MELs.Diff.pct.,Cooling.Setpoint.Diff.,Cooling.Setpoint.Diff.One.Step.,Since.DR.Started.,Since.DR.Ended.,Pre.cooling.Temp.Decrease.,Pre.cooling.Duration.,Since.Pre.cooling.Started.,Since.Pre.cooling.Ended.
2010,2A,15,89.135,56.91666667,0.43466428,0.284268948,1.470864016,-1.126108233,0,0,5,5,1,0,0,0,0,0
2010,2A,16,89.435,59,0.410515512,0.312867606,2.180579535,-1.249536469,0,0,5,0,2,0,0,0,0,0
2010,2A,17,88.43,60.16666667,0.411454161,0.240136059,1.823956981,-0.328146056,0,0,5,0,3,0,0,0,0,0
2010,2A,18,85.04,67.41666667,0.173028393,0.169717648,1.25969759,0.380524461,0,0,5,0,4,0,0,0,0,0
2010,2A,15,90.59,46.08333333,0.412208202,0.384854744,1.5750358,-2.092546267,0,0,5,6,1,0,1,4,5,1
2010,2A,16,91.04,44.58333333,0.405474899,0.378420201,2.421263246,-2.057813595,0,0,5,0,2,0,1,4,6,2
2010,2A,17,89.885,46.75,0.42251472,0.354712302,2.444178125,-1.323005766,0,0,5,0,3,0,1,4,7,3
2010,2A,18,87.275,53.25,0.185037936,0.2269273,1.829038361,-0.308930771,0,0,5,0,4,0,1,4,8,4
2010,2A,15,91.04,39.83333333,0.431340376,0.251419788,1.521982625,-1.111509687,0,0,2,2,1,0,0,0,0,0
2010,2A,16,90.41,40.16666667,0.4322285,0.237947793,1.774521591,-0.823824094,0,0,2,0,2,0,0,0,0,0
2010,2A,17,89.435,41.58333333,0.422261702,0.226640476,1.763617923,-0.588645004,0,0,2,0,3,0,0,0,0,0
2010,2A,18,88.43,43.75,0.17805663,0.173525453,1.541221294,-0.155929202,0,0,2,0,4,0,0,0,0,0
2010,2A,15,90.59,39.83333333,0.418807702,0.138706112,0.95757218,-0.546640548,0,0,1,1,1,0,0,0,0,0
2010,2A,16,91.04,37.83333333,0.422497929,0.114462966,1.002748882,-0.228201251,0,0,1,0,2,0,0,0,0,0
2010,2A,17,89.885,38.16666667,0.420510756,0.105639261,0.998985787,-0.109673813,0,0,1,0,3,0,0,0,0,0
2010,2A,18,87.275,50.66666667,0.189006548,0.102312177,0.964599466,-0.040482383,0,0,1,0,4,0,0,0,0,0
2010,2A,15,88.61,48.83333333,0.435505357,0.36442743,1.122949326,-1.688590521,0,0,3,5,1,0,2,6,7,1
2010,2A,16,86.645,54.41666667,0.44380929,0.331159568,2.126417533,-1.711478704,0,0,3,0,2,0,2,6,8,2
2010,2A,17,85.55,57.83333333,0.418251464,0.299386691,2.096148093,-1.019469672,0,0,3,0,3,0,2,6,9,3
2010,2A,18,84.845,58.16666667,0.176061894,0.208261792,1.476196313,0.218213278,0,0,3,0,4,0,2,6,10,4
2010,2A,15,91.565,40.83333333,0.419095226,0.192238547,0.782875103,-0.597863482,0,0,1,2,1,0,1,8,9,1
2010,2A,16,90.785,41.16666667,0.408805882,0.154186316,0.955649102,-0.187418899,0,0,1,0,2,0,1,8,10,2
2010,2A,17,87.65,54.25,0.416449892,0.134736076,0.945718179,-0.034388447,0,0,1,0,3,0,1,8,11,3
2010,2A,18,84.845,63,0.166683235,0.124487017,0.940390426,-0.01023445,0,0,1,0,4,0,1,8,12,4
2010,2A,15,87.905,45.5,0.417442597,0.281066912,0.48989466,-1.11615001,0,0,6,9,1,0,3,4,5,1
2010,2A,16,87.605,49.16666667,0.41525378,0.290340936,1.692640655,-1.097200758,0,0,6,0,2,0,3,4,6,2
