"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.135,56.91666667,0.567762682,0.457850559,1.918724028,-2.295292388,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.435,59,0.591419682,0.500148984,2.644873755,-2.122708324,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.43,60.16666667,0.578722909,0.418211356,2.670503742,-1.808165726,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",18,85.04,67.41666667,0.566380515,0.26091641,2.155891964,-1.081583573,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",15,90.59,46.08333333,0.571270727,0.589420214,1.881167983,-2.434454631,0,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.58333333,0.587966894,0.615457909,2.7547628,-2.315174703,0,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.885,46.75,0.575854606,0.587616776,2.919009138,-2.168024822,0,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.275,53.25,0.551147318,0.401249333,2.449694226,-1.481412607,0,0,5,0,4,0,1,4,8,4
"Post-1980","2A",15,91.04,39.83333333,0.537247909,0.426335028,1.808294117,-2.232200684,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.41,40.16666667,0.572390348,0.388703829,1.999546959,-1.953215674,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.435,41.58333333,0.561296864,0.372892641,1.99974923,-1.861037587,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.43,43.75,0.576133621,0.303692599,1.975327662,-1.740098045,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",15,90.59,39.83333333,0.544890182,0.254946667,0.980538923,-1.229281139,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.83333333,0.617933348,0.229334101,0.999887736,-1.096159614,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.885,38.16666667,0.606092773,0.212330227,0.999878457,-1.072829467,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.275,50.66666667,0.578263409,0.171881006,0.999920595,-1.022068906,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",15,88.61,48.83333333,0.532681197,0.590355942,1.361217716,-2.052385318,0,0,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.645,54.41666667,0.551126303,0.565524248,2.372827716,-2.236093946,0,0,3,0,2,0,2,6,8,2
