Vintage,Climate.zone,Hour.number,Outdoor.Temp.F.,Outdoor.Humid.,Occ.Fraction.,Demand.Power.Diff.sf.,Indoor.Temp.Diff.F.,Indoor.Humid.Diff.,Lighting.Power.Diff.pct.,MELs.Diff.pct.,Cooling.Setpoint.Diff.,Cooling.Setpoint.Diff.One.Step.,Since.DR.Started.,Since.DR.Ended.,Pre.cooling.Temp.Decrease.,Pre.cooling.Duration.,Since.Pre.cooling.Started.,Since.Pre.cooling.Ended.
post-1980,2A,15,89.135,56.91666667,0.43466428,0.560245054,2.308528745,-2.496805765,0,0,5,5,1,0,0,0,0,0
post-1980,2A,16,89.435,59,0.410515512,0.59718756,3.176001941,-2.563905842,0,0,5,0,2,0,0,0,0,0
post-1980,2A,17,88.43,60.16666667,0.411454161,0.396123584,2.600932886,-1.431044248,0,0,5,0,3,0,0,0,0,0
post-1980,2A,18,85.04,67.41666667,0.173028393,0.18434516,1.764210652,-0.671656351,0,0,5,0,4,0,0,0,0,0
post-1980,2A,15,90.59,46.08333333,0.412208202,0.699634382,2.336384149,-2.663866556,0,0,5,6,1,0,1,4,5,1
post-1980,2A,16,91.04,44.58333333,0.405474899,0.697806309,3.334093466,-2.723897453,0,0,5,0,2,0,1,4,6,2
post-1980,2A,17,89.885,46.75,0.42251472,0.550995369,3.035661993,-2.045080085,0,0,5,0,3,0,1,4,7,3
post-1980,2A,18,87.275,53.25,0.185037936,0.303611276,2.243963128,-1.195646758,0,0,5,0,4,0,1,4,8,4
post-1980,2A,15,91.04,39.83333333,0.431340376,0.486089049,1.871194079,-2.031543808,0,0,2,2,1,0,0,0,0,0
post-1980,2A,16,90.41,40.16666667,0.4322285,0.425222397,1.999726056,-1.789495493,0,0,2,0,2,0,0,0,0,0
post-1980,2A,17,89.435,41.58333333,0.422261702,0.365007964,1.976268229,-1.63469768,0,0,2,0,3,0,0,0,0,0
post-1980,2A,18,88.43,43.75,0.17805663,0.255424601,1.769515557,-1.25412752,0,0,2,0,4,0,0,0,0,0
post-1980,2A,15,90.59,39.83333333,0.418807702,0.259041104,0.989789607,-0.968240335,0,0,1,1,1,0,0,0,0,0
post-1980,2A,16,91.04,37.83333333,0.422497929,0.222539412,0.9998881,-0.859593215,0,0,1,0,2,0,0,0,0,0
post-1980,2A,17,89.885,38.16666667,0.420510756,0.192723603,0.999905101,-0.822646274,0,0,1,0,3,0,0,0,0,0
post-1980,2A,18,87.275,50.66666667,0.189006548,0.151615635,0.971894574,-0.753856641,0,0,1,0,4,0,0,0,0,0
post-1980,2A,15,88.61,48.83333333,0.435505357,0.68530482,1.772073054,-2.101645989,0,0,3,5,1,0,2,6,7,1
post-1980,2A,16,86.645,54.41666667,0.44380929,0.632657488,2.699521982,-2.227800776,0,0,3,0,2,0,2,6,8,2
post-1980,2A,17,85.55,57.83333333,0.418251464,0.482786822,2.42637258,-1.251603997,0,0,3,0,3,0,2,6,9,3
post-1980,2A,18,84.845,58.16666667,0.176061894,0.287136242,1.694719943,-0.355174894,0,0,3,0,4,0,2,6,10,4
post-1980,2A,15,91.565,40.83333333,0.419095226,0.359507352,0.91264428,-1.023921136,0,0,1,2,1,0,1,8,9,1
post-1980,2A,16,90.785,41.16666667,0.408805882,0.27184076,0.999911441,-0.731799177,0,0,1,0,2,0,1,8,10,2
post-1980,2A,17,87.65,54.25,0.416449892,0.217338605,0.996726174,-0.600607305,0,0,1,0,3,0,1,8,11,3
post-1980,2A,18,84.845,63,0.166683235,0.159554831,0.88906426,-0.244825743,0,0,1,0,4,0,1,8,12,4
post-1980,2A,15,87.905,45.5,0.417442597,0.579112832,1.149811526,-1.327351359,0,0,6,9,1,0,3,4,5,1
post-1980,2A,16,87.605,49.16666667,0.41525378,0.586025033,2.448847981,-1.649002117,0,0,6,0,2,0,3,4,6,2
post-1980,2A,17,86.825,56.41666667,0.417042821,0.492679044,2.340373488,-1.231168258,0,0,6,0,3,0,3,4,7,3
post-1980,2A,18,85.37,62.16666667,0.186753874,0.267258351,1.569462174,-0.353762681,0,0,6,0,4,0,3,4,8,4
post-1980,2A,15,91.04,44.41666667,0.41320594,0.765189886,1.806058556,-2.279287675,0,0,4,6,1,0,2,5,6,1
post-1980,2A,16,91.04,44,0.418767387,0.736035886,2.933160571,-2.68956026,0,0,4,0,2,0,2,5,7,2
post-1980,2A,17,90.41,44,0.42585324,0.582148437,2.686861711,-1.748219547,0,0,4,0,3,0,2,5,8,3
post-1980,2A,18,88.805,44.58333333,0.166653334,0.33272921,1.914869498,-0.776561771,0,0,4,0,4,0,2,5,9,4
post-1980,2A,15,88.805,41.16666667,0.417924744,0.269606568,0.987162024,-0.903233705,0,0,1,1,1,0,0,0,0,0
post-1980,2A,16,88.61,41.41666667,0.409340496,0.231853682,0.999892254,-0.783245395,0,0,1,0,2,0,0,0,0,0
post-1980,2A,17,88.43,41.58333333,0.415692708,0.198774088,0.999868841,-0.71910148,0,0,1,0,3,0,0,0,0,0
post-1980,2A,18,87.98,42,0.17988863,0.160002581,0.956597455,-0.595846025,0,0,1,0,4,0,0,0,0,0
