"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",15,89.135,56.91666667,0.397273208,0.459445722,0.246842858,-0.229838008,0,0.389809008,5,5,1,0,0,0,0,0
2010,"2A",16,89.435,59,0.43466428,0.500114012,0.465051609,-0.103773219,0,0.389809008,5,0,2,0,0,0,0,0
2010,"2A",17,88.43,60.16666667,0.410515512,0.420766467,0.285264504,0.407479822,0,0.389809008,5,0,3,0,0,0,0,0
2010,"2A",18,85.04,67.41666667,0.411454161,0.228853689,-0.009952987,0.742091036,0,0.21656056,5,0,4,0,0,0,0,0
2010,"2A",19,81.785,73.16666667,0.173028393,-0.013905141,-0.045082073,0.445856908,0,0,0,-5,5,1,0,0,0,0
2010,"2A",15,90.59,46.08333333,0.380953262,0.398164268,0.556042602,-0.993539141,0.1106496,0,5,6,1,0,1,4,5,1
2010,"2A",16,91.04,44.58333333,0.412208202,0.411351897,0.948409367,-0.811526983,0.1106496,0,5,0,2,0,1,4,6,2
2010,"2A",17,89.885,46.75,0.405474899,0.389040222,0.938256981,-0.53622542,0.1106496,0,5,0,3,0,1,4,7,3
2010,"2A",18,87.275,53.25,0.42251472,0.209439607,0.52664784,0.122611842,0.061472,0,5,0,4,0,1,4,8,4
2010,"2A",19,83.69,60.5,0.185037936,-0.044132737,0.005801514,0.545696985,0,0,0,-5,5,1,1,4,9,5
2010,"2A",15,91.04,39.83333333,0.398130955,0.177958477,0.718177122,-0.806747953,0,0,2,2,1,0,0,0,0,0
2010,"2A",16,90.41,40.16666667,0.431340376,0.195435422,0.934747476,-0.706049879,0,0,2,0,2,0,0,0,0,0
2010,"2A",17,89.435,41.58333333,0.4322285,0.189989749,0.987022831,-0.652779161,0,0,2,0,3,0,0,0,0,0
2010,"2A",18,88.43,43.75,0.422261702,0.118245878,0.710407595,-0.230359303,0,0,2,0,4,0,0,0,0,0
2010,"2A",19,86.825,46.75,0.17805663,-0.053830837,0.034253279,0.411943604,0,0,0,-2,5,1,0,0,0,0
2010,"2A",15,90.59,39.83333333,0.417927887,1.264536333,0.069396022,0.080171126,0.6972552,0.524643166,1,1,1,0,0,0,0,0
2010,"2A",16,91.04,37.83333333,0.418807702,1.287124896,0.016611949,0.417118451,0.6972552,0.524643166,1,0,2,0,0,0,0,0
2010,"2A",17,89.885,38.16666667,0.422497929,1.28250974,-0.008835817,0.732323143,0.6972552,0.524643166,1,0,3,0,0,0,0,0
2010,"2A",18,87.275,50.66666667,0.420510756,0.704839174,-0.132742271,0.940961405,0.387364,0.291468425,1,0,4,0,0,0,0,0
2010,"2A",19,83.06,64.83333333,0.189006548,-0.003919693,-0.216487103,0.790910515,0,0,0,-1,5,1,0,0,0,0
2010,"2A",15,88.61,48.83333333,0.397113119,0.849259707,0.007926222,-0.508498068,0.4263264,0.217809024,3,5,1,0,2,6,7,1
2010,"2A",16,86.645,54.41666667,0.435505357,0.851304146,0.370266437,-0.374619789,0.4263264,0.217809024,3,0,2,0,2,6,8,2
2010,"2A",17,85.55,57.83333333,0.44380929,0.804929018,0.260664749,0.124913756,0.4263264,0.217809024,3,0,3,0,2,6,9,3
2010,"2A",18,84.845,58.16666667,0.418251464,0.478793471,0.005009509,0.780160894,0.236848,0.121005013,3,0,4,0,2,6,10,4
2010,"2A",19,81.71,61.91666667,0.176061894,-0.009031748,-0.289933286,0.936604229,0,0,0,-3,5,1,2,6,11,5
2010,"2A",15,91.565,40.83333333,0.39374803,0.43667192,0.004142313,-0.169310428,0,0.380301471,1,2,1,0,1,5,6,1
2010,"2A",16,90.785,41.16666667,0.419095226,0.42000997,0.096676281,0.061634621,0,0.380301471,1,0,2,0,1,5,7,2
2010,"2A",17,87.65,54.25,0.408805882,0.375167232,0.104301022,0.33101231,0,0.380301471,1,0,3,0,1,5,8,3
2010,"2A",18,84.845,63,0.416449892,0.190952133,-0.045842813,0.5394842,0,0.211278595,1,0,4,0,1,5,9,4
2010,"2A",19,84.02,61.83333333,0.166683235,-0.00687945,-0.126563969,0.463694428,0,0,0,-1,5,1,1,5,10,5
2010,"2A",15,87.905,45.5,0.409498679,0.605559221,-0.316981857,-0.490330182,0.4482936,0,6,9,1,0,3,4,5,1
2010,"2A",16,87.605,49.16666667,0.417442597,0.624615341,0.274492718,-0.478488785,0.4482936,0,6,0,2,0,3,4,6,2
2010,"2A",17,86.825,56.41666667,0.41525378,0.674515609,0.304096603,0.090439985,0.4482936,0,6,0,3,0,3,4,7,3
2010,"2A",18,85.37,62.16666667,0.417042821,0.403260753,-0.083529706,0.810706418,0.249052,0,6,0,4,0,3,4,8,4
2010,"2A",19,83.765,65.33333333,0.186753874,-0.012076914,-0.358253999,0.987972839,0,0,0,-6,5,1,3,4,9,5
2010,"2A",15,91.04,44.41666667,0.408524351,0.313655551,0.837328419,-0.918145051,0,0,4,4,1,0,0,0,0,0
2010,"2A",16,91.04,44,0.41320594,0.30255934,1.10942912,-0.78351029,0,0,4,0,2,0,0,0,0,0
2010,"2A",17,90.41,44,0.418767387,0.291631941,1.128900409,-0.626201387,0,0,4,0,3,0,0,0,0,0
2010,"2A",18,88.805,44.58333333,0.42585324,0.152812922,0.668390385,0.046428229,0,0,4,0,4,0,0,0,0,0
2010,"2A",19,85.04,60.75,0.166653334,-0.045658988,-0.014546742,0.624627231,0,0,0,-4,5,1,0,0,0,0
2010,"2A",15,88.805,41.16666667,0.387423417,1.41105869,-0.182591474,0.509315257,0.6907464,0.773567765,1,1,1,0,0,0,0,0
2010,"2A",16,88.61,41.41666667,0.417924744,1.44485761,-0.260686672,1.015394024,0.6907464,0.773567765,1,0,2,0,0,0,0,0
2010,"2A",17,88.43,41.58333333,0.409340496,1.385527577,-0.44288509,1.485243476,0.6907464,0.773567765,1,0,3,0,0,0,0,0
2010,"2A",18,87.98,42,0.415692708,0.74096293,-0.54525686,1.562688353,0.383748,0.429759869,1,0,4,0,0,0,0,0
2010,"2A",19,86.825,44.33333333,0.17988863,-0.000281695,-0.376838542,1.015075761,0,0,0,-1,5,1,0,0,0,0
2010,"2A",15,89.585,44.5,0.389882845,1.339866547,-0.478727184,0.140385983,0.6362352,0.616261247,6,8,1,0,2,8,9,1
2010,"2A",16,88.805,45.83333333,0.415044395,1.337022988,-0.306870911,0.503868643,0.6362352,0.616261247,6,0,2,0,2,8,10,2
2010,"2A",17,86.825,50.83333333,0.429283504,1.331195681,-0.424158949,1.223239159,0.6362352,0.616261247,6,0,3,0,2,8,11,3
2010,"2A",18,84.845,57.33333333,0.415297061,0.755237164,-0.630099325,1.656807376,0.353464,0.34236736,6,0,4,0,2,8,12,4
2010,"2A",19,82.235,62.5,0.177529042,-0.006171214,-0.571001624,1.299476786,0,0,0,-6,5,1,2,8,13,5
2010,"2A",15,88.43,49.08333333,0.382874299,0.675629748,-0.967987885,0.172307212,0,0.577366779,3,7,1,0,4,4,5,1
2010,"2A",16,87.98,53.75,0.427183143,0.662748948,-0.439593417,0.150262056,0,0.577366779,3,0,2,0,4,4,6,2
2010,"2A",17,87.455,56.16666667,0.423323435,0.64327145,-0.407729879,0.698871891,0,0.577366779,3,0,3,0,4,4,7,3
