"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.135,56.91666667,0.397273208,0.845158169,0.971783107,-1.045666538,0,0.4059,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.435,59,0.43466428,0.88995164,1.336689756,-0.706277621,0,0.4059,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.43,60.16666667,0.410515512,0.808929878,1.310638649,-0.418551306,0,0.4059,5,0,3,0,0,0,0,0
"Post-1980","2A",18,85.04,67.41666667,0.411454161,0.609297539,0.956596611,0.085905676,0,0.3608,5,0,4,0,0,0,0,0
"Post-1980","2A",19,81.785,73.16666667,0.173028393,-0.091456213,0.006592771,0.757802334,0,0,0,-5,5,1,0,0,0,0
"Post-1980","2A",15,90.59,46.08333333,0.380953262,0.791070703,1.249484218,-1.598676775,0.1224,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.58333333,0.412208202,0.821186627,1.826373143,-1.449063176,0.1224,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.885,46.75,0.405474899,0.795614477,1.92291723,-1.316439378,0.1224,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.275,53.25,0.42251472,0.51597486,1.604252624,-0.848381263,0.068,0,5,0,4,0,1,4,8,4
"Post-1980","2A",19,83.69,60.5,0.185037936,-0.179196551,0.015668092,0.642348734,0,0,0,-5,5,1,1,4,9,5
"Post-1980","2A",15,91.04,39.83333333,0.398130955,0.430033454,1.303320048,-1.602526809,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.41,40.16666667,0.431340376,0.393534655,1.446094599,-1.40137098,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.435,41.58333333,0.4322285,0.377468488,1.446553703,-1.333119547,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.43,43.75,0.422261702,0.306989471,1.424640389,-1.24011796,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",19,86.825,46.75,0.17805663,-0.200818491,0.018742202,0.422143697,0,0,0,-2,5,1,0,0,0,0
"Post-1980","2A",15,90.59,39.83333333,0.417927887,2.300104467,0.485997314,-0.312443759,0.7713,0.5463,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.83333333,0.418807702,2.324432576,0.453981705,0.110583941,0.7713,0.5463,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.885,38.16666667,0.422497929,2.327371661,0.424545917,0.293086924,0.7713,0.5463,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.275,50.66666667,0.420510756,1.553397401,0.321027127,0.479288238,0.4285,0.4856,1,0,4,0,0,0,0,0
"Post-1980","2A",19,83.06,64.83333333,0.189006548,0.024369669,-0.023121052,0.63779028,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",15,88.61,48.83333333,0.397113119,1.586066853,0.453077427,-0.627530998,0.4716,0.2268,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.645,54.41666667,0.435505357,1.580348746,0.886302364,-0.541722122,0.4716,0.2268,3,0,2,0,2,6,8,2
"Post-1980","2A",17,85.55,57.83333333,0.44380929,1.531181287,0.864598969,-0.023717836,0.4716,0.2268,3,0,3,0,2,6,9,3
"Post-1980","2A",18,84.845,58.16666667,0.418251464,1.038478725,0.669135068,0.405880141,0.262,0.2016,3,0,4,0,2,6,10,4
"Post-1980","2A",19,81.71,61.91666667,0.176061894,0.018401646,-0.036812099,0.949535763,0,0,0,-3,5,1,2,6,11,5
"Post-1980","2A",15,91.565,40.83333333,0.39374803,0.79265233,0.460255985,-0.616915609,0,0.396,1,2,1,0,1,5,6,1
"Post-1980","2A",16,90.785,41.16666667,0.419095226,0.747919311,0.6403269,-0.351462875,0,0.396,1,0,2,0,1,5,7,2
"Post-1980","2A",17,87.65,54.25,0.408805882,0.713170667,0.672264691,-0.186590032,0,0.396,1,0,3,0,1,5,8,3
"Post-1980","2A",18,84.845,63,0.416449892,0.579843752,0.578187343,0.153210186,0,0.352,1,0,4,0,1,5,9,4
"Post-1980","2A",19,84.02,61.83333333,0.166683235,-0.008679998,-0.010453889,0.570009181,0,0,0,-1,5,1,1,5,10,5
"Post-1980","2A",15,87.905,45.5,0.409498679,1.2879813,0.278283183,-0.469293014,0.4959,0,6,9,1,0,3,4,5,1
"Post-1980","2A",16,87.605,49.16666667,0.417442597,1.296968594,0.918231229,-0.496542317,0.4959,0,6,0,2,0,3,4,6,2
