"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",13,79.85,46.25,0.7,0.287885373,-9.74e-05,0.77277162,0.1224,0,0,0,1,0,0,0,0,0
2010,"2A",14,79.55,46.75,0.8,0.292662029,-7.8e-05,0.879910856,0.1224,0,0,0,2,0,0,0,0,0
2010,"2A",15,78.8,48,0.7,0.29316839,-9.01e-05,0.910024021,0.1224,0,0,0,3,0,0,0,0,0
2010,"2A",16,74.6,52.08333333,0.5,0.289715235,-4.21e-05,0.883034176,0.1224,0,0,0,4,0,0,0,0,0
2010,"2A",13,56.15,30.25,0.7,0.060245173,-0.08357852,0.077223287,0,0,0,0,1,0,0,0,0,0
2010,"2A",14,54.35,37.75,0.8,0.05846917,-0.085573941,0.080011106,0,0,0,0,2,0,0,0,0,0
2010,"2A",15,52.55,46.33333333,0.7,0.055851448,-0.108976818,0.135404229,0,0,0,0,3,0,0,0,0,0
2010,"2A",16,49.7,53.25,0.5,0.049461122,-0.159733885,0.18347857,0,0,0,0,4,0,0,0,0,0
2010,"2A",13,50.315,35.41666667,0.7,1.22732157,-0.723451241,0.57409121,0.7713,0,0,0,1,0,0,0,0,0
2010,"2A",14,50.225,35.58333333,0.8,1.23633406,-1.320243023,0.902276603,0.7713,0,0,0,2,0,0,0,0,0
2010,"2A",15,47.9,40.66666667,0.7,1.236161974,-1.62535381,1.003957096,0.7713,0,0,0,3,0,0,0,0,0
2010,"2A",16,44.3,48.08333333,0.5,1.214969156,-1.232565241,0.583044706,0.7713,0,0,0,4,0,0,0,0,0
2010,"2A",13,58.25,57.33333333,0.7,0.770488604,-0.540425849,0.69625986,0.4716,0,0,0,1,0,0,0,0,0
2010,"2A",14,59,61.33333333,0.8,0.811965292,-0.672200647,0.878614101,0.4716,0,0,0,2,0,0,0,0,0
2010,"2A",15,57.95,65.33333333,0.7,0.780080739,-0.914704546,1.23932906,0.4716,0,0,0,3,0,0,0,0,0
2010,"2A",16,54.05,82.75,0.5,0.77387895,-1.211527475,1.708673012,0.4716,0,0,0,4,0,0,0,0,0
2010,"2A",13,63.35,28.16666667,0.7,1.230728395,-0.007473397,-0.155533215,0.7038,0,0,0,1,0,0,0,0,0
2010,"2A",14,61.55,31.91666667,0.8,1.264633747,-0.01264746,-0.114289059,0.7038,0,0,0,2,0,0,0,0,0
