"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,79.85,46.25,0.7,0.406997679,7.54e-05,0.110311586,0.1224,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,79.55,46.75,0.8,0.417826191,9.58e-05,0.251563987,0.1224,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,78.8,48,0.7,0.423006522,0.000100391,0.32872662,0.1224,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.6,52.08333333,0.5,0.42441602,8.88e-05,0.383057925,0.1224,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.15,30.25,0.7,-9.75e-08,-0.006238947,0.003086999,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,54.35,37.75,0.8,0,-0.005689492,0.002806779,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,52.55,46.33333333,0.7,0,-0.005172748,0.003093126,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,49.7,53.25,0.5,0,-0.002573874,0.001291983,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,50.315,35.41666667,0.7,2.317366823,-0.061779998,0.042155315,0.7713,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.225,35.58333333,0.8,2.316807229,-0.093037986,0.054222927,0.7713,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.9,40.66666667,0.7,2.30984496,-0.031830603,0.009702578,0.7713,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,44.3,48.08333333,0.5,2.30863516,0.000113917,-0.006287714,0.7713,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.25,57.33333333,0.7,1.416919738,-0.640579791,0.728655196,0.4716,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,61.33333333,0.8,1.416919738,-1.157426595,1.369836029,0.4716,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,57.95,65.33333333,0.7,1.416919738,-1.374079643,1.725863432,0.4716,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.05,82.75,0.5,1.415229148,-1.176850739,1.560090719,0.4716,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,63.35,28.16666667,0.7,2.130497212,-0.766116311,0.602431442,0.7038,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,61.55,31.91666667,0.8,2.128530111,-1.559622364,1.124261571,0.7038,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59.75,38.08333333,0.7,2.119010764,-1.942235944,1.419834033,0.7038,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.8,53.25,0.5,2.114563425,-2.072981902,1.723748122,0.7038,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,51.8,47,0.7,1.489928961,-0.218630246,0.202479742,0.4959,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,50.75,51.08333333,0.8,1.489928961,-0.242545494,0.194252033,0.4959,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,47.9,55.75,0.7,1.486202468,-0.044354243,0.005036606,0.4959,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,45.35,59.33333333,0.5,1.483791155,-3.24e-05,-0.016539066,0.4959,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.25,28.83333333,0.7,0,-0.019606393,0.010963464,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,59,26.83333333,0.8,0,-0.017587089,0.008574371,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,59,27.16666667,0.7,0,-0.015979429,0.00731459,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,54.8,36.75,0.5,0,-0.014840562,0.007765796,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,70.85,44.25,0.7,2.468183596,-0.015101012,0.369289076,0.7641,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,69.5,50.58333333,0.8,2.519383876,-0.033968306,0.962453916,0.7641,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,66.95,58.33333333,0.7,2.451142308,-0.51935625,2.042064089,0.7641,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,63.05,67,0.5,2.311427102,-1.62337628,3.399086583,0.7641,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,66.95,73,0.7,2.288809611,-0.091302724,1.184322895,0.7038,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,65.15,73,0.8,2.253657875,-0.598830821,2.914939822,0.7038,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,62.3,75.33333333,0.7,2.140833816,-1.51178364,3.974052163,0.7038,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,58.7,79.91666667,0.5,2.116497913,-2.064878297,4.2029338,0.7038,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,58.25,67,0.7,1.940669654,-0.872031484,1.283002024,0.6453,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,60.05,64.66666667,0.8,1.938800481,-1.580704404,2.212812214,0.6453,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,60.8,63,0.7,1.938800481,-1.844286554,2.517555085,0.6453,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,59.75,68.25,0.5,1.938714918,-2.045183082,2.89955086,0.6453,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,79.85,47.5,0.7,1.292723781,0.000271313,0.385947752,0.3879,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,78.5,47.91666667,0.8,1.326008397,0.000341237,0.849793475,0.3879,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,74.9,61.08333333,0.7,1.34256234,0.000246978,1.188551919,0.3879,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.25,74.25,0.5,1.344775133,-0.009289067,1.755069284,0.3879,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,62.66666667,0.7,0.003858855,8.04e-06,0.041074941,0,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,61,0.8,0.003302703,7.2e-06,0.035019619,0,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.95,63.33333333,0.7,0.002855627,5.38e-06,0.030150805,0,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,73.1,69.66666667,0.5,0.002516279,3.58e-06,0.028043383,0,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,75.95,70.25,0.7,2.456551367,0.000486327,1.251301269,0.7299,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,76.25,68.75,0.8,2.526002079,0.000763209,3.029982256,0.7299,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,73.85,75.5,0.7,2.553808944,0.000653666,3.89462429,0.7299,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,70.55,85.91666667,0.5,2.569319431,-0.004662534,4.989401653,0.7299,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,77,74,0.7,2.820934392,0.000738812,1.783792728,0.8298,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,77,71.08333333,0.8,2.892257793,0.00105504,3.920437123,0.8298,0,0,0,2,0,0,0,0,0
"Post-1980","2A",17,75.95,71.91666667,0.7,2.911241197,0.000922042,4.733903783,0.8298,0,0,0,3,0,0,0,0,0
"Post-1980","2A",18,74.15,76.33333333,0.5,2.927131239,0.000662421,5.349554956,0.8298,0,0,0,4,0,0,0,0,0
"Post-1980","2A",15,56.45,71.16666667,0.7,2.01992184,-0.910464904,1.464927568,0.6723,0,0,0,1,0,0,0,0,0
"Post-1980","2A",16,56.15,67,0.8,2.01992184,-1.688348138,2.438003205,0.6723,0,0,0,2,0,0,0,0,0
