"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",11,84.35,62.33333333,0.5,-0.324214685,-0.987359678,-0.823591924,0,0,-1,-1,0,0,1,4,1,0
2010,"2A",12,87.155,54.91666667,0.7,-0.191747139,-1.000255252,-1.77281807,0,0,-1,0,0,0,1,4,2,0
2010,"2A",13,89.135,47.91666667,0.7,-0.173139973,-0.999984635,-1.618972401,0,0,-1,0,0,0,1,4,3,0
2010,"2A",14,89.96,47.33333333,0.7,-0.169999302,-0.999920556,-1.401389026,0,0,-1,0,0,0,1,4,4,0
2010,"2A",9,78.335,71.91666667,0.2,-0.337836394,-1.955356769,0.510822382,0,0,-2,-2,0,0,2,6,1,0
2010,"2A",10,82.37,62,0.5,-0.337147803,-2.000312737,-0.910145375,0,0,-2,0,0,0,2,6,2,0
2010,"2A",11,83.39,59.33333333,0.5,-0.31387744,-2.000221187,-1.839918486,0,0,-2,0,0,0,2,6,3,0
2010,"2A",12,85.355,53.41666667,0.7,-0.312685644,-2.000331686,-2.199375361,0,0,-2,0,0,0,2,6,4,0
2010,"2A",13,87.605,45.08333333,0.7,-0.294550062,-2.000061828,-2.13696706,0,0,-2,0,0,0,2,6,5,0
2010,"2A",14,87.98,47.08333333,0.7,-0.292067267,-1.999990725,-1.877456714,0,0,-2,0,0,0,2,6,6,0
2010,"2A",8,78.335,75.58333333,0.1,-0.111106393,-0.999975194,0.468278606,0,0,-1,0,0,0,1,8,2,0
2010,"2A",9,81.215,66.33333333,0.2,-0.104837866,-1.000056011,0.302062016,0,0,-1,0,0,0,1,8,3,0
2010,"2A",10,82.565,60.66666667,0.5,-0.13716059,-1.000239735,-0.049046845,0,0,-1,0,0,0,1,8,4,0
2010,"2A",11,85.355,51.41666667,0.5,-0.14185629,-1.000115684,-0.468973446,0,0,-1,0,0,0,1,8,5,0
2010,"2A",12,87.605,44.25,0.7,-0.143464482,-1.000183916,-0.616019556,0,0,-1,0,0,0,1,8,6,0
2010,"2A",13,89.135,41.83333333,0.7,-0.142649775,-1.000093363,-0.667206225,0,0,-1,0,0,0,1,8,7,0
2010,"2A",14,90.59,41.58333333,0.7,-0.144368733,-0.999945162,-0.700524882,0,0,-1,0,0,0,1,8,8,0
2010,"2A",11,86.18,54.33333333,0.5,-1.049910717,-2.694915758,0.061160642,0,0,-3,-3,0,0,3,4,1,0
2010,"2A",12,87.605,50.41666667,0.7,-0.5482473,-3.000689947,-3.205814838,0,0,-3,0,0,0,3,4,2,0
