"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",11,84.35,62.33333333,0.5,-0.280598041,-0.989426899,0.422376537,0,0,-1,-1,0,0,1,4,1,0
"Post-1980","2A",12,87.155,54.91666667,0.7,-0.236348477,-1.000555808,-0.239826976,0,0,-1,0,0,0,1,4,2,0
"Post-1980","2A",13,89.135,47.91666667,0.7,-0.222766128,-1.000433818,-0.126967004,0,0,-1,0,0,0,1,4,3,0
"Post-1980","2A",14,89.96,47.33333333,0.7,-0.21940743,-1.000400146,0.031112315,0,0,-1,0,0,0,1,4,4,0
"Post-1980","2A",9,78.335,71.91666667,0.2,-0.51585634,-1.958079126,0.474013237,0,0,-2,-2,0,0,2,6,1,0
"Post-1980","2A",10,82.37,62,0.5,-0.436062542,-2.00083383,-0.679189032,0,0,-2,0,0,0,2,6,2,0
"Post-1980","2A",11,83.39,59.33333333,0.5,-0.414124538,-2.000833836,-0.445803392,0,0,-2,0,0,0,2,6,3,0
"Post-1980","2A",12,85.355,53.41666667,0.7,-0.410367887,-2.000855253,-0.24380543,0,0,-2,0,0,0,2,6,4,0
"Post-1980","2A",13,87.605,45.08333333,0.7,-0.398081123,-2.000725986,0.084695983,0,0,-2,0,0,0,2,6,5,0
"Post-1980","2A",14,87.98,47.08333333,0.7,-0.399166836,-2.000662418,0.348073145,0,0,-2,0,0,0,2,6,6,0
"Post-1980","2A",8,78.335,75.58333333,0.1,-0.208699072,-1.000297718,-0.644807684,0,0,-1,0,0,0,1,8,2,0
"Post-1980","2A",9,81.215,66.33333333,0.2,-0.198270884,-1.000366577,-0.495329694,0,0,-1,0,0,0,1,8,3,0
"Post-1980","2A",10,82.565,60.66666667,0.5,-0.192340939,-1.000396796,-0.272735475,0,0,-1,0,0,0,1,8,4,0
"Post-1980","2A",11,85.355,51.41666667,0.5,-0.188275966,-1.00034372,-0.061816228,0,0,-1,0,0,0,1,8,5,0
"Post-1980","2A",12,87.605,44.25,0.7,-0.18798795,-1.00028345,0.135325681,0,0,-1,0,0,0,1,8,6,0
"Post-1980","2A",13,89.135,41.83333333,0.7,-0.190255149,-1.000266017,0.252864052,0,0,-1,0,0,0,1,8,7,0
"Post-1980","2A",14,90.59,41.58333333,0.7,-0.194225989,-1.000287184,0.317945832,0,0,-1,0,0,0,1,8,8,0
"Post-1980","2A",11,86.18,54.33333333,0.5,-0.975652733,-2.797120939,1.649111764,0,0,-3,-3,0,0,3,4,1,0
"Post-1980","2A",12,87.605,50.41666667,0.7,-0.684704595,-3.001552123,-0.179916141,0,0,-3,0,0,0,3,4,2,0
"Post-1980","2A",13,89.135,47.08333333,0.7,-0.652639679,-3.001257107,-0.048886324,0,0,-3,0,0,0,3,4,3,0
"Post-1980","2A",14,89.435,43.25,0.7,-0.624487826,-3.001129131,0.268814271,0,0,-3,0,0,0,3,4,4,0
"Post-1980","2A",10,82.745,66.75,0.5,-0.657492225,-1.933051913,0.916388842,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,85.175,58.33333333,0.5,-0.480277397,-2.001306354,0.427668132,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,86.63,55,0.7,-0.442837766,-2.001003717,-0.230553709,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,88.235,50.91666667,0.7,-0.432102818,-2.000924534,-0.158407196,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,90.215,46.25,0.7,-0.425196547,-2.000835274,0.082675344,0,0,-2,0,0,0,2,5,5,0
"Post-1980","2A",13,86.63,44.5,0.7,-0.543263759,-1.927566869,1.290333506,0,0,-2,-2,0,0,2,2,1,0
"Post-1980","2A",14,88.235,41.41666667,0.7,-0.437229532,-2.000798359,0.380190611,0,0,-2,0,0,0,2,2,2,0
"Post-1980","2A",11,84.095,64.66666667,0.5,-1.374957157,-3.41872425,1.522660464,0,0,-4,-4,0,0,4,4,1,0
"Post-1980","2A",12,86.18,60.66666667,0.7,-0.943591076,-3.94348528,-1.412886191,0,0,-4,0,0,0,4,4,2,0
"Post-1980","2A",13,87.605,52.58333333,0.7,-0.847795199,-3.875561511,-1.089133232,0,0,-4,0,0,0,4,4,3,0
"Post-1980","2A",14,88.61,46.25,0.7,-0.797051304,-3.837258864,-0.213482223,0,0,-4,0,0,0,4,4,4,0
"Post-1980","2A",8,80.765,74.91666667,0.1,-0.258657967,-0.988568287,0.571350836,0,0,-1,-1,0,0,1,7,1,0
"Post-1980","2A",9,83.195,70.83333333,0.2,-0.226918089,-1.000501416,-0.439812699,0,0,-1,0,0,0,1,7,2,0
"Post-1980","2A",10,86.33,65.91666667,0.5,-0.221826302,-1.000443234,-0.45368533,0,0,-1,0,0,0,1,7,3,0
"Post-1980","2A",11,87.455,59.5,0.5,-0.21423534,-1.000499156,-0.297159976,0,0,-1,0,0,0,1,7,4,0
"Post-1980","2A",12,88.76,50,0.7,-0.205741772,-1.000405123,-0.121492758,0,0,-1,0,0,0,1,7,5,0
"Post-1980","2A",13,91.115,45.58333333,0.7,-0.206027756,-1.000349552,0.085858839,0,0,-1,0,0,0,1,7,6,0
"Post-1980","2A",14,90.785,46.58333333,0.7,-0.205947634,-1.000389514,0.161845213,0,0,-1,0,0,0,1,7,7,0
"Post-1980","2A",10,84.095,64.66666667,0.5,-0.979226742,-2.807500491,0.531039829,0,0,-3,-3,0,0,3,5,1,0
"Post-1980","2A",11,85.55,59.5,0.5,-0.690946126,-3.001761441,-1.127555113,0,0,-3,0,0,0,3,5,2,0
"Post-1980","2A",12,87.785,54.08333333,0.7,-0.666461295,-3.00128885,-0.685974405,0,0,-3,0,0,0,3,5,3,0
"Post-1980","2A",13,89.06,52,0.7,-0.651719835,-2.980976331,-0.305620699,0,0,-3,0,0,0,3,5,4,0
"Post-1980","2A",14,90.215,49.08333333,0.7,-0.625762477,-2.931670026,-0.081913896,0,0,-3,0,0,0,3,5,5,0
"Post-1980","2A",14,88.73,61.66666667,0.7,-0.6517226,-1.81963361,0.214548019,0,0,-2,-2,0,0,2,1,1,0
"Post-1980","2A",12,88.235,58.08333333,0.7,-0.936955004,-2.711781078,0.325985478,0,0,-3,-3,0,0,3,3,1,0
"Post-1980","2A",13,89.585,53.66666667,0.7,-0.731563256,-2.979318044,-0.972409113,0,0,-3,0,0,0,3,3,2,0
"Post-1980","2A",14,90.59,50.83333333,0.7,-0.691638714,-2.96996673,-0.541420845,0,0,-3,0,0,0,3,3,3,0
"Post-1980","2A",12,87.155,51.75,0.7,-0.270567217,-0.989490827,0.57212917,0,0,-1,-1,0,0,1,3,1,0
"Post-1980","2A",13,87.98,49.16666667,0.7,-0.224281098,-1.000481187,0.018268382,0,0,-1,0,0,0,1,3,2,0
"Post-1980","2A",14,89.135,48.25,0.7,-0.21659986,-1.000426687,0.044593787,0,0,-1,0,0,0,1,3,3,0
"Post-1980","2A",13,81.41,69.08333333,0.7,-1.026455908,-2.718271353,0.344044715,0,0,-3,-3,0,0,3,2,1,0
"Post-1980","2A",14,80.435,65.25,0.7,-0.670551711,-3.001896209,-1.451403452,0,0,-3,0,0,0,3,2,2,0
"Post-1980","2A",10,80.585,67,0.5,-0.609007238,-1.950188546,1.182539511,0,0,-2,-2,0,0,2,5,1,0
"Post-1980","2A",11,82.115,60,0.5,-0.437470001,-2.001116782,-0.347518674,0,0,-2,0,0,0,2,5,2,0
"Post-1980","2A",12,84.725,52.66666667,0.7,-0.41297955,-2.0008062,-0.314809925,0,0,-2,0,0,0,2,5,3,0
"Post-1980","2A",13,87.155,46.33333333,0.7,-0.406875235,-2.000750462,-0.003381004,0,0,-2,0,0,0,2,5,4,0
"Post-1980","2A",14,86.195,44.75,0.7,-0.388913188,-2.000658581,0.25891207,0,0,-2,0,0,0,2,5,5,0
"Post-1980","2A",14,88.805,48.83333333,0.7,-0.276867247,-0.989372677,0.345320146,0,0,-1,-1,0,0,1,1,1,0
"Post-1980","2A",10,85.55,58.91666667,0.5,-1.101573624,-2.663883177,1.675673097,0,0,-3,-3,0,0,3,5,1,0
"Post-1980","2A",11,87.155,46.33333333,0.5,-0.679558435,-2.999019256,-0.29635048,0,0,-3,0,0,0,3,5,2,0
