"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",15,89.135,56.91666667,0.7,1.168838679,4.152950475,-5.097744984,0,0,5,5,1,0,0,0,0,0
2010,"2A",16,89.435,59,0.8,0.861302677,5.001240911,-0.292503079,0,0,5,0,2,0,0,0,0,0
2010,"2A",17,88.43,60.16666667,0.7,0.712002097,5.000689784,2.640687818,0,0,5,0,3,0,0,0,0,0
2010,"2A",18,85.04,67.41666667,0.5,0.601052772,5.000205191,2.798584529,0,0,5,0,4,0,0,0,0,0
2010,"2A",15,90.59,46.08333333,0.7,1.216802652,4.004820236,-7.337318705,0,0,5,6,1,0,1,4,5,1
2010,"2A",16,91.04,44.58333333,0.8,0.821144305,5.001439733,-3.154887318,0,0,5,0,2,0,1,4,6,2
2010,"2A",17,89.885,46.75,0.7,0.689942749,5.001044347,-0.354585626,0,0,5,0,3,0,1,4,7,3
2010,"2A",18,87.275,53.25,0.5,0.574930872,5.000323204,-0.011450319,0,0,5,0,4,0,1,4,8,4
2010,"2A",15,91.04,39.83333333,0.7,0.4283772,1.93988757,-2.25429404,0,0,2,2,1,0,0,0,0,0
2010,"2A",16,90.41,40.16666667,0.8,0.341129004,2.000537577,-0.062865445,0,0,2,0,2,0,0,0,0,0
2010,"2A",17,89.435,41.58333333,0.7,0.290153996,2.00024573,0.675173467,0,0,2,0,3,0,0,0,0,0
2010,"2A",18,88.43,43.75,0.5,0.244422052,2.000091685,0.51695805,0,0,2,0,4,0,0,0,0,0
2010,"2A",15,90.59,39.83333333,0.7,0.211914651,0.992163835,-0.896468235,0,0,1,1,1,0,0,0,0,0
2010,"2A",16,91.04,37.83333333,0.8,0.176162174,1.000332435,0.338290066,0,0,1,0,2,0,0,0,0,0
2010,"2A",17,89.885,38.16666667,0.7,0.144346607,1.000101136,0.498145447,0,0,1,0,3,0,0,0,0,0
2010,"2A",18,87.275,50.66666667,0.5,0.134948319,0.999977111,0.389628085,0,0,1,0,4,0,0,0,0,0
2010,"2A",15,88.61,48.83333333,0.7,0.92236874,2.391445588,-6.672692644,0,0,3,5,1,0,2,6,7,1
2010,"2A",16,86.645,54.41666667,0.8,0.587452784,3.000929311,-1.936202606,0,0,3,0,2,0,2,6,8,2
2010,"2A",17,85.55,57.83333333,0.7,0.480267091,3.000716564,1.043903768,0,0,3,0,3,0,2,6,9,3
2010,"2A",18,84.845,58.16666667,0.5,0.386912692,3.000422552,1.407760313,0,0,3,0,4,0,2,6,10,4
