"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",13,89.135,56.91666667,0.7,1.161855341,4.010234777,-5.252726068,0,0,5,5,1,0,0,0,0,0
2010,"2A",14,89.435,59,0.8,0.871160777,5.000976393,-0.621890813,0,0,5,0,2,0,0,0,0,0
2010,"2A",15,88.43,60.16666667,0.7,0.766432477,5.000695414,2.455619289,0,0,5,0,3,0,0,0,0,0
2010,"2A",16,85.04,67.41666667,0.5,0.662339128,5.000244925,2.956263084,0,0,5,0,4,0,0,0,0,0
2010,"2A",13,90.59,46.08333333,0.7,1.213903793,3.877585243,-8.348754307,0,0,5,6,1,0,1,4,5,1
2010,"2A",14,91.04,44.58333333,0.8,0.84450046,5.001451408,-4.65141417,0,0,5,0,2,0,1,4,6,2
2010,"2A",15,89.885,46.75,0.7,0.73899207,5.00091276,-1.174964049,0,0,5,0,3,0,1,4,7,3
2010,"2A",16,87.275,53.25,0.5,0.634903636,5.000413247,-0.329562834,0,0,5,0,4,0,1,4,8,4
2010,"2A",13,91.04,39.83333333,0.7,0.475095358,1.933779127,-2.533687525,0,0,2,2,1,0,0,0,0,0
2010,"2A",14,90.41,40.16666667,0.8,0.384628208,2.000334712,-0.274340146,0,0,2,0,2,0,0,0,0,0
2010,"2A",15,89.435,41.58333333,0.7,0.339909557,2.000025279,0.52207626,0,0,2,0,3,0,0,0,0,0
2010,"2A",16,88.43,43.75,0.5,0.306388851,2.00003578,0.498714815,0,0,2,0,4,0,0,0,0,0
2010,"2A",13,90.59,39.83333333,0.7,0.24892646,0.992840124,-1.316819534,0,0,1,1,1,0,0,0,0,0
2010,"2A",14,91.04,37.83333333,0.8,0.221270352,1.000121607,-0.028219121,0,0,1,0,2,0,0,0,0,0
2010,"2A",15,89.885,38.16666667,0.7,0.1979439,0.999920689,0.246370308,0,0,1,0,3,0,0,0,0,0
2010,"2A",16,87.275,50.66666667,0.5,0.184834587,0.99997877,0.226741078,0,0,1,0,4,0,0,0,0,0
2010,"2A",13,88.61,48.83333333,0.7,0.92457449,2.29796088,-7.977235695,0,0,3,5,1,0,2,6,7,1
2010,"2A",14,86.645,54.41666667,0.8,0.604424469,3.000811746,-3.676706528,0,0,3,0,2,0,2,6,8,2
2010,"2A",15,85.55,57.83333333,0.7,0.533215816,3.000743001,0.091146587,0,0,3,0,3,0,2,6,9,3
2010,"2A",16,84.845,58.16666667,0.5,0.454195161,3.000561598,1.150860663,0,0,3,0,4,0,2,6,10,4
2010,"2A",13,91.565,40.83333333,0.7,0.38058581,0.937958152,-2.912600411,0,0,1,2,1,0,1,8,9,1
2010,"2A",14,90.785,41.16666667,0.8,0.270342719,1.000357617,-0.291135643,0,0,1,0,2,0,1,8,10,2
2010,"2A",15,87.65,54.25,0.7,0.233689558,1.000049525,0.484928521,0,0,1,0,3,0,1,8,11,3
2010,"2A",16,84.845,63,0.5,0.212611248,1.000024692,0.825094151,0,0,1,0,4,0,1,8,12,4
2010,"2A",13,87.905,45.5,0.7,1.160401727,2.842544547,-11.23701835,0,0,6,9,1,0,3,4,5,1
2010,"2A",14,87.605,49.16666667,0.8,0.956879014,5.943997966,-11.14024973,0,0,6,0,2,0,3,4,6,2
2010,"2A",15,86.825,56.41666667,0.7,0.874583868,6.000894876,-5.517413768,0,0,6,0,3,0,3,4,7,3
2010,"2A",16,85.37,62.16666667,0.5,0.80313202,6.000714333,-1.897792124,0,0,6,0,4,0,3,4,8,4
2010,"2A",13,91.04,44.41666667,0.7,1.141793348,3.034136406,-9.162533904,0,0,4,6,1,0,2,5,6,1
2010,"2A",14,91.04,44,0.8,0.764514723,4.001440001,-4.047282397,0,0,4,0,2,0,2,5,7,2
2010,"2A",15,90.41,44,0.7,0.646987809,4.000836385,-0.718636883,0,0,4,0,3,0,2,5,8,3
2010,"2A",16,88.805,44.58333333,0.5,0.523486149,4.000534748,-0.278111865,0,0,4,0,4,0,2,5,9,4
2010,"2A",13,88.805,41.16666667,0.7,0.234952117,0.992887914,-1.521703506,0,0,1,1,1,0,0,0,0,0
2010,"2A",14,88.61,41.41666667,0.8,0.211894147,1.000116289,-0.253177958,0,0,1,0,2,0,0,0,0,0
2010,"2A",15,88.43,41.58333333,0.7,0.193496674,0.999964406,0.13289528,0,0,1,0,3,0,0,0,0,0
2010,"2A",16,87.98,42,0.5,0.179375727,0.999952887,0.143471424,0,0,1,0,4,0,0,0,0,0
2010,"2A",13,89.585,44.5,0.7,1.190939926,3.60048082,-9.802816675,0,0,6,8,1,0,2,8,9,1
2010,"2A",14,88.805,45.83333333,0.8,0.913109004,5.994538105,-9.078315472,0,0,6,0,2,0,2,8,10,2
2010,"2A",15,86.825,50.83333333,0.7,0.800736733,6.001088367,-4.947939956,0,0,6,0,3,0,2,8,11,3
2010,"2A",16,84.845,57.33333333,0.5,0.734710097,6.000603121,-2.814766175,0,0,6,0,4,0,2,8,12,4
2010,"2A",13,88.43,49.08333333,0.7,0.99394578,2.105687641,-12.4798073,0,0,3,7,1,0,4,4,5,1
2010,"2A",14,87.98,53.75,0.8,0.689527603,3.001517876,-4.963432271,0,0,3,0,2,0,4,4,6,2
2010,"2A",15,87.455,56.16666667,0.7,0.595515944,3.000855117,0.079044584,0,0,3,0,3,0,4,4,7,3
2010,"2A",16,87.605,54.08333333,0.5,0.495639542,3.000457002,1.583397387,0,0,3,0,4,0,4,4,8,4
2010,"2A",13,86.495,54,0.7,0.667211796,1.798229397,-4.323053759,0,0,2,3,1,0,1,7,8,1
2010,"2A",14,81.08,63.66666667,0.8,0.394622113,2.000435286,-0.449043121,0,0,2,0,2,0,1,7,9,2
2010,"2A",15,79.61,71.08333333,0.7,0.342344667,2.000378944,0.888216639,0,0,2,0,3,0,1,7,10,3
2010,"2A",16,78.905,75.16666667,0.5,0.305649894,2.00024853,1.324084661,0,0,2,0,4,0,1,7,11,4
2010,"2A",13,89.885,51.08333333,0.7,1.283099321,3.524372163,-11.58415432,0,0,5,8,1,0,3,5,6,1
2010,"2A",14,88.43,54.58333333,0.8,0.913518438,5.001324725,-4.780650686,0,0,5,0,2,0,3,5,7,2
2010,"2A",15,83.36,62,0.7,0.729148693,5.000383598,-0.68467853,0,0,5,0,3,0,3,5,8,3
2010,"2A",16,80.585,65.83333333,0.5,0.616123072,5.000643849,0.463779137,0,0,5,0,4,0,3,5,9,4
2010,"2A",13,91.94,43.41666667,0.7,0.265694172,0.992935629,-1.281135223,0,0,1,1,1,0,0,0,0,0
2010,"2A",14,91.94,43.58333333,0.8,0.231040452,1.000147818,0.206664035,0,0,1,0,2,0,0,0,0,0
2010,"2A",15,87.845,53.91666667,0.7,0.202733343,0.999996302,0.48826368,0,0,1,0,3,0,0,0,0,0
2010,"2A",16,83.765,62.16666667,0.5,0.185678933,0.999965989,0.51204814,0,0,1,0,4,0,0,0,0,0
2010,"2A",13,87.98,52.83333333,0.7,1.130146295,4.111926941,-5.961457215,0,0,5,5,1,0,0,0,0,0
2010,"2A",14,89.765,50.83333333,0.8,0.825469408,5.00125885,-2.583012645,0,0,5,0,2,0,0,0,0,0
2010,"2A",15,84.635,65.16666667,0.7,0.741681261,5.000268549,0.374640854,0,0,5,0,3,0,0,0,0,0
2010,"2A",16,78.905,82.41666667,0.5,0.659943346,5.000414551,2.075808485,0,0,5,0,4,0,0,0,0,0
2010,"2A",13,77,88,0.7,1.024760665,3.090673363,-2.881705896,0,0,6,6,1,0,4,3,4,1
