"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",15,89.135,56.91666667,0.7,1.435613244,4.660130977,-2.345970627,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",16,89.435,59,0.8,1.190203254,5.002852502,0.286364407,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",17,88.43,60.16666667,0.7,1.114492377,5.002558552,0.818956875,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",18,85.04,67.41666667,0.5,1.059175525,5.002170179,0.84311403,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",15,90.59,46.08333333,0.7,1.47629592,4.586679849,-3.319663059,0,0,5,6,1,0,1,4,5,1
"Post-1980","2A",16,91.04,44.58333333,0.8,1.125108071,5.00229508,-1.171124821,0,0,5,0,2,0,1,4,6,2
"Post-1980","2A",17,89.885,46.75,0.7,1.053775686,5.001971714,-0.950856534,0,0,5,0,3,0,1,4,7,3
"Post-1980","2A",18,87.275,53.25,0.5,1.004438231,5.001714808,-0.963017164,0,0,5,0,4,0,1,4,8,4
"Post-1980","2A",15,91.04,39.83333333,0.7,0.527841977,1.964770234,-1.532953736,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",16,90.41,40.16666667,0.8,0.417807963,2.000750202,-0.742854738,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",17,89.435,41.58333333,0.7,0.391240086,2.000641621,-0.651578424,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",18,88.43,43.75,0.5,0.372997415,2.000558678,-0.709488593,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",15,90.59,39.83333333,0.7,0.253037744,0.989758494,-0.544889228,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",16,91.04,37.83333333,0.8,0.207560051,1.000332545,-0.320258992,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",17,89.885,38.16666667,0.7,0.19265206,1.00026436,-0.351793568,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",18,87.275,50.66666667,0.5,0.190807402,1.000248173,-0.37900361,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",15,88.61,48.83333333,0.7,1.199539678,2.673111647,-3.462104623,0,0,3,5,1,0,2,6,7,1
"Post-1980","2A",16,86.645,54.41666667,0.8,0.725565496,3.001719096,-0.669567621,0,0,3,0,2,0,2,6,8,2
