"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",13,89.135,56.91666667,0.7,1.465333118,4.660142484,-2.148754073,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",14,89.435,59,0.8,1.224193815,5.002822582,0.517873243,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",15,88.43,60.16666667,0.7,1.147645417,5.002509314,1.03369476,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",16,85.04,67.41666667,0.5,1.088545835,5.002144304,1.0400703,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",13,90.59,46.08333333,0.7,1.508444861,4.587102912,-3.104509613,0,0,5,6,1,0,1,4,5,1
"Post-1980","2A",14,91.04,44.58333333,0.8,1.161936525,5.002261696,-0.932681361,0,0,5,0,2,0,1,4,6,2
"Post-1980","2A",15,89.885,46.75,0.7,1.089111403,5.001933783,-0.717517083,0,0,5,0,3,0,1,4,7,3
"Post-1980","2A",16,87.275,53.25,0.5,1.036229289,5.001694906,-0.750207371,0,0,5,0,4,0,1,4,8,4
"Post-1980","2A",13,91.04,39.83333333,0.7,0.567523359,1.964775233,-1.27040653,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",14,90.41,40.16666667,0.8,0.45837813,2.000695749,-0.470450724,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",15,89.435,41.58333333,0.7,0.430417364,2.000581369,-0.38989258,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",16,88.43,43.75,0.5,0.409963112,2.000515861,-0.467342215,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",13,90.59,39.83333333,0.7,0.295511321,0.990116864,-0.279897588,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",14,91.04,37.83333333,0.8,0.251374237,1.000257577,-0.033878421,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",15,89.885,38.16666667,0.7,0.234020741,1.000194127,-0.068598959,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",16,87.275,50.66666667,0.5,0.226129298,1.000223412,-0.131026657,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",13,88.61,48.83333333,0.7,1.231012821,2.673235672,-3.253794517,0,0,3,5,1,0,2,6,7,1
"Post-1980","2A",14,86.645,54.41666667,0.8,0.759171206,3.001690254,-0.441197428,0,0,3,0,2,0,2,6,8,2
"Post-1980","2A",15,85.55,57.83333333,0.7,0.697846,3.001418095,0.367039804,0,0,3,0,3,0,2,6,9,3
"Post-1980","2A",16,84.845,58.16666667,0.5,0.656071552,3.001217733,0.357753837,0,0,3,0,4,0,2,6,10,4
"Post-1980","2A",13,91.565,40.83333333,0.7,0.399804482,0.966029764,-0.839395328,0,0,1,2,1,0,1,8,9,1
"Post-1980","2A",14,90.785,41.16666667,0.8,0.285805561,1.000417696,0.018000568,0,0,1,0,2,0,1,8,10,2
"Post-1980","2A",15,87.65,54.25,0.7,0.264018691,1.000341713,0.118249511,0,0,1,0,3,0,1,8,11,3
"Post-1980","2A",16,84.845,63,0.5,0.253390126,1.000406667,0.254346554,0,0,1,0,4,0,1,8,12,4
"Post-1980","2A",13,87.905,45.5,0.7,1.796262727,4.861322758,-5.786315726,0,0,6,9,1,0,3,4,5,1
"Post-1980","2A",14,87.605,49.16666667,0.8,1.367254236,6.002251477,-2.312799625,0,0,6,0,2,0,3,4,6,2
"Post-1980","2A",15,86.825,56.41666667,0.7,1.336954879,6.002195095,-0.759688455,0,0,6,0,3,0,3,4,7,3
"Post-1980","2A",16,85.37,62.16666667,0.5,1.305282523,6.002247067,0.149023255,0,0,6,0,4,0,3,4,8,4
"Post-1980","2A",13,91.04,44.41666667,0.7,1.361131568,3.635097328,-2.910130259,0,0,4,6,1,0,2,5,6,1
"Post-1980","2A",14,91.04,44,0.8,0.97280992,4.00190202,-0.67696478,0,0,4,0,2,0,2,5,7,2
"Post-1980","2A",15,90.41,44,0.7,0.894519048,4.001535029,-0.511167265,0,0,4,0,3,0,2,5,8,3
"Post-1980","2A",16,88.805,44.58333333,0.5,0.829999028,4.001278793,-0.733556714,0,0,4,0,4,0,2,5,9,4
"Post-1980","2A",13,88.805,41.16666667,0.7,0.284948202,0.990124675,-0.380757919,0,0,1,1,1,0,0,0,0,0
"Post-1980","2A",14,88.61,41.41666667,0.8,0.241490386,1.000265059,-0.07187925,0,0,1,0,2,0,0,0,0,0
"Post-1980","2A",15,88.43,41.58333333,0.7,0.228835994,1.000212249,-0.071450431,0,0,1,0,3,0,0,0,0,0
"Post-1980","2A",16,87.98,42,0.5,0.218451744,1.000195963,-0.129878805,0,0,1,0,4,0,0,0,0,0
"Post-1980","2A",13,89.585,44.5,0.7,1.804562915,5.163501482,-5.631565289,0,0,6,8,1,0,2,8,9,1
"Post-1980","2A",14,88.805,45.83333333,0.8,1.383931134,6.002538587,-2.529349547,0,0,6,0,2,0,2,8,10,2
