"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
2010,"2A",13,89.135,56.91666667,0.7,1.214785477,4.13866605,-4.897175044,0,0,5,5,1,0,0,0,0,0
2010,"2A",14,89.435,59,0.8,0.913492724,5.001407195,0.462184144,0,0,5,0,2,0,0,0,0,0
2010,"2A",15,88.43,60.16666667,0.7,0.766617142,5.000864131,3.278221061,0,0,5,0,3,0,0,0,0,0
2010,"2A",16,85.04,67.41666667,0.5,0.652993959,5.000188012,3.353922762,0,0,5,0,4,0,0,0,0,0
2010,"2A",17,81.785,73.16666667,0.5,-0.886595464,0.802666649,4.188491122,0,0,0,-5,5,1,0,0,0,0
2010,"2A",13,90.59,46.08333333,0.7,1.472638351,3.966788663,-7.755701833,0.1224,0,5,6,1,0,1,4,5,1
2010,"2A",14,91.04,44.58333333,0.8,1.090410221,5.001505267,-3.565780388,0.1224,0,5,0,2,0,1,4,6,2
2010,"2A",15,89.885,46.75,0.7,0.960555417,5.001023358,-0.183476412,0.1224,0,5,0,3,0,1,4,7,3
2010,"2A",16,87.275,53.25,0.5,0.843410991,5.000386221,0.423637524,0.1224,0,5,0,4,0,1,4,8,4
2010,"2A",17,83.69,60.5,0.5,-0.77694421,0.652294285,2.507617517,0,0,0,-5,5,1,1,4,9,5
2010,"2A",13,91.04,39.83333333,0.7,0.475546919,1.939590282,-2.279530973,0,0,2,2,1,0,0,0,0,0
2010,"2A",14,90.41,40.16666667,0.8,0.383140012,2.000451452,0.058811206,0,0,2,0,2,0,0,0,0,0
2010,"2A",15,89.435,41.58333333,0.7,0.331717384,2.000039335,0.810388038,0,0,2,0,3,0,0,0,0,0
2010,"2A",16,88.43,43.75,0.5,0.293106187,1.999976094,0.690583155,0,0,2,0,4,0,0,0,0,0
2010,"2A",17,86.825,46.75,0.5,-0.256856996,0.081366259,0.96974136,0,0,0,-2,5,1,0,0,0,0
2010,"2A",13,90.59,39.83333333,0.7,1.600399628,0.993095081,-0.406019028,0.7713,0,1,1,1,0,0,0,0,0
2010,"2A",14,91.04,37.83333333,0.8,1.617050001,1.000716838,1.941058744,0.7713,0,1,0,2,0,0,0,0,0
2010,"2A",15,89.885,38.16666667,0.7,1.584762137,1.000433608,2.574467465,0.7713,0,1,0,3,0,0,0,0,0
2010,"2A",16,87.275,50.66666667,0.5,1.563925625,1.000242723,2.549862329,0.7713,0,1,0,4,0,0,0,0,0
2010,"2A",17,83.06,64.83333333,0.5,-0.026504341,0.007839463,2.141244783,0,0,0,-1,5,1,0,0,0,0
2010,"2A",13,88.61,48.83333333,0.7,1.769411721,2.324904863,-7.154658199,0.4716,0,3,5,1,0,2,6,7,1
2010,"2A",14,86.645,54.41666667,0.8,1.456965224,3.001047706,-2.136437629,0.4716,0,3,0,2,0,2,6,8,2
2010,"2A",15,85.55,57.83333333,0.7,1.358045205,3.000815625,1.796602745,0.4716,0,3,0,3,0,2,6,9,3
2010,"2A",16,84.845,58.16666667,0.5,1.268848658,3.000482681,2.673064672,0.4716,0,3,0,4,0,2,6,10,4
2010,"2A",17,81.71,61.91666667,0.5,-0.299601414,0.190972768,3.202551368,0,0,0,-3,5,1,2,6,11,5
2010,"2A",13,91.565,40.83333333,0.7,0.383790521,0.945679433,-2.623110076,0,0,1,2,1,0,1,8,9,1
2010,"2A",14,90.785,41.16666667,0.8,0.268995563,1.000482078,0.078064592,0,0,1,0,2,0,1,8,10,2
2010,"2A",15,87.65,54.25,0.7,0.225516417,1.000056508,0.769060657,0,0,1,0,3,0,1,8,11,3
2010,"2A",16,84.845,63,0.5,0.201632332,0.99999335,1.048143091,0,0,1,0,4,0,1,8,12,4
2010,"2A",17,84.02,61.83333333,0.5,-0.054672337,0.011188973,0.507882656,0,0,0,-1,5,1,1,8,13,5
2010,"2A",13,87.905,45.5,0.7,1.983990723,2.785810354,-10.69544836,0.4959,0,6,9,1,0,3,4,5,1
2010,"2A",14,87.605,49.16666667,0.8,1.828238444,5.897140612,-10.32954929,0.4959,0,6,0,2,0,3,4,6,2
2010,"2A",15,86.825,56.41666667,0.7,1.753691155,6.001017516,-4.46097732,0.4959,0,6,0,3,0,3,4,7,3
2010,"2A",16,85.37,62.16666667,0.5,1.680893807,6.000648305,-0.626267731,0.4959,0,6,0,4,0,3,4,8,4
2010,"2A",17,83.765,65.33333333,0.5,-0.800242783,0.914390013,3.634414695,0,0,0,-6,5,1,3,4,9,5
2010,"2A",13,91.04,44.41666667,0.7,1.222998587,3.13742715,-8.560823118,0,0,4,6,1,0,2,5,6,1
2010,"2A",14,91.04,44,0.8,0.805964777,4.00149335,-2.996645771,0,0,4,0,2,0,2,5,7,2
2010,"2A",15,90.41,44,0.7,0.659955655,4.000855652,0.226846188,0,0,4,0,3,0,2,5,8,3
2010,"2A",16,88.805,44.58333333,0.5,0.517258425,4.000419527,0.344490298,0,0,4,0,4,0,2,5,9,4
2010,"2A",17,85.04,60.75,0.5,-0.605640059,0.374218575,1.495773982,0,0,0,-4,5,1,2,5,10,5
2010,"2A",13,88.805,41.16666667,0.7,1.545286441,0.992917647,-0.753832452,0.7641,0,1,1,1,0,0,0,0,0
2010,"2A",14,88.61,41.41666667,0.8,1.57452469,1.000619093,1.295012907,0.7641,0,1,0,2,0,0,0,0,0
2010,"2A",15,88.43,41.58333333,0.7,1.537741124,1.000423192,2.028297972,0.7641,0,1,0,3,0,0,0,0,0
2010,"2A",16,87.98,42,0.5,1.495440532,1.000388799,1.733157779,0.7641,0,1,0,4,0,0,0,0,0
2010,"2A",17,86.825,44.33333333,0.5,-0.011115687,0.007841366,1.69180569,0,0,0,-1,5,1,0,0,0,0
2010,"2A",13,89.585,44.5,0.7,2.38902887,4.184433726,-9.512387172,0.7038,0,6,8,1,0,2,8,9,1
2010,"2A",14,88.805,45.83333333,0.8,2.144957195,6.000866566,-6.167547568,0.7038,0,6,0,2,0,2,8,10,2
2010,"2A",15,86.825,50.83333333,0.7,2.039226275,6.001210641,-2.603636918,0.7038,0,6,0,3,0,2,8,11,3
