"Vintage","Climate.zone","Hour.number","Outdoor.Temp.F.","Outdoor.Humid.","Occ.Fraction.","Demand.Power.Diff.sf.","Indoor.Temp.Diff.F.","Indoor.Humid.Diff.","Lighting.Power.Diff.pct.","MELs.Diff.pct.","Cooling.Setpoint.Diff.","Cooling.Setpoint.Diff.One.Step.","Since.DR.Started.","Since.DR.Ended.","Pre.cooling.Temp.Decrease.","Pre.cooling.Duration.","Since.Pre.cooling.Started.","Since.Pre.cooling.Ended."
"Post-1980","2A",13,89.135,56.91666667,0.7,1.465749204,4.660142964,-2.147922674,0,0,5,5,1,0,0,0,0,0
"Post-1980","2A",14,89.435,59,0.8,1.224649534,5.002821759,0.519077658,0,0,5,0,2,0,0,0,0,0
"Post-1980","2A",15,88.43,60.16666667,0.7,1.148101461,5.002508363,1.034723315,0,0,5,0,3,0,0,0,0,0
"Post-1980","2A",16,85.04,67.41666667,0.5,1.088976394,5.002143701,1.041036981,0,0,5,0,4,0,0,0,0,0
"Post-1980","2A",17,81.785,73.16666667,0.5,-0.595374482,0.436713481,3.016671955,0,0,0,-5,5,1,0,0,0,0
"Post-1980","2A",13,90.59,46.08333333,0.7,1.916304649,4.579450746,-2.98543456,0.1224,0,5,6,1,0,1,4,5,1
"Post-1980","2A",14,91.04,44.58333333,0.8,1.589539929,5.002417761,-0.662229547,0.1224,0,5,0,2,0,1,4,6,2
"Post-1980","2A",15,89.885,46.75,0.7,1.521997969,5.002100257,-0.359860596,0.1224,0,5,0,3,0,1,4,7,3
"Post-1980","2A",16,87.275,53.25,0.5,1.472915604,5.001839977,-0.316371305,0.1224,0,5,0,4,0,1,4,8,4
"Post-1980","2A",17,83.69,60.5,0.5,-0.498194532,0.387096594,2.618834537,0,0,0,-5,5,1,1,4,9,5
"Post-1980","2A",13,91.04,39.83333333,0.7,0.568878115,1.964755032,-1.265055287,0,0,2,2,1,0,0,0,0,0
"Post-1980","2A",14,90.41,40.16666667,0.8,0.459645685,2.000696223,-0.465708476,0,0,2,0,2,0,0,0,0,0
"Post-1980","2A",15,89.435,41.58333333,0.7,0.43157688,2.000581657,-0.385624125,0,0,2,0,3,0,0,0,0,0
"Post-1980","2A",16,88.43,43.75,0.5,0.411004236,2.000516033,-0.463524973,0,0,2,0,4,0,0,0,0,0
"Post-1980","2A",17,86.825,46.75,0.5,-0.101717982,0.050343467,0.862913917,0,0,0,-2,5,1,0,0,0,0
"Post-1980","2A",13,90.59,39.83333333,0.7,2.910103051,0.991009484,0.42488183,0.7713,0,1,1,1,0,0,0,0,0
"Post-1980","2A",14,91.04,37.83333333,0.8,2.940596964,1.001295599,1.436296317,0.7713,0,1,0,2,0,0,0,0,0
"Post-1980","2A",15,89.885,38.16666667,0.7,2.946934342,1.001185322,1.638657608,0.7713,0,1,0,3,0,0,0,0,0
"Post-1980","2A",16,87.275,50.66666667,0.5,2.97109271,1.001031085,2.017387352,0.7713,0,1,0,4,0,0,0,0,0
"Post-1980","2A",17,83.06,64.83333333,0.5,0.130830977,0.011389578,1.783510616,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",13,88.61,48.83333333,0.7,2.664186886,2.704530352,-1.498504663,0.4716,0,3,5,1,0,2,6,7,1
"Post-1980","2A",14,86.645,54.41666667,0.8,2.404529726,3.002186354,1.33542693,0.4716,0,3,0,2,0,2,6,8,2
"Post-1980","2A",15,85.55,57.83333333,0.7,2.37241028,3.002115404,2.352785797,0.4716,0,3,0,3,0,2,6,9,3
"Post-1980","2A",16,84.845,58.16666667,0.5,2.343082795,3.001910655,2.562144702,0.4716,0,3,0,4,0,2,6,10,4
"Post-1980","2A",17,81.71,61.91666667,0.5,-0.154027361,0.113014509,3.609125286,0,0,0,-3,5,1,2,6,11,5
"Post-1980","2A",13,91.565,40.83333333,0.7,0.403494878,0.965963803,-0.821095964,0,0,1,2,1,0,1,8,9,1
"Post-1980","2A",14,90.785,41.16666667,0.8,0.289135436,1.000423269,0.033978756,0,0,1,0,2,0,1,8,10,2
"Post-1980","2A",15,87.65,54.25,0.7,0.267016875,1.00034664,0.134248227,0,0,1,0,3,0,1,8,11,3
"Post-1980","2A",16,84.845,63,0.5,0.256105935,1.000412067,0.273030323,0,0,1,0,4,0,1,8,12,4
"Post-1980","2A",17,84.02,61.83333333,0.5,-0.007566436,0.010557332,0.797405077,0,0,0,-1,5,1,1,8,13,5
"Post-1980","2A",13,87.905,45.5,0.7,3.427275206,4.685006866,-5.318432466,0.4959,0,6,9,1,0,3,4,5,1
"Post-1980","2A",14,87.605,49.16666667,0.8,3.071678178,6.002525186,-1.412070998,0.4959,0,6,0,2,0,3,4,6,2
"Post-1980","2A",15,86.825,56.41666667,0.7,3.066156019,6.002567197,0.699902507,0.4959,0,6,0,3,0,3,4,7,3
"Post-1980","2A",16,85.37,62.16666667,0.5,3.057094741,6.002632617,2.210899207,0.4959,0,6,0,4,0,3,4,8,4
"Post-1980","2A",17,83.765,65.33333333,0.5,-0.303920304,0.39944708,4.439462043,0,0,0,-6,5,1,3,4,9,5
"Post-1980","2A",13,91.04,44.41666667,0.7,1.364946501,3.63441029,-2.885840601,0,0,4,6,1,0,2,5,6,1
"Post-1980","2A",14,91.04,44,0.8,0.976681686,4.001908948,-0.656300399,0,0,4,0,2,0,2,5,7,2
"Post-1980","2A",15,90.41,44,0.7,0.897992468,4.001541251,-0.492233396,0,0,4,0,3,0,2,5,8,3
"Post-1980","2A",16,88.805,44.58333333,0.5,0.833046214,4.001283573,-0.716767862,0,0,4,0,4,0,2,5,9,4
"Post-1980","2A",17,85.04,60.75,0.5,-0.367243695,0.233878022,1.665827344,0,0,0,-4,5,1,2,5,10,5
"Post-1980","2A",13,88.805,41.16666667,0.7,2.908732125,0.991218549,0.296673284,0.7641,0,1,1,1,0,0,0,0,0
"Post-1980","2A",14,88.61,41.41666667,0.8,2.898414081,1.001217371,1.461893396,0.7641,0,1,0,2,0,0,0,0,0
"Post-1980","2A",15,88.43,41.58333333,0.7,2.913196536,1.001174164,1.816616913,0.7641,0,1,0,3,0,0,0,0,0
"Post-1980","2A",16,87.98,42,0.5,2.918746018,1.001070731,1.959446952,0.7641,0,1,0,4,0,0,0,0,0
"Post-1980","2A",17,86.825,44.33333333,0.5,0.122535124,0.011067456,2.164493858,0,0,0,-1,5,1,0,0,0,0
"Post-1980","2A",13,89.585,44.5,0.7,4.145472711,5.031169137,-5.063818762,0.7038,0,6,8,1,0,2,8,9,1
"Post-1980","2A",14,88.805,45.83333333,0.8,3.803680248,6.003001806,-1.307908078,0.7038,0,6,0,2,0,2,8,10,2
"Post-1980","2A",15,86.825,50.83333333,0.7,3.73546053,6.002694654,0.739558365,0.7038,0,6,0,3,0,2,8,11,3
"Post-1980","2A",16,84.845,57.33333333,0.5,3.717930141,6.0024366,1.880543306,0.7038,0,6,0,4,0,2,8,12,4
"Post-1980","2A",17,82.235,62.5,0.5,-0.258428033,0.359304863,4.675869614,0,0,0,-6,5,1,2,8,13,5
"Post-1980","2A",13,88.43,49.08333333,0.7,1.177019088,2.519650463,-3.01511122,0,0,3,7,1,0,4,4,5,1
"Post-1980","2A",14,87.98,53.75,0.8,0.806900336,3.001761587,0.029609623,0,0,3,0,2,0,4,4,6,2
"Post-1980","2A",15,87.455,56.16666667,0.7,0.740938239,3.001511292,0.59180464,0,0,3,0,3,0,4,4,7,3
"Post-1980","2A",16,87.605,54.08333333,0.5,0.693503106,3.001316523,0.506528905,0,0,3,0,4,0,4,4,8,4
"Post-1980","2A",17,85.04,59.58333333,0.5,-0.238654413,0.13885628,2.044288445,0,0,0,-3,5,1,4,4,9,5
"Post-1980","2A",13,86.495,54,0.7,2.094185909,1.898353393,-0.933535347,0.3879,0,2,3,1,0,1,7,8,1
"Post-1980","2A",14,81.08,63.66666667,0.8,1.834100068,2.001623313,1.563193748,0.3879,0,2,0,2,0,1,7,9,2
"Post-1980","2A",15,79.61,71.08333333,0.7,1.82094226,2.001406974,2.438133632,0.3879,0,2,0,3,0,1,7,10,3
"Post-1980","2A",16,78.905,75.16666667,0.5,1.826746129,2.001443806,3.009692039,0.3879,0,2,0,4,0,1,7,11,4
"Post-1980","2A",17,77.45,79.5,0.5,-0.027003825,0.047689779,2.938362494,0,0,0,-2,5,1,1,7,12,5
