Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,-0.229537773,0.000601052,1.841406282,0.288991287
0.075132347,0.002749168,3.136664834,-0.020612854,-0.001098752
0.015336873,0.002902298,,0.003716661,-0.002248345
-0.42710294,0.024171939,,0.24958081,-0.206135241
-1.464273647,0.024768738,,-0.199700291,0.201322571
-1.714078276,3.341476404,,-0.118511509,0.001266191
-0.204110934,-0.033940411,,-0.09788792,0.000199441
-0.212938633,-0.168945615,,-0.031852252,-0.114981427
-0.305539568,0.032503219,,0.010496061,-0.011847569
-0.388477494,0.00123358,,0.012968403,
-0.270565948,-0.087192454,,0.014531742,
-0.316845748,0.008248324,,0.031279636,
-0.370113398,,,-0.005175261,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
