Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,0.132030414,0.010296916,3.208577912,0.010532781
0.075132347,0.000189781,0.709819563,-0.015790094,-0.000477786
0.015336873,0.000721663,0.717561057,0.001060837,2.81E-04
-0.42710294,-0.095627444,,-1.182190177,-0.028865043
-1.464273647,-0.046378688,,-0.245134834,0.134399545
-1.714078276,0.682500194,,-0.364054809,0.005896303
-0.204110934,0.679334087,,-0.189135353,-0.000255751
-0.212938633,-0.026453985,,-0.003198342,-0.007859907
-0.305539568,-0.08134796,,0.01410656,-0.004367587
-0.388477494,0.016168849,,0.008983733,
-0.270565948,0.001065681,,0.322630653,
-0.316845748,0.027048064,,0.090725895,
-0.370113398,0.006470587,,-0.018986664,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
