Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,0.131649263,0.013364236,1.773786454,-0.011828837
0.075132347,-0.000420551,1.728156196,-0.007056039,-0.000340031
0.015336873,0.000643724,0.980034682,0.001566296,-0.000115654
-0.42710294,-0.01661293,,-0.743637538,0.003041417
-1.464273647,-0.021638184,,0.350815875,0.162434241
-1.714078276,1.740030303,,-0.26729157,0.004727632
-0.204110934,0.970080999,,-0.146183144,-0.000239083
-0.212938633,-0.021731584,,-0.004595138,-0.003659324
-0.305539568,-0.066480173,,0.009464943,-0.006589098
-0.388477494,0.023563095,,0.004727901,
-0.270565948,0.001231798,,0.159347861,
-0.316845748,0.011863142,,0.055167996,
-0.370113398,0.002206047,,-0.009151028,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
