Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,-0.319153403,0.009997849,1.949542407,0.777297064
0.075132347,0.00410068,0.722656087,-0.006889632,-0.008493283
0.015336873,0.001468094,0.655689029,0.002794035,-8.01E-04
-0.42710294,0.086438963,,-0.207709304,-0.202185744
-1.464273647,-0.119229908,,-1.059504152,0.283716023
-1.714078276,0.6822556,,-0.06700549,0.02670644
-0.204110934,0.595939258,,-0.178220649,-0.00137739
-0.212938633,-0.006585907,,-0.052080709,-0.038775136
-0.305539568,-0.126046401,,0.000504029,0.001805336
-0.388477494,0.001367817,,0.014558515,
-0.270565948,0.00150447,,0.32983043,
-0.316845748,0.019291046,,0.028128954,
-0.370113398,0.000302165,,-0.026045047,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
