Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,-0.343975374,0.160723526,-1.003518885,-1.383337098
0.075132347,0.00695722,1.582105637,0.026342583,0.014803687
0.015336873,0.001711414,0.89347029,0.004665115,0.001756314
-0.42710294,0.143948434,,-0.238569772,0.200347407
-1.464273647,-0.220166692,,-0.825908956,-0.092643413
-1.714078276,1.716440526,,-0.045927578,-0.00966233
-0.204110934,0.959542485,,-0.179297562,-0.003029806
-0.212938633,-0.043257226,,-0.041822585,0.077581434
-0.305539568,-0.124885954,,-0.008436006,0.009499092
-0.388477494,-0.007214319,,0.013589424,
-0.270565948,0.003066317,,0.240095554,
-0.316845748,0.04271928,,-0.050111658,
-0.370113398,-0.006909742,,-0.020561809,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
