Demand_bl,Demand,Temperature,CO2,Lighting,Precooling_Temp,Precooling_Demand
-1.249657688,-0.192786762,-0.668467972,5.226850959,-2.70E-07,1.044881792,1.746242183
0.059836681,-0.001840154,0.004137091,0.049390949,0.486508907,-0.036010858,-0.024433116
0.024274883,0.002313769,0.002864242,-0.001063031,-0.000340759,0.001898716,-0.005080311
-0.175916846,0.054935445,0.165683645,-0.70257453,0.191006519,0,0
-1.526453794,-0.211185649,-0.540549305,6.58580678,,1.151632401,0.360234589
-1.901966301,1.346414978,-0.607361098,132.5792766,,0.395658665,-0.278125626
-0.284945664,0,0,0.425511921,,-0.012172692,-0.00274352
-0.229402374,-0.021382611,0.315691496,-101.363445,,0.000585883,0.005452391
-0.477991599,0.035791853,0.052195589,-13.99907091,,0.215196243,-0.07966827
-0.762676001,0.039910444,-0.150771741,-0.008082719,,-0.000434761,0.000752653
-0.479539029,-0.0463105,0.60891329,0.001426571,,,
-0.51360806,0,0,,,,
-0.731464313,0.033494308,-0.028359182,,,,
-0.627575557,0.03454938,0.098576846,,,,
-0.538255267,-0.114922621,0.289767837,,,,
-0.621781693,0.004907356,0.018126136,,,,
-0.58523933,0.00078654,-0.003405578,,,,
-0.728675989,0.030040171,0.030295365,,,,
2.505174185,-0.013758354,-0.028609685,,,,
-0.021430694,-0.00056732,-0.00036674,,,,
-0.000265815,,,,,,
