Demand_bl,Demand,Temperature,CO2,Lighting,Precooling_Temp,Precooling_Demand
-1.249657688,-0.349584602,-0.968537909,5.226850959,-2.70E-07,3.692450029,1.854443513
0.059836681,0.00064559,0.005974161,0.049390949,0.486508907,-0.061223172,-0.023396381
0.024274883,0.003928996,0.005267329,-0.001063031,-0.000340759,0.0000495,-0.004657812
-0.175916846,-0.034798418,0.254715286,-0.70257453,0.191006519,0,0
-1.526453794,-0.36447809,-0.9369632,6.58580678,,1.156387535,0.207933147
-1.901966301,2.990537606,-1.068728588,132.5792766,,-0.242424627,-0.295617348
-0.284945664,0,0,0.425511921,,-0.009056517,-0.000154913
-0.229402374,-0.016376829,0.326811652,-101.363445,,0.006711715,0.00457422
-0.477991599,-0.015573485,0.05286822,-13.99907091,,0.121550376,-0.022592343
-0.762676001,0.031524409,-0.086740522,-0.008082719,,-0.000375661,-0.000172951
-0.479539029,-0.033735486,0.553621092,0.001426571,,,
-0.51360806,0,0,,,,
-0.731464313,0.124526826,-0.014106379,,,,
-0.627575557,0.024140729,0.071686159,,,,
-0.538255267,-0.326013973,0.394451703,,,,
-0.621781693,0.007270828,0.022006217,,,,
-0.58523933,0.00052383,-0.003307188,,,,
-0.728675989,0.022713308,-0.068839981,,,,
2.505174185,-0.027461636,-0.019311296,,,,
-0.021430694,-0.000467298,0.000792363,,,,
-0.000265815,,,,,,
