Demand_bl,Demand_Therm,Demand_Nontherm,Temperature,Precooling_Demand
2.025946879,-0.282119565,0.002222031,4.237052325,0.809807546
0.075132347,0.003129246,3.226911181,-0.034792167,-0.00421955
0.015336873,0.006483901,,0.004683695,-0.004607599
-0.42710294,-0.217494131,,-1.160372504,-0.471106215
-1.464273647,-0.608274148,,-1.363184465,0.069961605
-1.714078276,3.393621371,,-0.226893884,0.012495885
-0.204110934,-0.038503593,,-0.160251758,0.003113653
-0.212938633,-0.102277672,,-0.034667483,-0.210063153
-0.305539568,0.057989534,,0.010469509,-0.00467614
-0.388477494,0.007224785,,0.023716607,
-0.270565948,0.167939967,,0.246996088,
-0.316845748,0.023030688,,0.063770501,
-0.370113398,,,-7.42E-03,
-0.374806541,,,,
-0.36836051,,,,
-0.33962471,,,,
-0.323618432,,,,
-0.372829851,,,,
1.082941695,,,,
-0.051557313,,,,
-0.000459467,,,,
